KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,22080.0,36.03632659648645,84.9065,84.9202,21171.0,23115.0,Echolocation,Nyctalus leisleri,0.41,0.429,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
LF,24000.0,-8.557057907626362,85.6685,85.6854,23750.0,28013.0,Echolocation,Nyctalus leisleri,0.189,0.301,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
LF,23040.0,2.366143174520459,118.2795,118.2951,22031.0,25807.0,Echolocation,Nyctalus leisleri,0.264,0.388,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
LF,32640.0,5.677481508426285,127.48949999999999,127.502,30625.0,35062.0,Echolocation,Eptesicus serotinus,0.138,0.326,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
LF,32640.0,4.094579439783467,128.8085,128.8201,30625.0,35469.0,Echolocation,Eptesicus serotinus,0.175,0.339,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
LF,31680.0,5.9320307236511125,137.09550000000002,137.1107,30625.0,34688.0,Echolocation,Nyctalus leisleri,0.141,0.315,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
LF,22080.0,12.376818530760525,140.0935,140.1112,22031.0,25080.0,Echolocation,Nyctalus leisleri,0.241,0.328,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
LF,25920.0,2.487734121850456,140.3395,140.3578,25468.0,28807.0,Echolocation,Nyctalus leisleri,0.247,0.302,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
LF,31680.0,24.985808577962505,144.45850000000002,144.4731,30625.0,34314.0,Echolocation,Nyctalus leisleri,0.238,0.359,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
LF,32640.0,11.798184770423056,146.3135,146.3261,30625.0,34828.0,Echolocation,Eptesicus serotinus,0.112,0.33,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
LF,31680.0,8.431482036103208,148.9895,149.0029,30625.0,34412.0,Echolocation,Nyctalus leisleri,0.132,0.315,-1,192000.0,/mnt/ubna_data_07/recover-20260413/UBNA_033/20260330_215000.WAV,recover-20260413,UBNA_033,Foliage
