,KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
0,LF,30720.0,0.3926292730572542,0.0015,0.0106,26328,37329,Eptesicus serotinus,0.009,0.028,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
1,HF,69120.0,0.2205251809923141,0.0015,0.0328,68437,80552,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
2,HF,78720.0,0.08259303220496664,0.0275,0.0677,68437,82860,Rhinolophus ferrumequinum,0.032,0.032,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
3,HF,74880.0,0.3711058908304538,0.1255,0.1634,68437,82101,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
4,HF,74880.0,0.3029851464890571,0.1845,0.223,68437,82963,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
5,LF,29760.0,0.37467775910819207,0.2225,0.2308,28906,41249,Eptesicus serotinus,0.008,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
6,LF,16320.0,7.564157246353127,0.2555,0.2754,16875,19618,Nyctalus noctula,0.024,0.043,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
7,LF,24960.0,1.3664254271338994,0.2635,0.2705,25468,40280,Eptesicus serotinus,0.007,0.023,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
8,LF,32640.0,0.27130257336842,0.2855,0.294,28046,40120,Eptesicus serotinus,0.007,0.021,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
9,LF,30720.0,0.022693559136855706,0.2945,0.3046,28906,36351,Eptesicus serotinus,0.009,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
10,LF,22080.0,0.5877032899724451,0.3045,0.3225,21171,24551,Nyctalus leisleri,0.014,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
11,HF,70080.0,0.2028004758029797,0.3105,0.3481,68437,82198,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
12,LF,24960.0,0.46049934165096645,0.3125,0.3182,24609,39773,Myotis nattereri,0.011,0.033,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
13,HF,77760.0,0.11500158977798332,0.3215,0.3609,68437,82792,Rhinolophus ferrumequinum,0.02,0.02,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
14,LF,32640.0,1.7224513973942872,0.3285,0.3379,30625,40855,Eptesicus serotinus,0.013,0.035,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
15,LF,30720.0,0.06836103617935801,0.3545,0.3622,28906,41124,Eptesicus serotinus,0.008,0.026,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
16,LF,23040.0,0.4515184385471493,0.3855,0.3965,22890,29249,Nyctalus leisleri,0.01,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
17,HF,72000.0,0.46877631990549445,0.3885,0.4263,68437,82101,Rhinolophus ferrumequinum,0.03,0.03,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
18,HF,69120.0,0.42792516076127596,0.4075,0.4441,68437,81752,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
19,LF,30720.0,1.1394128761069944,0.4085,0.4186,28906,37550,Eptesicus serotinus,0.012,0.027,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
20,LF,27840.0,0.8317541584255218,0.4185,0.4262,27187,36759,Eptesicus serotinus,0.008,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
21,HF,78720.0,0.5213474651663809,0.4535,0.4933,68437,83089,Rhinolophus ferrumequinum,0.026,0.026,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
22,LF,26880.0,0.45973712326210364,0.4845,0.4932,26328,35247,Eptesicus serotinus,0.01,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
23,LF,18240.0,5.328777893474818,0.5115,0.5316,18593,21607,Nyctalus noctula,0.012,0.023,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
24,LF,28800.0,0.7087706780749161,0.5305,0.5391,26328,36327,Eptesicus serotinus,0.009,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
25,HF,74880.0,0.05260578081655129,0.5515,0.5919,68437,82909,Rhinolophus ferrumequinum,0.031,0.031,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
