,KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
0,HF,76800.0,0.3321055179860483,0.0015,0.036,68437,80538,Rhinolophus ferrumequinum,0.035,0.035,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
1,LF,26880.0,1.603277971525556,0.0015,0.0096,27187,36843,Eptesicus serotinus,0.009,0.028,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
2,HF,76800.0,0.3372485410683249,0.0165,0.0575,68437,83011,Rhinolophus ferrumequinum,0.024,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
3,LF,27840.0,0.2381309639808526,0.0195,0.0278,28046,39661,Eptesicus serotinus,0.007,0.021,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
4,LF,24000.0,0.7384747009887503,0.0515,0.0616,23750,29972,Nyctalus leisleri,0.009,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
5,HF,73920.0,0.33422504961608634,0.0575,0.0953,68437,81869,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
6,HF,46080.0,0.7157315732066677,0.0835,0.0938,46093,48872,Pipistrellus pipistrellus,0.034,0.039,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
7,HF,71040.0,0.31088569846935876,0.0955,0.1336,68437,82320,Rhinolophus ferrumequinum,0.032,0.032,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
8,HF,54720.0,0.3969759598989071,0.1075,0.1204,54687,59159,Pipistrellus pygmaeus,0.022,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
9,HF,78720.0,0.09087008557591142,0.1205,0.1607,68437,82415,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
10,HF,37440.0,0.5679278471751976,0.1215,0.1304,37500,42644,Barbastellus barbastellus,0.009,0.023,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
11,HF,78720.0,0.07334021155274356,0.1265,0.1655,68437,82314,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
12,HF,73920.0,0.26172984834620294,0.2005,0.2381,68437,81676,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
13,LF,24960.0,0.9583815481792178,0.2225,0.2339,22890,27296,Nyctalus leisleri,0.012,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
14,LF,23040.0,1.370147271475821,0.2605,0.2697,22890,29528,Nyctalus leisleri,0.007,0.021,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
15,HF,74880.0,0.07949262576303834,0.2685,0.3062,68437,81816,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
16,HF,73920.0,0.29769865937834933,0.2805,0.3175,68437,82166,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
17,HF,73920.0,0.28395003963880444,0.2895,0.3305,68437,82605,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
18,HF,73920.0,0.5766817701357917,0.2955,0.3359,68437,82532,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
19,LF,29760.0,0.7871807740934367,0.2965,0.3129,28906,33265,Eptesicus serotinus,0.031,0.061,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
20,LF,23040.0,0.33641161961225574,0.3235,0.331,24609,34454,Plecotus austriacus,0.008,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
21,LF,23040.0,0.14904120460893416,0.3725,0.383,22890,27672,Nyctalus leisleri,0.011,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
22,HF,46080.0,0.7980722978055845,0.4105,0.4173,46953,52668,Pipistrellus pipistrellus,0.024,0.026,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
23,HF,72960.0,0.07928586512585256,0.4125,0.4544,68437,83073,Rhinolophus ferrumequinum,0.036,0.036,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
24,LF,28800.0,1.1789719931595213,0.4215,0.4329,28906,36006,Eptesicus serotinus,0.011,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
25,LF,26880.0,0.12743729644859375,0.4435,0.451,27187,39127,Eptesicus serotinus,0.007,0.027,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
26,HF,72000.0,0.18871437791079176,0.4445,0.4842,68437,81833,Rhinolophus ferrumequinum,0.036,0.036,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
