start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
869.6875,869.6982,25468.0,31487.0,Echolocation,Nyctalus leisleri,0.287,0.537,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
870.4515,870.4621,27187.0,34676.0,Echolocation,Nyctalus leisleri,0.339,0.689,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
870.7295,870.7394,27187.0,34205.0,Echolocation,Nyctalus leisleri,0.414,0.689,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
870.8455,870.8551,27187.0,36237.0,Echolocation,Eptesicus serotinus,0.332,0.674,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1059.5545,1059.5637,27187.0,34554.0,Echolocation,Nyctalus leisleri,0.352,0.651,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1059.6785,1059.6917,27187.0,32906.0,Echolocation,Nyctalus leisleri,0.343,0.507,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1060.4455,1060.453,27187.0,39131.0,Echolocation,Eptesicus serotinus,0.52,0.647,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1060.5655,1060.574,28046.0,34599.0,Echolocation,Nyctalus leisleri,0.255,0.534,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1106.3285,1106.3359,39218.0,50766.0,Echolocation,Pipistrellus nathusii,0.506,0.591,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1106.4375,1106.4448,40078.0,52736.0,Echolocation,Pipistrellus nathusii,0.598,0.634,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
