,SNR_threshold,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
0,0.0,0.01,17146,156,150,16996,6,0,0.008748396127376648,0.9615384615384616,20220730_053000.WAV,Carp Pond
1,0.0,0.02,16922,156,150,16772,6,0,0.008864200449119489,0.9615384615384616,20220730_053000.WAV,Carp Pond
2,0.0,0.03,3147,156,146,3001,10,0,0.04639339053066412,0.9358974358974359,20220730_053000.WAV,Carp Pond
3,0.0,0.04,1142,156,142,1000,14,0,0.1243432574430823,0.9102564102564102,20220730_053000.WAV,Carp Pond
4,0.0,0.05,606,156,140,466,16,0,0.23102310231023102,0.8974358974358975,20220730_053000.WAV,Carp Pond
5,0.0,0.06,421,156,138,283,18,0,0.32779097387173395,0.8846153846153846,20220730_053000.WAV,Carp Pond
6,0.0,0.07,323,156,138,185,18,0,0.42724458204334365,0.8846153846153846,20220730_053000.WAV,Carp Pond
7,0.0,0.08,262,156,138,124,18,0,0.5267175572519084,0.8846153846153846,20220730_053000.WAV,Carp Pond
8,0.0,0.09,222,156,137,85,19,0,0.6171171171171171,0.8782051282051282,20220730_053000.WAV,Carp Pond
9,0.0,0.1,201,156,135,66,21,0,0.6716417910447762,0.8653846153846154,20220730_053000.WAV,Carp Pond
10,0.0,0.11,190,156,135,55,21,0,0.7105263157894737,0.8653846153846154,20220730_053000.WAV,Carp Pond
11,0.0,0.12,178,156,133,45,23,0,0.7471910112359551,0.8525641025641025,20220730_053000.WAV,Carp Pond
12,0.0,0.13,167,156,131,36,25,0,0.7844311377245509,0.8397435897435898,20220730_053000.WAV,Carp Pond
13,0.0,0.14,156,156,131,25,25,0,0.8397435897435898,0.8397435897435898,20220730_053000.WAV,Carp Pond
14,0.0,0.15,152,156,130,22,26,0,0.8552631578947368,0.8333333333333334,20220730_053000.WAV,Carp Pond
15,0.0,0.16,149,156,130,19,26,0,0.87248322147651,0.8333333333333334,20220730_053000.WAV,Carp Pond
16,0.0,0.17,144,156,127,17,29,0,0.8819444444444444,0.8141025641025641,20220730_053000.WAV,Carp Pond
17,0.0,0.18,142,156,125,17,31,0,0.8802816901408451,0.8012820512820513,20220730_053000.WAV,Carp Pond
18,0.0,0.19,138,156,122,16,34,0,0.8840579710144928,0.782051282051282,20220730_053000.WAV,Carp Pond
19,0.0,0.2,134,156,122,12,34,0,0.9104477611940298,0.782051282051282,20220730_053000.WAV,Carp Pond
20,0.0,0.21,130,156,120,10,36,0,0.9230769230769231,0.7692307692307693,20220730_053000.WAV,Carp Pond
21,0.0,0.22,125,156,118,7,38,0,0.944,0.7564102564102564,20220730_053000.WAV,Carp Pond
22,0.0,0.23,123,156,117,6,39,0,0.9512195121951219,0.75,20220730_053000.WAV,Carp Pond
23,0.0,0.24,121,156,115,6,41,0,0.9504132231404959,0.7371794871794872,20220730_053000.WAV,Carp Pond
