,freq_group,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
0,LF,0.0018333333333333,30000.0,30720.0,0.39262927305721,0.0015,0.0106,26328,37329,Eptesicus serotinus,0.009,0.028,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
2,HF,0.0475999999999999,75648.5,78720.0,-0.0825930322048605,0.0275,0.0677,68437,82860,Rhinolophus ferrumequinum,0.032,0.032,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
3,HF,0.1366625,78000.0,74880.0,-0.3711058908303019,0.1255,0.1634,68437,82101,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
4,HF,0.2156249999999999,72000.0,74880.0,0.3029851464890553,0.1845,0.223,68437,82963,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
6,LF,0.257975,18000.0,16320.000000000002,7.564157246130443,0.2555,0.2754,16875,19618,Nyctalus noctula,0.024,0.043,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
8,LF,0.2878541666666666,36000.0,32640.000000000004,-0.2713025733684399,0.2855,0.294,28046,40120,Eptesicus serotinus,0.007,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
14,LF,0.3311208333333333,36000.0,32640.000000000004,1.722451397394458,0.3285,0.3379,30625,40855,Eptesicus serotinus,0.013,0.035,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
15,LF,0.3576541666666666,36000.0,30720.0,0.0684072302056987,0.3545,0.3622,28906,41125,Eptesicus serotinus,0.008,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
16,LF,0.3938125,24000.0,23040.0,-0.4515184385442989,0.3855,0.3965,22890,29249,Nyctalus leisleri,0.01,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
17,HF,0.4204708333333333,78000.0,72000.0,0.468776319905637,0.3885,0.4263,68437,82101,Rhinolophus ferrumequinum,0.03,0.03,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
21,HF,0.4884291666666667,72000.0,78720.0,0.5213474651667259,0.4535,0.4933,68437,83089,Rhinolophus ferrumequinum,0.026,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
23,LF,0.5162541666666666,18000.0,18240.0,5.328777893524492,0.5115,0.5316,18593,21607,Nyctalus noctula,0.012,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
24,LF,0.5310041666666666,30000.0,28800.0,0.7088018483436247,0.5305,0.5391,26328,36328,Eptesicus serotinus,0.009,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
25,HF,0.5582666666666667,72000.0,74880.0,-0.0526057808161622,0.5515,0.5919,68437,82909,Rhinolophus ferrumequinum,0.031,0.031,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
28,HF,0.5820291666666667,42000.0,38400.0,0.9962818482735925,0.5775,0.5882,37500,42502,Pipistrellus nathusii,0.016,0.028,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
30,HF,0.6053708333333334,78000.0,75840.0,-0.3199042693754451,0.6015,0.6394,68437,81930,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
33,LF,0.6615791666666666,30000.0,26880.000000000004,-0.213046289273605,0.6595,0.6674,25468,38321,Eptesicus serotinus,0.008,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
34,HF,0.6847624999999999,42000.0,36480.0,1.9876529147361337,0.6805,0.6903,32343,44132,Eptesicus serotinus,0.007,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
35,LF,0.7323125,30000.0,28800.0,0.3024439786803989,0.7245,0.7325,28046,41205,Eptesicus serotinus,0.007,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
36,LF,0.7456666666666667,36000.0,28800.0,2.1969958732254566,0.7415,0.7495,28046,40453,Eptesicus serotinus,0.007,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
37,LF,0.7825708333333333,24000.0,26880.000000000004,0.2496841499886815,0.7765,0.7877,25468,29683,Nyctalus leisleri,0.011,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
39,HF,0.8408791666666666,78000.0,72000.0,0.2683019770785972,0.8405,0.8746,68437,81657,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
40,LF,0.8546416666666667,36000.0,26880.000000000004,0.1990102403034042,0.8525,0.8599,28046,42488,Eptesicus serotinus,0.006,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
43,HF,0.9010666666666668,42000.0,41280.0,0.6055019842164188,0.8985,0.9046,36640,44801,Barbastellus barbastellus,0.01,0.033,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
45,LF,0.9363,24000.0,25920.0,0.3094817095879669,0.9355,0.9422,24609,34987,Plecotus austriacus,0.008,0.025,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
47,LF,0.9659208333333336,30000.0,29760.0,0.1171808498108235,0.9565,0.9661,28046,36128,Eptesicus serotinus,0.01,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
49,HF,0.9936916666666668,54000.0,51840.0,0.5674756912721721,0.9875,0.9996,49531,54128,Pipistrellus pipistrellus,0.017,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
50,HF,1.0425208333333336,72000.0,80640.0,-1.058241247065162,1.0115,1.0485,68437,82296,Rhinolophus ferrumequinum,0.022,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
51,LF,1.0627791666666666,30000.0,25920.0,2.0496705452469284,1.0565,1.0637,25468,38095,Eptesicus serotinus,0.007,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
53,LF,1.1189000000000002,24000.0,22080.0,-0.2490406872639455,1.1105,1.1236,22031,25984,Nyctalus leisleri,0.016,0.027,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
54,HF,1.2413958333333333,78000.0,75840.0,0.1928323087432562,1.2035,1.2415,68437,82297,Rhinolophus ferrumequinum,0.027,0.027,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
57,LF,1.2593208333333334,30000.0,28800.0,0.4873372860644366,1.2575,1.2642,28046,42115,Eptesicus serotinus,0.007,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
58,LF,1.3129750000000002,30000.0,32640.000000000004,-0.2110060735301467,1.3115,1.3219,28906,34386,Eptesicus serotinus,0.014,0.028,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
59,HF,1.3561208333333332,72000.0,81600.0,0.1374632505420511,1.3535,1.3909,68437,82584,Rhinolophus ferrumequinum,0.037,0.037,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
60,LF,1.3723291666666666,30000.0,26880.000000000004,0.5014308526372849,1.3715,1.3789,26328,39568,Eptesicus serotinus,0.006,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
61,HF,1.3853416666666667,72000.0,73920.0,0.0989276623730619,1.3835,1.4157,68437,81029,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
64,LF,1.4123,24000.0,24000.0,0.9210462443936543,1.4115,1.4182,24609,35319,Plecotus austriacus,0.009,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
65,HF,1.4582166666666667,72000.0,69120.0,0.8962264800471608,1.4335,1.4717,68437,82152,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
67,HF,1.4863166666666665,72000.0,72000.0,1.1948343839834268,1.4465,1.4871,68437,82226,Rhinolophus ferrumequinum,0.024,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
69,LF,1.5107624999999998,30000.0,25920.0,0.4016411256598443,1.5105,1.5173,26328,37973,Eptesicus serotinus,0.008,0.025,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
70,HF,1.5533,78000.0,71040.0,0.1589634867563522,1.5235,1.5607,68437,82028,Rhinolophus ferrumequinum,0.027,0.027,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
71,LF,1.5763541666666665,30000.0,24000.0,1.0463829978078785,1.5735,1.5815,24609,33804,Plecotus austriacus,0.007,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
72,HF,1.6077458333333332,78000.0,81600.0,-0.385925902066243,1.5745,1.6119,68437,82602,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
76,HF,1.6764375000000002,72000.0,72000.0,-0.1103721482414508,1.6745,1.712,68437,82322,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
77,LF,1.720708333333333,36000.0,37440.0,-0.3728363254343549,1.7165,1.723,27187,41986,Eptesicus serotinus,0.007,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
78,LF,1.7447416666666666,30000.0,28800.0,1.2958460608974014,1.7365,1.7448,26328,35276,Eptesicus serotinus,0.009,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
81,LF,1.7840416666666667,36000.0,30720.0,0.7427566593202144,1.7835,1.7925,28906,37688,Eptesicus serotinus,0.01,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
82,HF,1.8011833333333331,60000.0,58560.0,1.1721652614445186,1.7945,1.8099,57265,63070,Pipistrellus pygmaeus,0.02,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
84,LF,1.843925,30000.0,28800.0,0.2295946950498874,1.8415,1.8492,26328,38463,Eptesicus serotinus,0.006,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
85,LF,1.866283333333333,24000.0,24960.0,0.6723137673753654,1.8655,1.8728,25468,37970,Plecotus austriacus,0.006,0.025,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
86,LF,1.8844291666666668,30000.0,25920.0,-0.0358713724480315,1.8765,1.8873,26328,32722,Eptesicus serotinus,0.01,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
90,LF,1.923829166666667,36000.0,32640.000000000004,0.7254847157121981,1.9225,1.9364,32343,37812,Eptesicus serotinus,0.012,0.03,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
92,LF,1.9552291666666668,30000.0,33600.0,0.6602023762107683,1.9535,1.96,28046,41835,Eptesicus serotinus,0.005,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
93,LF,1.981358333333333,36000.0,38400.0,1.0305412953567092,1.9805,1.9886,28046,39422,Eptesicus serotinus,0.008,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
94,LF,2.008679166666667,30000.0,24960.0,-0.401382863091584,2.0015,2.0113,25468,35372,Eptesicus serotinus,0.012,0.037,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
97,HF,2.06555,72000.0,75840.0,-0.2724270099859919,2.0435,2.0797,68437,81450,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
98,HF,2.0964250000000004,72000.0,72960.0,0.2498455886006357,2.0825,2.1172,68437,81409,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
100,HF,2.124291666666667,36000.0,37440.0,-0.4251144083113798,2.1225,2.1285,34062,47843,Myotis daubentonii,0.008,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
101,HF,2.1558375000000005,72000.0,72000.0,0.1060507069899536,2.1475,2.1891,68437,82436,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
102,HF,2.2033791666666667,78000.0,69120.0,-0.0672460503832599,2.1675,2.2046,68437,81966,Rhinolophus ferrumequinum,0.026,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
