,SNR_threshold,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
0,0.0,0.01,17146,110,106,17040,4,0,0.006182199930012831,0.9636363636363636,20220730_053000.WAV,Carp Pond
1,0.0,0.02,16922,110,106,16816,4,0,0.00626403498404444,0.9636363636363636,20220730_053000.WAV,Carp Pond
2,0.0,0.03,3147,110,106,3041,4,0,0.033682872577057515,0.9636363636363636,20220730_053000.WAV,Carp Pond
3,0.0,0.04,1142,110,106,1036,4,0,0.09281961471103327,0.9636363636363636,20220730_053000.WAV,Carp Pond
4,0.0,0.05,606,110,106,500,4,0,0.17491749174917492,0.9636363636363636,20220730_053000.WAV,Carp Pond
5,0.0,0.06,421,110,106,315,4,0,0.2517814726840855,0.9636363636363636,20220730_053000.WAV,Carp Pond
6,0.0,0.07,323,110,106,217,4,0,0.3281733746130031,0.9636363636363636,20220730_053000.WAV,Carp Pond
7,0.0,0.08,262,110,106,156,4,0,0.40458015267175573,0.9636363636363636,20220730_053000.WAV,Carp Pond
8,0.0,0.09,222,110,106,116,4,0,0.4774774774774775,0.9636363636363636,20220730_053000.WAV,Carp Pond
9,0.0,0.1,201,110,106,95,4,0,0.527363184079602,0.9636363636363636,20220730_053000.WAV,Carp Pond
10,0.0,0.11,190,110,106,84,4,0,0.5578947368421052,0.9636363636363636,20220730_053000.WAV,Carp Pond
11,0.0,0.12,178,110,104,74,6,0,0.5842696629213483,0.9454545454545454,20220730_053000.WAV,Carp Pond
12,0.0,0.13,167,110,103,64,7,0,0.6167664670658682,0.9363636363636364,20220730_053000.WAV,Carp Pond
13,0.0,0.14,156,110,103,53,7,0,0.6602564102564102,0.9363636363636364,20220730_053000.WAV,Carp Pond
14,0.0,0.15,152,110,103,49,7,0,0.6776315789473685,0.9363636363636364,20220730_053000.WAV,Carp Pond
15,0.0,0.16,149,110,103,46,7,0,0.6912751677852349,0.9363636363636364,20220730_053000.WAV,Carp Pond
16,0.0,0.17,144,110,101,43,9,0,0.7013888888888888,0.9181818181818182,20220730_053000.WAV,Carp Pond
17,0.0,0.18,142,110,101,41,9,0,0.7112676056338029,0.9181818181818182,20220730_053000.WAV,Carp Pond
18,0.0,0.19,138,110,101,37,9,0,0.7318840579710145,0.9181818181818182,20220730_053000.WAV,Carp Pond
19,0.0,0.2,134,110,101,33,9,0,0.753731343283582,0.9181818181818182,20220730_053000.WAV,Carp Pond
20,0.0,0.21,130,110,101,29,9,0,0.7769230769230769,0.9181818181818182,20220730_053000.WAV,Carp Pond
21,0.0,0.22,125,110,101,24,9,0,0.808,0.9181818181818182,20220730_053000.WAV,Carp Pond
22,0.0,0.23,123,110,101,22,9,0,0.8211382113821138,0.9181818181818182,20220730_053000.WAV,Carp Pond
23,0.0,0.24,121,110,100,21,10,0,0.8264462809917356,0.9090909090909091,20220730_053000.WAV,Carp Pond
24,0.0,0.25,120,110,100,20,10,0,0.8333333333333334,0.9090909090909091,20220730_053000.WAV,Carp Pond
25,0.0,0.26,117,110,98,19,12,0,0.8376068376068376,0.8909090909090909,20220730_053000.WAV,Carp Pond
26,0.0,0.27,116,110,97,19,13,0,0.8362068965517241,0.8818181818181818,20220730_053000.WAV,Carp Pond
27,0.0,0.28,115,110,97,18,13,0,0.8434782608695652,0.8818181818181818,20220730_053000.WAV,Carp Pond
28,0.0,0.29,114,110,97,17,13,0,0.8508771929824561,0.8818181818181818,20220730_053000.WAV,Carp Pond
29,0.0,0.3,113,110,96,17,14,0,0.8495575221238938,0.8727272727272727,20220730_053000.WAV,Carp Pond
30,0.0,0.31,111,110,96,15,14,0,0.8648648648648649,0.8727272727272727,20220730_053000.WAV,Carp Pond
31,0.0,0.32,108,110,93,15,17,0,0.8611111111111112,0.8454545454545455,20220730_053000.WAV,Carp Pond
