KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,65280.0,0.9511089854095478,5.8335,5.8486,62421.0,67349.0,Pipistrellus pipistrellus,0.179,0.389,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
HF,65280.0,-2.5052373479169283,13.5725,13.5898,62421.0,66990.0,Pipistrellus pygmaeus,0.366,0.383,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,32640.0,0.9956235417101024,32.8295,32.8388,22890.0,30503.0,Eptesicus serotinus,0.142,0.309,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
HF,65280.0,-5.626068599371027,134.69650000000001,134.7118,63281.0,67365.0,Pipistrellus pygmaeus,0.33,0.353,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
HF,65280.0,10.395986545726668,136.6835,136.7028,65000.0,69510.0,Pipistrellus pygmaeus,0.302,0.312,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,23040.0,-1.8209376157493504,188.1635,188.1784,22890.0,26191.0,Nyctalus leisleri,0.258,0.311,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,19200.0,5.053798363965766,191.7175,191.7378,18593.0,22118.0,Nyctalus noctula,0.21,0.308,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,23040.0,9.12785996611408,197.9035,197.9254,22031.0,24850.0,Nyctalus leisleri,0.278,0.313,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,23040.0,5.2382147898563955,219.3285,219.3455,22890.0,26240.0,Nyctalus leisleri,0.433,0.469,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
HF,65280.0,2.1209292558203137,240.4695,240.4782,58125.0,63813.0,Pipistrellus pygmaeus,0.295,0.323,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,32640.0,-1.9891172627031373,250.3865,250.3978,22890.0,28044.0,Nyctalus leisleri,0.128,0.307,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_185000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,23040.0,5.857653468031793,73.8345,73.8539,22890.0,26057.0,Nyctalus leisleri,0.25,0.308,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_190000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,23040.0,1.9718923453484778,63.7015,63.713499999999996,23750.0,30366.0,Eptesicus serotinus,0.122,0.309,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_191000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,21120.0,15.171454463855154,73.0415,73.0615,20312.0,22567.0,Nyctalus leisleri,0.173,0.304,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_191000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,31680.0,10.99723966124344,95.4755,95.4927,30625.0,34415.0,Nyctalus leisleri,0.173,0.324,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_192000.WAV,recover-20260624,UBNA_030,E18 Bridge
LF,31680.0,5.491054786498349,97.3325,97.3448,31484.0,35099.0,Nyctalus leisleri,0.17,0.318,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_192000.WAV,recover-20260624,UBNA_030,E18 Bridge
HF,48960.0,8.518815597869365,101.2115,101.2249,47812.0,51489.0,Pipistrellus pipistrellus,0.265,0.323,-1,Echolocation,192000.0,/mnt/ubna_data_07/recover-20260624/UBNA_030/20260610_192000.WAV,recover-20260624,UBNA_030,E18 Bridge
