Time (UTC),07/21/25,07/22/25,07/23/25,07/24/25
00:00,,0.0,0.0,0.0
00:30,,0.0,0.06666666666666667,0.0
01:00,,0.06666666666666667,0.06666666666666667,0.06666666666666667
01:30,,0.0,0.06666666666666667,0.0
02:00,,0.06666666666666667,0.06666666666666667,0.06666666666666667
02:30,,0.06666666666666667,0.0,0.0
03:00,,0.0,0.0,0.06666666666666667
03:30,,0.06666666666666667,0.0,0.0
04:00,,0.13333333333333333,0.0,0.0
04:30,,0.0,0.0,0.0
05:00,,0.13333333333333333,8.133333333333333,0.6
05:30,,21.666666666666668,3.9333333333333336,3.1333333333333333
06:00,,22.933333333333334,9.933333333333332,2.733333333333333
06:30,,36.06666666666667,4.8,6.733333333333334
07:00,,13.0,14.266666666666666,1.3333333333333333
07:30,,4.0,0.19999999999999998,2.466666666666667
08:00,,0.19999999999999998,5.266666666666667,7.933333333333333
08:30,,0.19999999999999998,0.06666666666666667,0.0
09:00,,2.3333333333333335,0.13333333333333333,2.0
09:30,,0.8666666666666667,2.533333333333333,0.0
10:00,,1.5333333333333332,0.06666666666666667,1.5999999999999999
10:30,,0.0,0.06666666666666667,0.0
11:00,,0.0,0.0,0.0
11:30,,0.06666666666666667,0.0,0.06666666666666667
12:00,,0.0,0.0,0.0
12:30,,0.06666666666666667,0.0,0.0
13:00,,0.0,0.06666666666666667,0.06666666666666667
13:30,,0.13333333333333333,0.0,0.0
14:00,,0.0,0.0,0.06666666666666667
14:30,,0.0,0.0,0.0
15:00,,0.06666666666666667,0.06666666666666667,0.06666666666666667
15:30,,0.0,0.13333333333333333,0.0
16:00,,0.0,0.06666666666666667,0.0
16:30,,0.0,0.0,0.13333333333333333
17:00,,0.06666666666666667,0.0,0.0
17:30,,0.0,0.13333333333333333,0.0
18:00,,0.0,0.0,0.0
18:30,,0.13333333333333333,0.06666666666666667,0.0
19:00,,0.06666666666666667,0.0,0.20000000000000004
19:30,,0.0,0.0,0.06666666666666667
20:00,0.20000000000000004,0.0,0.0,0.0
20:30,0.4666666666666666,0.0,0.0,
21:00,0.20000000000000004,0.06666666666666667,0.0,
21:30,0.0,0.0,0.06666666666666667,
22:00,0.0,0.0,0.0,
22:30,0.0,0.06666666666666667,0.0,
23:00,0.0,0.0,0.06666666666666667,
23:30,0.0,0.0,0.0,
