,KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
0,LF,0.0018333333333333333,26250.0,30720.0,0.39262927305721,0.0015,0.0106,26328,37329,Eptesicus serotinus,0.009,0.028,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
1,HF,0.0065,72750.0,69120.0,0.22052518099362847,0.0015,0.0328,68437,80552,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
2,HF,0.0006666666666666666,0.0,78720.0,-0.08259303220486053,0.0275,0.0677,68437,82860,Rhinolophus ferrumequinum,0.032,0.032,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
3,HF,0.15576666666666666,76500.0,74880.0,-0.3711058908303019,0.1255,0.1634,68437,82101,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
4,HF,0.20716666666666667,75000.0,74880.0,0.3029851464890553,0.1845,0.223,68437,82963,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
5,LF,0.22286666666666666,30000.0,29760.0,0.3747488660606145,0.2225,0.2308,28906,41250,Eptesicus serotinus,0.008,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
6,LF,0.2582666666666667,15750.0,16320.000000000002,7.564157246130443,0.2555,0.2754,16875,19618,Nyctalus noctula,0.024,0.043,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
7,LF,0.2675,26250.0,24960.0,1.3663774109292695,0.2635,0.2705,25468,40281,Eptesicus serotinus,0.007,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
8,LF,0.288,32250.0,32640.000000000004,-0.27130257336843994,0.2855,0.294,28046,40120,Eptesicus serotinus,0.007,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
9,LF,0.2989,30000.0,30720.0,0.022579073886300486,0.2945,0.3046,28906,36352,Eptesicus serotinus,0.009,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
10,LF,0.30566666666666664,22500.0,22080.0,-0.5877032899681054,0.3045,0.3225,21171,24551,Nyctalus leisleri,0.014,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
11,HF,0.34456666666666663,81750.0,70080.0,-0.20280047580343574,0.3105,0.3481,68437,82198,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
12,LF,0.3154666666666667,24750.0,24960.0,0.4604944498666211,0.3125,0.3182,24609,39774,Myotis nattereri,0.011,0.033,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
13,HF,0.34443333333333337,81750.0,77760.0,-0.11500158977787192,0.3215,0.3609,68437,82792,Rhinolophus ferrumequinum,0.02,0.02,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
14,LF,0.3312666666666667,33000.0,32640.000000000004,1.722451397394458,0.3285,0.3379,30625,40855,Eptesicus serotinus,0.013,0.035,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
15,LF,0.3554666666666666,29250.0,30720.0,0.0684072302056987,0.3545,0.3622,28906,41125,Eptesicus serotinus,0.008,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
16,LF,0.3878333333333333,23250.0,23040.0,-0.45151843854429896,0.3855,0.3965,22890,29249,Nyctalus leisleri,0.01,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
17,HF,0.4165333333333333,80250.0,72000.0,0.46877631990563706,0.3885,0.4263,68437,82101,Rhinolophus ferrumequinum,0.03,0.03,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
18,HF,0.4180666666666666,72000.0,69120.0,-0.4279251607611534,0.4075,0.4441,68437,81752,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
19,LF,0.41173333333333323,33750.0,30720.0,1.1393817733305869,0.4085,0.4186,28906,37551,Eptesicus serotinus,0.012,0.027,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
20,LF,0.4229666666666666,29250.0,27839.999999999996,0.8317541584255744,0.4185,0.4262,27187,36759,Eptesicus serotinus,0.008,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
21,HF,0.47486666666666666,76500.0,78720.0,0.5213474651667259,0.4535,0.4933,68437,83089,Rhinolophus ferrumequinum,0.026,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
22,LF,0.48679999999999995,27750.0,26880.000000000004,-0.4597371232622988,0.4845,0.4932,26328,35247,Eptesicus serotinus,0.01,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
23,LF,0.5164,18000.0,18240.0,5.328777893524492,0.5115,0.5316,18593,21607,Nyctalus noctula,0.012,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
24,LF,0.5317333333333333,25500.0,28800.0,0.7088018483436247,0.5305,0.5391,26328,36328,Eptesicus serotinus,0.009,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
25,HF,0.5874333333333334,76500.0,74880.0,-0.05260578081616224,0.5515,0.5919,68437,82909,Rhinolophus ferrumequinum,0.031,0.031,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
26,LF,0.5612666666666667,24000.0,24960.0,0.9948230484415241,0.5605,0.5684,24609,33654,Plecotus austriacus,0.006,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
27,LF,0.5740333333333334,24000.0,23040.0,-1.00173559162165,0.5725,0.5808,23750,31844,Plecotus austriacus,0.007,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
28,HF,0.5836333333333334,37500.0,38400.0,0.9962818482735923,0.5775,0.5882,37500,42502,Pipistrellus nathusii,0.016,0.028,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
29,LF,0.5808666666666666,21000.0,22080.0,0.4071550052207068,0.5805,0.5923,22031,26884,Nyctalus leisleri,0.011,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
30,HF,0.6061000000000001,75750.0,75840.0,-0.3199042693754451,0.6015,0.6394,68437,81930,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
31,HF,0.6711666666666666,77250.0,73920.0,-0.4412214019807142,0.6395,0.676,68437,82408,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
