Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
HF	0.103	78000.0	72960.0	0.0304605381390418	0.0805	0.1215	68437	83068	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	1	Waveform 1	1
HF	0.2504666666666666	74250.0	72000.0	0.3014958189535093	0.2355	0.2747	68437	81583	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	2	Waveform 1	1
HF	0.3734999999999999	78750.0	70080.0	0.211191419515809	0.3455	0.388	68437	82775	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	3	Waveform 1	1
HF	0.5391333333333332	80250.0	73920.0	0.1277756536472972	0.5385	0.5792	68437	83037	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	4	Waveform 1	1
HF	0.5824333333333332	78000.0	72000.0	0.0581351123715657	0.5585	0.5934	68437	81505	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	5	Waveform 1	1
HF	0.7075666666666667	81000.0	80640.0	0.0224279966377219	0.6755	0.7151	68437	82477	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	6	Waveform 1	1
HF	0.9224666666666668	70500.0	70080.0	0.0781707463026375	0.9185	0.9547	68437	81506	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	7	Waveform 1	1
HF	1.3627333333333334	75750.0	70080.0	0.171893304561925	1.3285	1.3671	68437	82508	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	8	Waveform 1	1
HF	1.4878333333333331	68250.0	72000.0	0.3437592550319269	1.4575	1.4965	68437	82684	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	9	Waveform 1	1
HF	1.5007333333333333	77250.0	72960.0	0.3443653342385763	1.4745	1.5141	68437	82715	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	10	Waveform 1	1
HF	1.5280666666666665	75000.0	71040.0	0.0330767728926505	1.5085	1.5501	68437	83574	Rhinolophus ferrumequinum	0.029	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	11	Waveform 1	1
HF	1.528233333333333	75750.0	71040.0	0.0456185098370679	1.5275	1.5681	68437	82897	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	12	Waveform 1	1
HF	1.7814333333333334	79500.0	71040.0	0.7038547189429377	1.7615	1.8039	68437	83835	Rhinolophus ferrumequinum	0.038	0.038	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	13	Waveform 1	1
HF	1.9160333333333333	69750.0	72960.0	0.9259060021531648	1.8855	1.9243	68437	81980	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	14	Waveform 1	1
