Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file
1	Waveform 1	1	0.399500000	0.406200000	17734.000	28032.000	LF	0.4026333333333333	21000.0	21120.0	7.615996044198811	Plecotus austriacus	0.065	0.091	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
1	Spectrogram 1	1	0.399500000	0.406200000	17734.000	28032.000	LF	0.4026333333333333	21000.0	21120.0	7.615996044198811	Plecotus austriacus	0.065	0.091	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
2	Waveform 1	1	0.900500000	0.913300000	17734.000	24233.000	LF	0.9022	18750.0	19200.0	12.459551666423966	Nyctalus noctula	0.028	0.044	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
2	Spectrogram 1	1	0.900500000	0.913300000	17734.000	24233.000	LF	0.9022	18750.0	19200.0	12.459551666423966	Nyctalus noctula	0.028	0.044	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
3	Waveform 1	1	1.123500000	1.135800000	18593.000	24007.000	LF	1.1257	20250.0	19200.0	8.172554795834095	Nyctalus noctula	0.01	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
3	Spectrogram 1	1	1.123500000	1.135800000	18593.000	24007.000	LF	1.1257	20250.0	19200.0	8.172554795834095	Nyctalus noctula	0.01	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
4	Waveform 1	1	4.441500000	4.447900000	52109.000	59097.000	HF	4.444933333333332	52500.0	51840.0	8.891129956720473	Pipistrellus pipistrellus	0.02	0.037	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
4	Spectrogram 1	1	4.441500000	4.447900000	52109.000	59097.000	HF	4.444933333333332	52500.0	51840.0	8.891129956720473	Pipistrellus pipistrellus	0.02	0.037	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
5	Waveform 1	1	4.443500000	4.448600000	32343.000	72289.000	HF	4.444733333333334	52500.0	47040.0	9.223380451931677	Myotis mystacinus	0.013	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
5	Spectrogram 1	1	4.443500000	4.448600000	32343.000	72289.000	HF	4.444733333333334	52500.0	47040.0	9.223380451931677	Myotis mystacinus	0.013	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
