KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,freq_group,call_start_time,cycle_ref_time,call_end_time,start_time_wrt_ref,end_time_wrt_ref
HF,1.006732,31250.0,33600.0,15.852417661516045,2401.0045,2401.0119,21171,50075,Eptesicus serotinus,0.323,0.65,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel4_2400to3000.WAV,HF,2025-05-02 04:10:15.004500,2025-05-02 04:10:15.004500,2025-05-02 04:10:15.011900,2401.0045,2401.0119
LF,1.071548,31250.0,28800.0,8.7479656738548,2401.0645,2401.0747,26328,46277,Eptesicus serotinus,0.435,0.71,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel2_2400to3000.WAV,LF,2025-05-02 04:10:15.064500,2025-05-02 04:10:15.064500,2025-05-02 04:10:15.074700,2401.0645,2401.0747
LF,1.2091759999999998,31250.0,28800.0,20.112770583868205,2401.2025,2401.2152,25468,49287,Eptesicus serotinus,0.523,0.737,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel2_2400to3000.WAV,LF,2025-05-02 04:10:15.202500,2025-05-02 04:10:15.202500,2025-05-02 04:10:15.215200,2401.2025,2401.2152
LF,1.2502,31250.0,26880.000000000004,20.235998006563555,2401.2475,2401.2616,24609,44634,Eptesicus serotinus,0.445,0.738,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:15.247500,2025-05-02 04:10:15.247500,2025-05-02 04:10:15.261600,2401.2475,2401.2616
LF,1.3161919999999998,31250.0,27839.999999999996,0.5609525709868844,2401.3125,2401.3218,24609,32893,Eptesicus serotinus,0.234,0.546,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel4_2400to3000.WAV,LF,2025-05-02 04:10:15.312500,2025-05-02 04:10:15.312500,2025-05-02 04:10:15.321800,2401.3125,2401.3218
HF,1.347812,39062.5,33600.0,12.724299233204889,2401.3465,2401.3593,25468,49436,Eptesicus serotinus,0.499,0.726,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel6_2400to3000.WAV,HF,2025-05-02 04:10:15.346500,2025-05-02 04:10:15.346500,2025-05-02 04:10:15.359300,2401.3465,2401.3593
LF,1.3745999999999998,31250.0,32640.000000000004,8.090917707214519,2401.3715,2401.3852,24609,46924,Eptesicus serotinus,0.544,0.734,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:15.371500,2025-05-02 04:10:15.371500,2025-05-02 04:10:15.385200,2401.3715,2401.3852
LF,1.4261080000000002,31250.0,26880.000000000004,14.448909335821334,2401.4245,2401.4351,22031,42670,Nyctalus noctula,0.581,0.725,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel1_2400to3000.WAV,LF,2025-05-02 04:10:15.424500,2025-05-02 04:10:15.424500,2025-05-02 04:10:15.435100,2401.4245,2401.4351
LF,1.4729399999999997,31250.0,34560.0,13.354849408348697,2401.4685,2401.4775,23750,45458,Eptesicus serotinus,0.396,0.702,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel4_2400to3000.WAV,LF,2025-05-02 04:10:15.468500,2025-05-02 04:10:15.468500,2025-05-02 04:10:15.477500,2401.4685,2401.4775
LF,1.517436,23437.5,25920.0,7.053842360433454,2401.5115,2401.5199,22890,40686,Eptesicus serotinus,0.316,0.651,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel2_2400to3000.WAV,LF,2025-05-02 04:10:15.511500,2025-05-02 04:10:15.511500,2025-05-02 04:10:15.519900,2401.5115,2401.5199
