Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file
1	Waveform 1	1	97.130500000	97.155400000	65000.000	75429.000	0.0249	HF	97.13176666666666	65250.0	64320.00000000001	8.633158777101524	Rhinolophus ferrumequinum	0.019	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
1	Spectrogram 1	1	97.130500000	97.155400000	65000.000	75429.000	0.0249	HF	97.13176666666666	65250.0	64320.00000000001	8.633158777101524	Rhinolophus ferrumequinum	0.019	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
2	Waveform 1	1	192.654500000	192.663200000	60703.000	67103.000	0.0087	HF	192.6603	59250.0	58560.0	9.262778072897971	Pipistrellus pygmaeus	0.027	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
2	Spectrogram 1	1	192.654500000	192.663200000	60703.000	67103.000	0.0087	HF	192.6603	59250.0	58560.0	9.262778072897971	Pipistrellus pygmaeus	0.027	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
3	Waveform 1	1	484.783500000	484.819000000	68437.000	81595.000	0.0355	HF	484.8068333333333	74250.0	75840.0	8.382041724438945	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
3	Spectrogram 1	1	484.783500000	484.819000000	68437.000	81595.000	0.0355	HF	484.8068333333333	74250.0	75840.0	8.382041724438945	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
4	Waveform 1	1	488.875500000	488.910000000	67578.000	80081.000	0.0345	HF	488.88233333333335	78000.0	75840.0	8.21788258191363	Rhinolophus ferrumequinum	0.028	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
4	Spectrogram 1	1	488.875500000	488.910000000	67578.000	80081.000	0.0345	HF	488.88233333333335	78000.0	75840.0	8.21788258191363	Rhinolophus ferrumequinum	0.028	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
5	Waveform 1	1	1012.161500000	1012.198700000	68437.000	82292.000	0.0372	HF	1012.1983	77250.0	77760.0	7.197051808349341	Rhinolophus ferrumequinum	0.033	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
5	Spectrogram 1	1	1012.161500000	1012.198700000	68437.000	82292.000	0.0372	HF	1012.1983	77250.0	77760.0	7.197051808349341	Rhinolophus ferrumequinum	0.033	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
6	Waveform 1	1	1012.171500000	1012.205000000	68437.000	81316.000	0.0335	HF	1012.1933333333334	78750.0	75840.0	9.545880968705395	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
6	Spectrogram 1	1	1012.171500000	1012.205000000	68437.000	81316.000	0.0335	HF	1012.1933333333334	78750.0	75840.0	9.545880968705395	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
7	Waveform 1	1	1013.624500000	1013.661000000	68437.000	82130.000	0.0365	HF	1013.6573333333332	80250.0	78720.0	8.773483470462146	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
7	Spectrogram 1	1	1013.624500000	1013.661000000	68437.000	82130.000	0.0365	HF	1013.6573333333332	80250.0	78720.0	8.773483470462146	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
8	Waveform 1	1	1013.646500000	1013.687900000	68437.000	82350.000	0.0414	HF	1013.6569333333332	80250.0	78720.0	9.065968700736567	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
8	Spectrogram 1	1	1013.646500000	1013.687900000	68437.000	82350.000	0.0414	HF	1013.6569333333332	80250.0	78720.0	9.065968700736567	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
9	Waveform 1	1	1014.144500000	1014.182900000	68437.000	82231.000	0.0384	HF	1014.1556	80250.0	78720.0	10.659813668687704	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
9	Spectrogram 1	1	1014.144500000	1014.182900000	68437.000	82231.000	0.0384	HF	1014.1556	80250.0	78720.0	10.659813668687704	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
10	Waveform 1	1	1014.153500000	1014.193400000	68437.000	82558.000	0.0399	HF	1014.1549333333334	81000.0	77760.0	10.585202364872844	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
10	Spectrogram 1	1	1014.153500000	1014.193400000	68437.000	82558.000	0.0399	HF	1014.1549333333334	81000.0	77760.0	10.585202364872844	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
11	Waveform 1	1	1014.681500000	1014.721200000	68437.000	82086.000	0.0397	HF	1014.7099666666668	80250.0	77760.0	7.67183603924	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
11	Spectrogram 1	1	1014.681500000	1014.721200000	68437.000	82086.000	0.0397	HF	1014.7099666666668	80250.0	77760.0	7.67183603924	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
12	Waveform 1	1	1014.698500000	1014.736900000	68437.000	81740.000	0.0384	HF	1014.7166	77250.0	77760.0	8.693264629976238	Rhinolophus ferrumequinum	0.021	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
12	Spectrogram 1	1	1014.698500000	1014.736900000	68437.000	81740.000	0.0384	HF	1014.7166	77250.0	77760.0	8.693264629976238	Rhinolophus ferrumequinum	0.021	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
13	Waveform 1	1	1134.243500000	1134.293700000	68437.000	83367.000	0.0502	HF	1134.2486333333334	82500.0	81600.0	7.4231489451970045	Rhinolophus ferrumequinum	0.096	0.096	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
13	Spectrogram 1	1	1134.243500000	1134.293700000	68437.000	83367.000	0.0502	HF	1134.2486333333334	82500.0	81600.0	7.4231489451970045	Rhinolophus ferrumequinum	0.096	0.096	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
14	Waveform 1	1	1134.528500000	1134.578100000	68437.000	83524.000	0.0496	HF	1134.5342333333333	82500.0	80640.0	7.17767855093728	Rhinolophus ferrumequinum	0.055	0.055	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
14	Spectrogram 1	1	1134.528500000	1134.578100000	68437.000	83524.000	0.0496	HF	1134.5342333333333	82500.0	80640.0	7.17767855093728	Rhinolophus ferrumequinum	0.055	0.055	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
15	Waveform 1	1	1137.379500000	1137.422700000	68437.000	82431.000	0.0432	HF	1137.3928	80250.0	79680.0	8.087788214312072	Rhinolophus ferrumequinum	0.028	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
15	Spectrogram 1	1	1137.379500000	1137.422700000	68437.000	82431.000	0.0432	HF	1137.3928	80250.0	79680.0	8.087788214312072	Rhinolophus ferrumequinum	0.028	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
16	Waveform 1	1	1137.912500000	1137.948700000	68437.000	82347.000	0.0362	HF	1137.9456333333333	80250.0	79680.0	8.591788824597472	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
16	Spectrogram 1	1	1137.912500000	1137.948700000	68437.000	82347.000	0.0362	HF	1137.9456333333333	80250.0	79680.0	8.591788824597472	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
17	Waveform 1	1	1137.937500000	1137.978000000	68437.000	82359.000	0.0405	HF	1137.945333333333	80250.0	79680.0	8.628402719767315	Rhinolophus ferrumequinum	0.031	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
17	Spectrogram 1	1	1137.937500000	1137.978000000	68437.000	82359.000	0.0405	HF	1137.945333333333	80250.0	79680.0	8.628402719767315	Rhinolophus ferrumequinum	0.031	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
18	Waveform 1	1	1756.119500000	1756.160500000	68437.000	82441.000	0.0410	HF	1756.1291666666666	69750.0	70080.0	7.000712312635122	Rhinolophus ferrumequinum	0.036	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
18	Spectrogram 1	1	1756.119500000	1756.160500000	68437.000	82441.000	0.0410	HF	1756.1291666666666	69750.0	70080.0	7.000712312635122	Rhinolophus ferrumequinum	0.036	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
19	Waveform 1	1	1756.128500000	1756.152600000	65000.000	73370.000	0.0241	HF	1756.1294	65250.0	65280.00000000001	11.344636253321156	Rhinolophus ferrumequinum	0.035	0.04	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
19	Spectrogram 1	1	1756.128500000	1756.152600000	65000.000	73370.000	0.0241	HF	1756.1294	65250.0	65280.00000000001	11.344636253321156	Rhinolophus ferrumequinum	0.035	0.04	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
20	Waveform 1	1	610.653500000	610.692400000	68437.000	81247.000	0.0389	HF	610.6582666666667	75750.0	75840.0	7.975740871385848	Rhinolophus ferrumequinum	0.033	0.034	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
20	Spectrogram 1	1	610.653500000	610.692400000	68437.000	81247.000	0.0389	HF	610.6582666666667	75750.0	75840.0	7.975740871385848	Rhinolophus ferrumequinum	0.033	0.034	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
21	Waveform 1	1	610.771500000	610.800800000	65000.000	76612.000	0.0293	HF	610.7718666666667	75000.0	65280.00000000001	7.3156938270695315	Rhinolophus ferrumequinum	0.02	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
21	Spectrogram 1	1	610.771500000	610.800800000	65000.000	76612.000	0.0293	HF	610.7718666666667	75000.0	65280.00000000001	7.3156938270695315	Rhinolophus ferrumequinum	0.02	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
22	Waveform 1	1	611.112500000	611.132700000	64140.000	73611.000	0.0202	HF	611.1126333333333	71250.0	64320.00000000001	7.267264274506643	Rhinolophus ferrumequinum	0.015	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
22	Spectrogram 1	1	611.112500000	611.132700000	64140.000	73611.000	0.0202	HF	611.1126333333333	71250.0	64320.00000000001	7.267264274506643	Rhinolophus ferrumequinum	0.015	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
