Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	_merge	Selection	View	Channel
HF	4.444933333333332	52500.0	51840.0	8.891129956720473	4.4415	4.4479	52109	59097	Pipistrellus pipistrellus	0.02	0.037	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	1	Waveform 1	1
HF	5.154633333333333	50250.0	48000.0	8.709493726322197	5.1505	5.1562	33203	74284	Myotis mystacinus	0.011	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	2	Waveform 1	1
HF	5.926133333333333	46500.0	46080.0	3.8761202640736823	5.9215	5.9267	34921	71559	Myotis mystacinus	0.012	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	3	Waveform 1	1
HF	7.254466666666667	48000.0	48960.0	3.308504181941165	7.2515	7.2572	37500	64690	Myotis brandtii	0.009	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	4	Waveform 1	1
HF	31.6761	54000.0	45120.0	2.094401191511464	31.6735	31.6784	37500	60606	Myotis bechsteinii	0.009	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	5	Waveform 1	1
HF	64.0417	49500.0	48960.0	1.930784091397363	64.0395	64.0448	34062	59954	Myotis mystacinus	0.01	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	6	Waveform 1	1
HF	64.09826666666666	49500.0	48960.0	5.2084504963942315	64.0955	64.1014	33203	68060	Myotis daubentonii	0.009	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	7	Waveform 1	1
HF	64.2948	50250.0	50880.0	0.4670187646512821	64.2925	64.2977	32343	69945	Myotis mystacinus	0.012	0.032	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	8	Waveform 1	1
HF	64.33936666666666	47250.0	47040.0	1.8646238869588476	64.3345	64.3418	46093	64088	Pipistrellus pipistrellus	0.013	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	9	Waveform 1	1
HF	64.5644	44250.0	27839.999999999996	1.0813088902382382	64.5615	64.5661	27187	47040	Myotis nattereri	0.023	0.054	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	10	Waveform 1	1
