Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	_merge	Selection	View	Channel
HF	3.914266666666667	47250.0	46080.0	8.649871245924555	3.9105	3.9154	45234	59565	Pipistrellus pipistrellus	0.266	0.355	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	1	Waveform 1	1
HF	4.0455	52500.0	48000.0	2.673958169047056	4.0445	4.051	46953	53999	Pipistrellus pipistrellus	0.046	0.048	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	2	Waveform 1	1
HF	4.3105	48000.0	47040.0	10.101822210113143	4.3085	4.314	46093	59238	Pipistrellus pipistrellus	0.512	0.542	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	3	Waveform 1	1
HF	4.444799999999999	52500.0	47040.0	11.660364267601596	4.4425	4.4477	44375	59482	Pipistrellus pipistrellus	0.363	0.47	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	4	Waveform 1	1
HF	5.006266666666666	46500.0	46080.0	19.477498722668468	5.0035	5.0094	45234	60073	Pipistrellus pipistrellus	0.489	0.538	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	5	Waveform 1	1
HF	5.154766666666667	50250.0	52800.00000000001	12.434719096041544	5.1515	5.1569	46093	61459	Pipistrellus pipistrellus	0.439	0.517	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	6	Waveform 1	1
HF	5.786766666666667	48750.0	48960.0	20.1849798781274	5.7835	5.7889	44375	59142	Pipistrellus pipistrellus	0.63	0.713	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	7	Waveform 1	1
HF	5.9261333333333335	46500.0	46080.0	4.930855975073405	5.9225	5.9287	46093	59454	Pipistrellus pipistrellus	0.346	0.391	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	8	Waveform 1	1
HF	6.0726	53250.0	52800.00000000001	8.264410224242113	6.0685	6.0754	51250	57840	Pipistrellus pygmaeus	0.149	0.29	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	9	Waveform 1	1
HF	6.654933333333333	47250.0	48000.0	5.185652742655767	6.6505	6.6559	46953	54271	Pipistrellus pipistrellus	0.087	0.098	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	10	Waveform 1	1
HF	7.254366666666667	48750.0	48960.0	4.7279659358213175	7.2515	7.2573	46953	55871	Pipistrellus pipistrellus	0.128	0.145	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	11	Waveform 1	1
HF	8.681166666666666	41250.0	40320.0	1.788973810675385	8.6785	8.688	38359	43377	Pipistrellus nathusii	0.203	0.227	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	12	Waveform 1	1
HF	8.971733333333333	40500.0	40320.0	4.310896897278326	8.9675	8.9766	38359	49128	Pipistrellus nathusii	0.442	0.503	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	13	Waveform 1	1
HF	9.704866666666668	39000.0	40320.0	5.6011581583069265	9.7005	9.7083	38359	45348	Pipistrellus nathusii	0.328	0.447	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	14	Waveform 1	1
HF	31.676166666666667	54000.0	53760.00000000001	2.1872318681350538	31.6735	31.6795	52968	59583	Pipistrellus pygmaeus	0.03	0.045	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	15	Waveform 1	1
HF	32.0714	52500.0	52800.00000000001	9.249273588774512	32.0685	32.0731	49531	60818	Pipistrellus pipistrellus	0.224	0.259	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	16	Waveform 1	1
HF	32.5547	53250.0	52800.00000000001	4.510693907772513	32.5515	32.5593	52109	57301	Pipistrellus pygmaeus	0.057	0.086	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	17	Waveform 1	1
HF	41.21436666666666	54000.0	52800.00000000001	9.2959788114386	41.2115	41.2173	46953	58148	Pipistrellus pipistrellus	0.23	0.267	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	18	Waveform 1	1
HF	41.44616666666667	49500.0	48960.0	9.087235191203677	41.4415	41.449	46953	59665	Pipistrellus pipistrellus	0.368	0.493	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	19	Waveform 1	1
HF	46.33236666666666	41250.0	41280.0	4.877510367569825	46.3285	46.3368	39218	44041	Pipistrellus nathusii	0.075	0.166	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	20	Waveform 1	1
HF	46.42503333333333	41250.0	41280.0	5.610902251108002	46.4205	46.4293	39218	46281	Pipistrellus nathusii	0.2	0.301	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	21	Waveform 1	1
HF	64.0417	49500.0	51840.0	3.4014312195292655	64.0395	64.0448	48671	56930	Pipistrellus pipistrellus	0.284	0.293	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	22	Waveform 1	1
HF	64.0985	48750.0	48960.0	9.125726552934816	64.0955	64.1	47812	62676	Pipistrellus pipistrellus	0.537	0.593	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	23	Waveform 1	1
HF	64.1511	51750.0	51840.0	4.986151202067909	64.1485	64.1534	48671	61188	Pipistrellus pipistrellus	0.305	0.374	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	24	Waveform 1	1
HF	64.29463333333334	50250.0	50880.0	3.3636119597520446	64.2925	64.2967	48671	59058	Pipistrellus pipistrellus	0.399	0.412	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	25	Waveform 1	1
HF	64.34853333333334	50250.0	49920.0	4.6042614118348695	64.3465	64.35079999999999	49531	57541	Pipistrellus pipistrellus	0.449	0.465	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	26	Waveform 1	1
HF	64.56933333333333	48750.0	48000.0	2.783723005040723	64.5675	64.572	46953	59031	Pipistrellus pipistrellus	0.38	0.422	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	27	Waveform 1	1
HF	64.72836666666667	48000.0	49920.0	8.452268326892495	64.7255	64.7313	47812	55373	Pipistrellus pipistrellus	0.576	0.59	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	28	Waveform 1	1
HF	64.78396666666667	52500.0	49920.0	9.299082286150565	64.7825	64.7862	46953	60705	Pipistrellus pipistrellus	0.476	0.514	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	29	Waveform 1	1
HF	64.89723333333333	46500.0	46080.0	4.168977524772313	64.8955	64.9001	43515	61159	Pipistrellus pipistrellus	0.079	0.177	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	30	Waveform 1	1
HF	65.00733333333334	49500.0	48960.0	5.097772304347483	65.0055	65.01	46953	58510	Pipistrellus pipistrellus	0.311	0.323	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	31	Waveform 1	1
HF	65.05256666666666	55500.0	49920.0	7.0230863259069265	65.0515	65.0556	47812	60997	Pipistrellus pipistrellus	0.519	0.555	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	32	Waveform 1	1
HF	65.15243333333333	54750.0	53760.00000000001	8.288387425604904	65.1505	65.1549	47812	59844	Pipistrellus pipistrellus	0.224	0.285	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	33	Waveform 1	1
HF	65.25546666666666	52500.0	52800.00000000001	9.888556975018254	65.2535	65.2567	49531	61850	Pipistrellus pipistrellus	0.39	0.427	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	right_only	34	Waveform 1	1
