Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file
1	Waveform 1	1	46.331500000	46.368000000	68437.000	81417.000	HF	46.364333333333335	75000.0	73920.0	2.264056209299075	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
1	Spectrogram 1	1	46.331500000	46.368000000	68437.000	81417.000	HF	46.364333333333335	75000.0	73920.0	2.264056209299075	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
2	Waveform 1	1	96.526500000	96.566300000	68437.000	82412.000	HF	96.55603333333332	67500.0	80640.0	2.370181752645244	Rhinolophus ferrumequinum	0.032	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
2	Spectrogram 1	1	96.526500000	96.566300000	68437.000	82412.000	HF	96.55603333333332	67500.0	80640.0	2.370181752645244	Rhinolophus ferrumequinum	0.032	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
3	Waveform 1	1	96.995500000	97.036900000	68437.000	82191.000	HF	97.0036	79500.0	72960.0	2.729397206548652	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
3	Spectrogram 1	1	96.995500000	97.036900000	68437.000	82191.000	HF	97.0036	79500.0	72960.0	2.729397206548652	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
4	Waveform 1	1	97.130500000	97.155400000	65000.000	75429.000	HF	97.13176666666666	65250.0	64320.00000000001	8.633158777101524	Rhinolophus ferrumequinum	0.019	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
4	Spectrogram 1	1	97.130500000	97.155400000	65000.000	75429.000	HF	97.13176666666666	65250.0	64320.00000000001	8.633158777101524	Rhinolophus ferrumequinum	0.019	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
5	Waveform 1	1	97.251500000	97.296600000	68437.000	83851.000	HF	97.25473333333332	78750.0	72000.0	2.357955299700418	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
5	Spectrogram 1	1	97.251500000	97.296600000	68437.000	83851.000	HF	97.25473333333332	78750.0	72000.0	2.357955299700418	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
6	Waveform 1	1	170.477500000	170.513900000	68437.000	81421.000	HF	170.47893333333332	78750.0	75840.0	3.007552193371668	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
6	Spectrogram 1	1	170.477500000	170.513900000	68437.000	81421.000	HF	170.47893333333332	78750.0	75840.0	3.007552193371668	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
7	Waveform 1	1	171.326500000	171.366500000	68437.000	81886.000	HF	171.34766666666667	71250.0	72000.0	4.693764111801587	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
7	Spectrogram 1	1	171.326500000	171.366500000	68437.000	81886.000	HF	171.34766666666667	71250.0	72000.0	4.693764111801587	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
8	Waveform 1	1	175.017500000	175.056000000	68437.000	81056.000	HF	175.03316666666666	74250.0	74880.0	2.401092850730538	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
8	Spectrogram 1	1	175.017500000	175.056000000	68437.000	81056.000	HF	175.03316666666666	74250.0	74880.0	2.401092850730538	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
9	Waveform 1	1	193.283500000	193.326700000	68437.000	83016.000	HF	193.2886333333333	71250.0	75840.0	2.340306019475543	Rhinolophus ferrumequinum	0.036	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
9	Spectrogram 1	1	193.283500000	193.326700000	68437.000	83016.000	HF	193.2886333333333	71250.0	75840.0	2.340306019475543	Rhinolophus ferrumequinum	0.036	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
10	Waveform 1	1	193.351500000	193.393200000	68437.000	82616.000	HF	193.3558	70500.0	71040.0	2.6184982104782213	Rhinolophus ferrumequinum	0.028	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
10	Spectrogram 1	1	193.351500000	193.393200000	68437.000	82616.000	HF	193.3558	70500.0	71040.0	2.6184982104782213	Rhinolophus ferrumequinum	0.028	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
11	Waveform 1	1	204.181500000	204.217200000	68437.000	81698.000	HF	204.1988	75750.0	74880.0	3.390504487275237	Rhinolophus ferrumequinum	0.028	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
11	Spectrogram 1	1	204.181500000	204.217200000	68437.000	81698.000	HF	204.1988	75750.0	74880.0	3.390504487275237	Rhinolophus ferrumequinum	0.028	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
12	Waveform 1	1	204.195500000	204.232000000	68437.000	81619.000	HF	204.19916666666663	75750.0	74880.0	2.3968873355191525	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
12	Spectrogram 1	1	204.195500000	204.232000000	68437.000	81619.000	HF	204.19916666666663	75750.0	74880.0	2.3968873355191525	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
13	Waveform 1	1	205.021500000	205.058100000	68437.000	80746.000	HF	205.03556666666668	74250.0	73920.0	2.1271303691192647	Rhinolophus ferrumequinum	0.033	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
13	Spectrogram 1	1	205.021500000	205.058100000	68437.000	80746.000	HF	205.03556666666668	74250.0	73920.0	2.1271303691192647	Rhinolophus ferrumequinum	0.033	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
14	Waveform 1	1	205.842500000	205.884100000	68437.000	82861.000	HF	205.8772333333333	75000.0	74880.0	2.331676010348661	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
14	Spectrogram 1	1	205.842500000	205.884100000	68437.000	82861.000	HF	205.8772333333333	75000.0	74880.0	2.331676010348661	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
15	Waveform 1	1	205.863500000	205.906600000	68437.000	82405.000	HF	205.88156666666663	72750.0	74880.0	2.2757802871292725	Rhinolophus ferrumequinum	0.042	0.042	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
15	Spectrogram 1	1	205.863500000	205.906600000	68437.000	82405.000	HF	205.88156666666663	72750.0	74880.0	2.2757802871292725	Rhinolophus ferrumequinum	0.042	0.042	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
16	Waveform 1	1	307.552500000	307.592600000	68437.000	82722.000	HF	307.5922333333333	78000.0	75840.0	2.225026631921846	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
16	Spectrogram 1	1	307.552500000	307.592600000	68437.000	82722.000	HF	307.5922333333333	78000.0	75840.0	2.225026631921846	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
