Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file
1	Waveform 1	1	4.441500000	4.447900000	52109.000	59097.000	HF	4.444933333333332	52500.0	51840.0	8.891129956720473	Pipistrellus pipistrellus	0.02	0.037	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
1	Spectrogram 1	1	4.441500000	4.447900000	52109.000	59097.000	HF	4.444933333333332	52500.0	51840.0	8.891129956720473	Pipistrellus pipistrellus	0.02	0.037	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
2	Waveform 1	1	5.150500000	5.156200000	33203.000	74284.000	HF	5.154633333333333	50250.0	48000.0	8.709493726322197	Myotis mystacinus	0.011	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
2	Spectrogram 1	1	5.150500000	5.156200000	33203.000	74284.000	HF	5.154633333333333	50250.0	48000.0	8.709493726322197	Myotis mystacinus	0.011	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
3	Waveform 1	1	31.776500000	31.784400000	52109.000	59220.000	HF	31.780766666666665	56250.0	52800.00000000001	5.642220733497067	Pipistrellus pygmaeus	0.029	0.06	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
3	Spectrogram 1	1	31.776500000	31.784400000	52109.000	59220.000	HF	31.780766666666665	56250.0	52800.00000000001	5.642220733497067	Pipistrellus pygmaeus	0.029	0.06	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
4	Waveform 1	1	63.766500000	63.771400000	48671.000	58561.000	HF	63.77026666666666	52500.0	52800.00000000001	5.597649940075067	Pipistrellus pipistrellus	0.069	0.082	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
4	Spectrogram 1	1	63.766500000	63.771400000	48671.000	58561.000	HF	63.77026666666666	52500.0	52800.00000000001	5.597649940075067	Pipistrellus pipistrellus	0.069	0.082	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
5	Waveform 1	1	64.095500000	64.101400000	33203.000	68060.000	HF	64.09826666666666	49500.0	48960.0	5.208450496394232	Myotis daubentonii	0.009	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
5	Spectrogram 1	1	64.095500000	64.101400000	33203.000	68060.000	HF	64.09826666666666	49500.0	48960.0	5.208450496394232	Myotis daubentonii	0.009	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
6	Waveform 1	1	64.782500000	64.787600000	32343.000	70241.000	HF	64.78373333333333	53250.0	49920.0	5.707355455641218	Myotis mystacinus	0.013	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
6	Spectrogram 1	1	64.782500000	64.787600000	32343.000	70241.000	HF	64.78373333333333	53250.0	49920.0	5.707355455641218	Myotis mystacinus	0.013	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
7	Waveform 1	1	65.252500000	65.257800000	32343.000	73273.000	HF	65.2547	54000.0	52800.00000000001	5.273869229018863	Myotis mystacinus	0.011	0.032	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
7	Spectrogram 1	1	65.252500000	65.257800000	32343.000	73273.000	HF	65.2547	54000.0	52800.00000000001	5.273869229018863	Myotis mystacinus	0.011	0.032	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
8	Waveform 1	1	65.298500000	65.304200000	33203.000	68106.000	HF	65.30146666666667	54750.0	51840.0	5.606975835145026	Myotis brandtii	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
8	Spectrogram 1	1	65.298500000	65.304200000	33203.000	68106.000	HF	65.30146666666667	54750.0	51840.0	5.606975835145026	Myotis brandtii	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
9	Waveform 1	1	65.455500000	65.460700000	30625.000	74085.000	HF	65.45779999999999	48000.0	47040.0	8.950842919759074	Myotis mystacinus	0.014	0.039	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
9	Spectrogram 1	1	65.455500000	65.460700000	30625.000	74085.000	HF	65.45779999999999	48000.0	47040.0	8.950842919759074	Myotis mystacinus	0.014	0.039	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
10	Waveform 1	1	95.675500000	95.682700000	53828.000	63895.000	HF	95.6793	54000.0	53760.00000000001	5.0322160422714335	Pipistrellus pygmaeus	0.121	0.129	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
10	Spectrogram 1	1	95.675500000	95.682700000	53828.000	63895.000	HF	95.6793	54000.0	53760.00000000001	5.0322160422714335	Pipistrellus pygmaeus	0.121	0.129	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
11	Waveform 1	1	95.817500000	95.823100000	33203.000	65387.000	HF	95.8194	55500.0	55679.99999999999	5.151890068573062	Myotis brandtii	0.011	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
11	Spectrogram 1	1	95.817500000	95.823100000	33203.000	65387.000	HF	95.8194	55500.0	55679.99999999999	5.151890068573062	Myotis brandtii	0.011	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
12	Waveform 1	1	97.071500000	97.076300000	57265.000	66149.000	HF	97.07653333333332	62250.0	56640.0	22.578655979066315	Pipistrellus pygmaeus	0.022	0.041	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
12	Spectrogram 1	1	97.071500000	97.076300000	57265.000	66149.000	HF	97.07653333333332	62250.0	56640.0	22.578655979066315	Pipistrellus pygmaeus	0.022	0.041	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
13	Waveform 1	1	97.175500000	97.183300000	55546.000	63122.000	HF	97.18336666666669	58500.0	52800.00000000001	20.88464213619642	Myotis alcathoe	0.01	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
13	Spectrogram 1	1	97.175500000	97.183300000	55546.000	63122.000	HF	97.18336666666669	58500.0	52800.00000000001	20.88464213619642	Myotis alcathoe	0.01	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
14	Waveform 1	1	97.354500000	97.359300000	31484.000	76391.000	HF	97.35603333333331	52500.0	54719.99999999999	12.4457237743579	Myotis mystacinus	0.022	0.049	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
14	Spectrogram 1	1	97.354500000	97.359300000	31484.000	76391.000	HF	97.35603333333331	52500.0	54719.99999999999	12.4457237743579	Myotis mystacinus	0.022	0.049	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
15	Waveform 1	1	97.689500000	97.695500000	29765.000	74872.000	HF	97.69216666666668	50250.0	47040.0	8.416298733734976	Myotis daubentonii	0.009	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
15	Spectrogram 1	1	97.689500000	97.695500000	29765.000	74872.000	HF	97.69216666666668	50250.0	47040.0	8.416298733734976	Myotis daubentonii	0.009	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
16	Waveform 1	1	98.963500000	98.967700000	45234.000	66296.000	HF	98.96563333333332	56250.0	52800.00000000001	5.794541985319718	Myotis alcathoe	0.106	0.179	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
