KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,freq_group,call_start_time,cycle_ref_time,call_end_time,start_time_wrt_ref,end_time_wrt_ref
LF,289.384608,31250.0,26880.000000000004,2.4734389865121487,1489.3795,1489.395,25468.0,30485.0,Echolocation,Nyctalus leisleri,0.295,0.368,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel1_1200to1800.WAV,LF,2025-05-02 03:55:03.379500000,2025-05-02 03:55:03.379500000,2025-05-02 03:55:03.395000000,1489.3795,1489.395
LF,289.630868,31250.0,26880.000000000004,3.1084465169716164,1489.6255,1489.6441,25468.0,29136.0,Echolocation,Nyctalus leisleri,0.441,0.508,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:03.625500000,2025-05-02 03:55:03.625500000,2025-05-02 03:55:03.644100000,1489.6255,1489.6441
LF,290.455668,23437.5,25920.0,8.843589412289024,1490.4475,1490.4689,24609.0,28986.0,Echolocation,Nyctalus leisleri,0.3,0.373,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel7_1200to1800.WAV,LF,2025-05-02 03:55:04.447500000,2025-05-02 03:55:04.447500000,2025-05-02 03:55:04.468900000,1490.4475,1490.4689
LF,290.69372,23437.5,25920.0,6.079069720280316,1490.6865,1490.7028,25468.0,29326.0,Echolocation,Nyctalus leisleri,0.389,0.445,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:04.686500000,2025-05-02 03:55:04.686500000,2025-05-02 03:55:04.702800000,1490.6865,1490.7028
LF,291.531268,23437.5,25920.0,7.015336247137758,1491.5205,1491.5393,25468.0,28644.0,Echolocation,Nyctalus leisleri,0.403,0.439,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:05.520500000,2025-05-02 03:55:05.520500000,2025-05-02 03:55:05.539300000,1491.5205,1491.5393
LF,292.243772,23437.5,25920.0,4.671631442268794,1492.2375,1492.2543,25468.0,28734.0,Echolocation,Nyctalus leisleri,0.437,0.506,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:06.237500000,2025-05-02 03:55:06.237500000,2025-05-02 03:55:06.254300000,1492.2375,1492.2543
LF,292.48804,23437.5,25920.0,4.495228355377577,1492.4765,1492.4952,24609.0,29028.0,Echolocation,Nyctalus leisleri,0.433,0.492,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel4_1200to1800.WAV,LF,2025-05-02 03:55:06.476500000,2025-05-02 03:55:06.476500000,2025-05-02 03:55:06.495200000,1492.4765,1492.4952
LF,292.718508,23437.5,25920.0,4.659480005898785,1492.7135,1492.7319,24609.0,28538.0,Echolocation,Nyctalus leisleri,0.379,0.433,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:06.713500000,2025-05-02 03:55:06.713500000,2025-05-02 03:55:06.731900000,1492.7135,1492.7319
LF,293.194384,23437.5,25920.0,2.884836110817679,1493.1825,1493.2022,24609.0,28942.0,Echolocation,Nyctalus leisleri,0.273,0.351,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:07.182500000,2025-05-02 03:55:07.182500000,2025-05-02 03:55:07.202200000,1493.1825,1493.2022
LF,300.86204,23437.5,25920.0,2.405526305432488,1500.8575,1500.8748,24609.0,27921.0,Echolocation,Nyctalus leisleri,0.459,0.53,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:14.857500000,2025-05-02 03:55:14.857500000,2025-05-02 03:55:14.874800000,1500.8575,1500.8748
LF,326.81146,31250.0,30720.0,0.2340532892352367,1526.8065000000001,1526.8217,26328.0,31065.0,Echolocation,Nyctalus leisleri,0.246,0.363,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel4_1200to1800.WAV,LF,2025-05-02 03:55:40.806500000,2025-05-02 03:55:40.806500000,2025-05-02 03:55:40.821700000,1526.8065000000001,1526.8217
LF,326.965364,31250.0,33600.0,1.0644776999414678,1526.9635,1526.9753,26328.0,32262.0,Echolocation,Nyctalus leisleri,0.452,0.59,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel7_1200to1800.WAV,LF,2025-05-02 03:55:40.963500000,2025-05-02 03:55:40.963500000,2025-05-02 03:55:40.975300000,1526.9635,1526.9753
LF,327.217104,31250.0,30720.0,1.1256271677248744,1527.2024999999999,1527.2206,25468.0,29231.0,Echolocation,Nyctalus leisleri,0.354,0.441,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:41.202499999,2025-05-02 03:55:41.202499999,2025-05-02 03:55:41.220600000,1527.2024999999999,1527.2206
LF,327.470012,31250.0,26880.000000000004,1.1781098564781438,1527.4615,1527.4755,25468.0,29824.0,Echolocation,Nyctalus leisleri,0.49,0.599,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:41.461500000,2025-05-02 03:55:41.461500000,2025-05-02 03:55:41.475500000,1527.4615,1527.4755
