,datetime_UTC,site_name,recover_folder,audiomoth_num,sd_card_num,file_path,file_metadata,file_status,audiomoth_temperature,audiomoth_battery,sample_rate,audiomoth_artist_ID,file_duration,Deployment notes
11,2025-01-13 19:40:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_194000.WAV,Recorded at 19:40:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.1V and temperature was 10.4C.,Usable for detection,10.4C,4.1V,192000,AudioMoth 242A260463FACFE7,300.001940104167,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
12,2025-01-13 19:50:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_195000.WAV,Recorded at 19:50:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 10.6C.,Usable for detection,10.6C,4.0V,192000,AudioMoth 242A260463FACFE7,300.001940104167,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
13,2025-01-13 20:00:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_200000.WAV,Recorded at 20:00:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 9.1C.,Usable for detection, 9.1C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
14,2025-01-13 20:10:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_201000.WAV,Recorded at 20:10:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 8.8C.,Usable for detection, 8.8C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
15,2025-01-13 20:20:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_202000.WAV,Recorded at 20:20:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 8.8C.,Usable for detection, 8.8C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
16,2025-01-13 20:30:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_203000.WAV,Recorded at 20:30:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 9.0C.,Usable for detection, 9.0C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
17,2025-01-13 20:40:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_204000.WAV,Recorded at 20:40:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 8.2C.,Usable for detection, 8.2C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
18,2025-01-13 20:50:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_205000.WAV,Recorded at 20:50:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.9C.,Usable for detection, 7.9C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
19,2025-01-13 21:00:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_210000.WAV,Recorded at 21:00:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.9C.,Usable for detection, 7.9C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
20,2025-01-13 21:10:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_211000.WAV,Recorded at 21:10:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.9C.,Usable for detection, 7.9C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
21,2025-01-13 21:20:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_212000.WAV,Recorded at 21:20:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.9C.,Usable for detection, 7.9C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
22,2025-01-13 21:30:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_213000.WAV,Recorded at 21:30:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.5C.,Usable for detection, 7.5C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
23,2025-01-13 21:40:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_214000.WAV,Recorded at 21:40:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.4C.,Usable for detection, 7.4C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
24,2025-01-13 21:50:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_215000.WAV,Recorded at 21:50:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.2C.,Usable for detection, 7.2C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
25,2025-01-13 22:00:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_220000.WAV,Recorded at 22:00:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.4C.,Usable for detection, 7.4C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
26,2025-01-13 22:10:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_221000.WAV,Recorded at 22:10:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.2C.,Usable for detection, 7.2C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
27,2025-01-13 22:20:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_222000.WAV,Recorded at 22:20:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.4C.,Usable for detection, 7.4C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
28,2025-01-13 22:30:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_223000.WAV,Recorded at 22:30:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.4C.,Usable for detection, 7.4C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
29,2025-01-13 22:40:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_224000.WAV,Recorded at 22:40:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 7.1C.,Usable for detection, 7.1C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
30,2025-01-13 22:50:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_225000.WAV,Recorded at 22:50:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 6.6C.,Usable for detection, 6.6C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
31,2025-01-13 23:00:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_230000.WAV,Recorded at 23:00:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 6.7C.,Usable for detection, 6.7C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
32,2025-01-13 23:10:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_231000.WAV,Recorded at 23:10:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 6.6C.,Usable for detection, 6.6C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
33,2025-01-13 23:20:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_232000.WAV,Recorded at 23:20:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 6.7C.,Usable for detection, 6.7C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
34,2025-01-13 23:30:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_233000.WAV,Recorded at 23:30:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 6.3C.,Usable for detection, 6.3C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
35,2025-01-13 23:40:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_234000.WAV,Recorded at 23:40:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 6.4C.,Usable for detection, 6.4C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
