KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,freq_group,call_start_time,cycle_ref_time,call_end_time,start_time_wrt_ref,end_time_wrt_ref
LF,0.00855,29567.5,30720.0,1.16676084660339,1800.0035,1800.0136,26328,32807,Nyctalus leisleri,0.25,0.476,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1800to2400/hour_0_channel7_1800to2400.WAV,LF,2025-05-02 04:00:14.003500000,2025-05-02 04:00:14.003500000,2025-05-02 04:00:14.013600000,1800.0035,1800.0136
LF,0.077912,31250.0,24960.0,12.98504869637334,1800.0755,1800.09,22890,43252,Eptesicus serotinus,0.514,0.734,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1800to2400/hour_0_channel0_1800to2400.WAV,LF,2025-05-02 04:00:14.075500000,2025-05-02 04:00:14.075500000,2025-05-02 04:00:14.090000000,1800.0755,1800.09
HF,0.162032,39062.5,34560.0,0.998144716389095,1800.1615,1800.165,33203,51431,Myotis daubentonii,0.216,0.245,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1800to2400/hour_0_channel6_1800to2400.WAV,HF,2025-05-02 04:00:14.161500000,2025-05-02 04:00:14.161500000,2025-05-02 04:00:14.165000000,1800.1615,1800.165
LF,0.1789639999999999,39062.5,34560.0,5.860768248986139,1800.1775,1800.1897,24609,41827,Eptesicus serotinus,0.41,0.642,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1800to2400/hour_0_channel0_1800to2400.WAV,LF,2025-05-02 04:00:14.177500000,2025-05-02 04:00:14.177500000,2025-05-02 04:00:14.189700000,1800.1775,1800.1897
LF,0.253828,23437.5,27839.999999999996,3.7555860529256737,1800.2475,1800.2573,25468,32327,Nyctalus leisleri,0.285,0.588,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1800to2400/hour_0_channel2_1800to2400.WAV,LF,2025-05-02 04:00:14.247500000,2025-05-02 04:00:14.247500000,2025-05-02 04:00:14.257300000,1800.2475,1800.2573
LF,0.33194,31250.0,31680.0,0.8753043549138602,1800.3285,1800.3413,29765,34326,Eptesicus serotinus,0.128,0.265,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1800to2400/hour_0_channel0_1800to2400.WAV,LF,2025-05-02 04:00:14.328500000,2025-05-02 04:00:14.328500000,2025-05-02 04:00:14.341300000,1800.3285,1800.3413
LF,0.372812,31250.0,32640.000000000004,2.7384143263180363,1800.3715,1800.3843,23750,35903,Eptesicus serotinus,0.399,0.615,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1800to2400/hour_0_channel0_1800to2400.WAV,LF,2025-05-02 04:00:14.371500000,2025-05-02 04:00:14.371500000,2025-05-02 04:00:14.384300000,1800.3715,1800.3843
HF,0.441244,46875.0,46080.0,4.469472158862667,1800.4375,1800.4463,45234,49798,Pipistrellus pipistrellus,0.294,0.31,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1800to2400/hour_0_channel3_1800to2400.WAV,HF,2025-05-02 04:00:14.437500000,2025-05-02 04:00:14.437500000,2025-05-02 04:00:14.446300000,1800.4375,1800.4463
LF,0.4829959999999999,23437.5,24960.0,12.136534232324298,1800.4745,1800.4893,22890,36571,Nyctalus noctula,0.294,0.666,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1800to2400/hour_0_channel7_1800to2400.WAV,LF,2025-05-02 04:00:14.474500000,2025-05-02 04:00:14.474500000,2025-05-02 04:00:14.489300000,1800.4745,1800.4893
HF,0.603368,46875.0,46080.0,3.490126286852069,1800.6015,1800.6124,44375,49650,Pipistrellus pipistrellus,0.32,0.332,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1800to2400/hour_0_channel3_1800to2400.WAV,HF,2025-05-02 04:00:14.601500000,2025-05-02 04:00:14.601500000,2025-05-02 04:00:14.612400000,1800.6015,1800.6124
