Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
HF	0.0088333333333333	79500.0	70080.0	-0.844350225317174	0.0015	0.0328	68437	79536	Rhinolophus ferrumequinum	0.028	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	1	Waveform 1	1
LF	0.0018333333333333	25500.0	22080.0	-1.0499288133622378	0.0015	0.0096	22890	29153	Nyctalus leisleri	0.012	0.032	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	2	Waveform 1	1
HF	0.2901333333333333	70500.0	70080.0	-0.6963411085797786	0.2875	0.3262	68437	82718	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	3	Waveform 1	1
LF	0.5685333333333333	28500.0	29760.0	-0.0254485031283836	0.5595	0.5708	28906	35976	Eptesicus serotinus	0.011	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	4	Waveform 1	1
LF	0.8870333333333332	24750.0	24960.0	-0.304971604321621	0.8795	0.8888	25468	34724	Eptesicus serotinus	0.008	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	5	Waveform 1	1
HF	0.9075333333333332	72750.0	71040.0	-0.1435024739491955	0.8805	0.9228	68437	82802	Rhinolophus ferrumequinum	0.031	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	6	Waveform 1	1
HF	0.9558666666666666	78750.0	71040.0	-0.4405358454052988	0.9255	0.9633	68437	81704	Rhinolophus ferrumequinum	0.023	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	7	Waveform 1	1
LF	1.0738333333333332	28500.0	29760.0	-0.3154312964369865	1.0665	1.076	28906	37006	Eptesicus serotinus	0.009	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	8	Waveform 1	1
LF	1.2981666666666667	21750.0	22080.0	-0.3063256321629845	1.2965	1.307	21171	25886	Nyctalus leisleri	0.01	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	9	Waveform 1	1
LF	1.3252999999999997	26250.0	24960.0	-0.3487638159101842	1.3195	1.3317	25468	32007	Eptesicus serotinus	0.013	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	10	Waveform 1	1
LF	1.3646999999999998	21750.0	22080.0	-0.1993321556582039	1.3575	1.3683	22031	26975	Nyctalus leisleri	0.011	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	11	Waveform 1	1
HF	1.413	75750.0	75840.0	-0.6253523370385019	1.4115	1.4525	68437	82585	Rhinolophus ferrumequinum	0.04	0.04	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	12	Waveform 1	1
HF	1.5463	70500.0	71040.0	-0.0449991276653049	1.5215	1.5637	68437	82373	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	13	Waveform 1	1
LF	1.5824999999999998	24000.0	26880.000000000004	-0.3263675680357036	1.5775	1.587	25468	33295	Eptesicus serotinus	0.01	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	14	Waveform 1	1
LF	1.8122666666666667	25500.0	26880.000000000004	-0.6372065927869273	1.8085	1.8204	27187	34781	Eptesicus serotinus	0.019	0.034	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	15	Waveform 1	1
HF	2.0128	75750.0	72000.0	-0.784766307931575	2.0015	2.0327	68437	79716	Rhinolophus ferrumequinum	0.06	0.06	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	16	Waveform 1	1
LF	2.0036	27750.0	26880.000000000004	-0.3474550385234143	2.0015	2.0104	27187	36918	Nyctalus leisleri	0.008	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	17	Waveform 1	1
LF	2.0515	22500.0	23040.0	-0.2383565594794668	2.0435	2.0535	22031	27474	Nyctalus leisleri	0.008	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	18	Waveform 1	1
HF	2.158833333333334	48000.0	47040.0	-0.1480545637523262	2.1575	2.1625	39218	67737	Myotis bechsteinii	0.011	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	19	Waveform 1	1
LF	2.325933333333334	24000.0	23040.0	-0.0665983997929241	2.3165	2.3274	23750	28815	Nyctalus leisleri	0.012	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	20	Waveform 1	1
HF	2.354866666666667	72000.0	72000.0	-0.6798429023506816	2.3535	2.3888	68437	81811	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	21	Waveform 1	1
HF	2.415633333333333	71250.0	72960.0	-0.847225689756893	2.3745	2.4167	68437	82727	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	22	Waveform 1	1
LF	2.4413333333333336	24750.0	24000.0	-0.4125240212864261	2.4375	2.4435	24609	44045	Myotis nattereri	0.009	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	23	Waveform 1	1
LF	2.4740666666666677	25500.0	23040.0	-0.1576107172855379	2.4725	2.4796	23750	32720	Plecotus austriacus	0.014	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	24	Waveform 1	1
HF	2.532433333333333	75000.0	70080.0	-0.12590979122756	2.5105	2.5509	68437	83114	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	25	Waveform 1	1
LF	2.698233333333333	23250.0	24000.0	-0.0173488335540553	2.6925	2.7001	23750	37669	Plecotus austriacus	0.012	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	26	Waveform 1	1
HF	2.853566666666667	81750.0	70080.0	-0.0306492334845767	2.8365	2.8701	68437	81360	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	27	Waveform 1	1
HF	2.8536000000000006	81750.0	71040.0	-0.2455913914380556	2.8515	2.8849	68437	81163	Rhinolophus ferrumequinum	0.022	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	28	Waveform 1	1
HF	3.0237666666666665	72750.0	72000.0	-0.5281862801192508	3.0075	3.0419	68437	81673	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	29	Waveform 1	1
HF	3.1826000000000008	71250.0	81600.0	-0.0685580374037842	3.1815	3.2194	68437	81528	Rhinolophus ferrumequinum	0.029	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	30	Waveform 1	1
HF	3.227933333333334	77250.0	70080.0	-0.342292194225796	3.2035	3.2379	68437	80805	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	31	Waveform 1	1
HF	3.3474	67500.0	69120.0	-0.3191072442765181	3.3415	3.3711	67578	78481	Rhinolophus ferrumequinum	0.021	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	32	Waveform 1	1
LF	3.4490000000000007	23250.0	23040.0	-1.2889766347132428	3.4485	3.4555	23750	37797	Plecotus austriacus	0.008	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	33	Waveform 1	1
LF	3.550266666666667	36000.0	36480.0	-0.0571290403400259	3.5465	3.5549	30625	41597	Eptesicus serotinus	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	34	Waveform 1	1
HF	3.6322333333333336	75000.0	73920.0	-0.3262755570171141	3.5975	3.6356	68437	82509	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	35	Waveform 1	1
HF	3.6984666666666666	73500.0	72960.0	-0.1991485376229463	3.6835	3.7227	68437	81835	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	36	Waveform 1	1
HF	3.753833333333334	71250.0	72960.0	-0.1332307776391971	3.7385	3.782	68437	83321	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	37	Waveform 1	1
LF	3.8645	28500.0	27840.0	-0.2541547718613859	3.8625	3.8715	27187	35914	Eptesicus serotinus	0.01	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	38	Waveform 1	1
LF	4.053733333333334	22500.0	22080.0	-0.4762022238351015	4.0425	4.0656	19453	21914	Nyctalus leisleri	0.018	0.035	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	39	Waveform 1	1
HF	4.052166666666666	77250.0	78720.0	-0.6661685669484467	4.0515	4.091	68437	81105	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	40	Waveform 1	1
