KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,freq_group,call_start_time,cycle_ref_time,call_end_time,start_time_wrt_ref,end_time_wrt_ref
HF,0.3574519999999999,46875.0,46080.0,4.8619433993568775,1200.3555,1200.3643,44375,49766,Pipistrellus pipistrellus,0.195,0.207,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel3_1200to1800.WAV,HF,2025-05-02 03:50:14.355500000,2025-05-02 03:50:14.355500000,2025-05-02 03:50:14.364300000,1200.3555,1200.3643
HF,0.448064,46875.0,46080.0,3.879034215306205,1200.4465,1200.4558,45234,50718,Pipistrellus pipistrellus,0.195,0.203,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel3_1200to1800.WAV,HF,2025-05-02 03:50:14.446500000,2025-05-02 03:50:14.446500000,2025-05-02 03:50:14.455800000,1200.4465,1200.4558
HF,0.719164,46875.0,46080.0,4.808470967505735,1200.7165,1200.7247,45234,49913,Pipistrellus pipistrellus,0.251,0.26,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel3_1200to1800.WAV,HF,2025-05-02 03:50:14.716500000,2025-05-02 03:50:14.716500000,2025-05-02 03:50:14.724700000,1200.7165,1200.7247
HF,0.971408,46875.0,46080.0,4.366189255579284,1200.9695,1200.977,46093,51145,Pipistrellus pipistrellus,0.209,0.213,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel3_1200to1800.WAV,HF,2025-05-02 03:50:14.969500000,2025-05-02 03:50:14.969500000,2025-05-02 03:50:14.977000000,1200.9695,1200.977
HF,1.0436679999999998,46875.0,46080.0,1.7443571833260414,1201.0425,1201.0541,44375,49538,Pipistrellus pipistrellus,0.204,0.225,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel3_1200to1800.WAV,HF,2025-05-02 03:50:15.042500000,2025-05-02 03:50:15.042500000,2025-05-02 03:50:15.054100000,1201.0425,1201.0541
HF,1.116196,46875.0,46080.0,2.009784057451776,1201.1115,1201.1217,45234,50101,Pipistrellus pipistrellus,0.212,0.218,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel3_1200to1800.WAV,HF,2025-05-02 03:50:15.111500000,2025-05-02 03:50:15.111500000,2025-05-02 03:50:15.121700000,1201.1115,1201.1217
LF,1.1698480000000002,31250.0,33600.0,1.3694222182306235,1201.1665,1201.1776,28906,35694,Eptesicus serotinus,0.128,0.209,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:50:15.166500000,2025-05-02 03:50:15.166500000,2025-05-02 03:50:15.177600000,1201.1665,1201.1776
HF,1.2061319999999998,46875.0,46080.0,1.7167701362287946,1201.2045,1201.2153,45234,49759,Pipistrellus pipistrellus,0.231,0.24,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel3_1200to1800.WAV,HF,2025-05-02 03:50:15.204500000,2025-05-02 03:50:15.204500000,2025-05-02 03:50:15.215300000,1201.2045,1201.2153
HF,1.4590120000000002,46875.0,46080.0,2.3606181213885433,1201.4575,1201.4645,45234,51383,Pipistrellus pipistrellus,0.233,0.237,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel3_1200to1800.WAV,HF,2025-05-02 03:50:15.457500000,2025-05-02 03:50:15.457500000,2025-05-02 03:50:15.464500000,1201.4575,1201.4645
HF,1.603272,46875.0,46080.0,5.621211286897088,1201.6025,1201.6108,45234,50223,Pipistrellus pipistrellus,0.241,0.245,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel3_1200to1800.WAV,HF,2025-05-02 03:50:15.602500000,2025-05-02 03:50:15.602500000,2025-05-02 03:50:15.610800000,1201.6025,1201.6108
