Manually-Verified Phonic Group	peak_frequency	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
HF	45120.0	0.9547345972628604	1.4185	1.4305	44375	47893	Pipistrellus pipistrellus	0.189	0.234	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	1	Waveform 1	1
LF	36480.0	1.868827228700546	7.3655	7.3722	33203	40594	Barbastellus barbastellus	0.147	0.294	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	2	Waveform 1	1
LF	35520.0	1.4028772354802452	11.2955	11.3078	34062	38393	Eptesicus serotinus	0.092	0.268	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	3	Waveform 1	1
LF	35520.0	1.8006443717792475	15.9505	15.9568	33203	41318	Barbastellus barbastellus	0.11	0.233	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	4	Waveform 1	1
LF	35520.0	2.6510418156087248	16.7375	16.7442	33203	40866	Barbastellus barbastellus	0.123	0.281	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	5	Waveform 1	1
LF	35520.0	2.778503750297203	19.2925	19.3028	32343	38036	Eptesicus serotinus	0.112	0.238	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	6	Waveform 1	1
LF	35520.0	1.7421812484451211	21.4555	21.4618	34062	41720	Barbastellus barbastellus	0.094	0.201	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	7	Waveform 1	1
LF	24000.0	6.472016686110601	25.1325	25.1379	18593	31227	Plecotus austriacus	0.167	0.224	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	8	Waveform 1	1
LF	35520.0	3.737619771930718	25.5845	25.5914	33203	41271	Barbastellus barbastellus	0.085	0.214	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	9	Waveform 1	1
LF	35520.0	2.1065091357870176	29.3195	29.3277	32343	38512	Barbastellus barbastellus	0.108	0.206	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	10	Waveform 1	1
LF	35520.0	1.6016966699828306	31.7445	31.7525	33203	39996	Barbastellus barbastellus	0.136	0.307	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	11	Waveform 1	1
LF	35520.0	2.317800004771016	31.8785	31.8832	29765	37432	Barbastellus barbastellus	0.114	0.209	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	12	Waveform 1	1
LF	35520.0	1.668648491500591	32.7295	32.737	33203	39668	Barbastellus barbastellus	0.098	0.244	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	13	Waveform 1	1
LF	34560.0	1.0238523095114491	35.8755	35.8855	32343	39176	Eptesicus serotinus	0.139	0.253	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	14	Waveform 1	1
LF	35520.0	1.504533617595163	36.4635	36.4716	34062	39360	Barbastellus barbastellus	0.088	0.234	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	15	Waveform 1	1
LF	36480.0	2.50582179977667	37.1845	37.192	34062	40537	Barbastellus barbastellus	0.089	0.201	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	16	Waveform 1	1
LF	35520.0	0.8989438939647064	41.1165	41.1231	33203	40290	Barbastellus barbastellus	0.137	0.21	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	17	Waveform 1	1
LF	35520.0	2.5082110239053867	41.9685	41.9756	32343	39691	Eptesicus serotinus	0.098	0.217	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	18	Waveform 1	1
LF	36480.0	1.0782483663564244	45.0495	45.0562	30625	38502	Eptesicus serotinus	0.145	0.233	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	19	Waveform 1	1
LF	35520.0	1.4583654281612348	45.1115	45.1231	34062	40040	Eptesicus serotinus	0.098	0.24	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	20	Waveform 1	1
LF	35520.0	2.8443787018618387	49.0465	49.0533	33203	39973	Barbastellus barbastellus	0.153	0.295	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	21	Waveform 1	1
LF	34560.0	2.20189117183257	49.2445	49.2518	30625	37253	Barbastellus barbastellus	0.12	0.253	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	22	Waveform 1	1
LF	35520.0	3.125268661039262	49.8325	49.8397	33203	40567	Barbastellus barbastellus	0.116	0.215	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	23	Waveform 1	1
LF	34560.0	2.1824246130864884	50.5545	50.5594	29765	40897	Plecotus auritus	0.154	0.32	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	24	Waveform 1	1
LF	35520.0	3.8224014564826914	53.7655	53.7726	32343	38373	Barbastellus barbastellus	0.128	0.209	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	25	Waveform 1	1
LF	35520.0	0.614734193398356	56.2565	56.2634	31484	38952	Eptesicus serotinus	0.119	0.266	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	26	Waveform 1	1
LF	35520.0	1.2145847571563986	57.6315	57.638000000000005	33203	41191	Barbastellus barbastellus	0.103	0.202	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	27	Waveform 1	1
LF	36480.0	0.6987629523116211	70.2145	70.2224	34062	40713	Eptesicus serotinus	0.112	0.248	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	28	Waveform 1	1
LF	35520.0	1.7385998941520695	71.8535	71.8592	32343	40590	Eptesicus serotinus	0.096	0.237	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	29	Waveform 1	1
LF	35520.0	2.909664105296056	74.14750000000001	74.1546	34062	40147	Barbastellus barbastellus	0.149	0.246	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	30	Waveform 1	1
LF	35520.0	2.5532140600078805	78.1435	78.15299999999999	34062	39670	Barbastellus barbastellus	0.075	0.222	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	31	Waveform 1	1
LF	35520.0	1.763686127680373	79.0625	79.0712	32343	37947	Eptesicus serotinus	0.091	0.216	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	32	Waveform 1	1
LF	35520.0	2.018161637796468	79.7165	79.726	33203	38453	Eptesicus serotinus	0.084	0.216	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	33	Waveform 1	1
LF	35520.0	2.9528536897272657	81.2875	81.299	34062	38756	Eptesicus serotinus	0.065	0.223	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	34	Waveform 1	1
LF	35520.0	2.2738360826461186	84.4345	84.4431	34062	40035	Eptesicus serotinus	0.094	0.248	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	35	Waveform 1	1
LF	35520.0	1.5991743144370776	85.22149999999999	85.2306	34062	39302	Barbastellus barbastellus	0.106	0.226	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	36	Waveform 1	1
LF	35520.0	2.102906748971133	85.8775	85.88550000000001	34062	39535	Barbastellus barbastellus	0.127	0.237	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	37	Waveform 1	1
LF	23040.0	0.1589241803787506	91.4635	91.4797	22031	26454	Nyctalus leisleri	0.088	0.201	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	38	Waveform 1	1
LF	23040.0	8.343127256820289	93.4635	93.4707	20312	28782	Plecotus austriacus	0.119	0.282	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	39	Waveform 1	1
LF	35520.0	0.3918019854988975	93.8065	93.8147	33203	38923	Barbastellus barbastellus	0.096	0.206	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	40	Waveform 1	1
LF	35520.0	2.396041348708423	93.8735	93.8807	31484	38236	Eptesicus serotinus	0.101	0.208	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	41	Waveform 1	1
LF	35520.0	1.0866022273459714	104.8175	104.8241	33203	40749	Barbastellus barbastellus	0.162	0.311	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	42	Waveform 1	1
LF	23040.0	2.950650546386538	105.6815	105.6874	17734	30306	Plecotus austriacus	0.105	0.215	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	43	Waveform 1	1
LF	36480.0	1.946437663672878	107.2415	107.2517	34062	39712	Eptesicus serotinus	0.101	0.267	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	44	Waveform 1	1
LF	36480.0	1.2623529167141627	111.8945	111.9033	34062	39560	Barbastellus barbastellus	0.078	0.235	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	45	Waveform 1	1
LF	35520.0	3.158271200164954	119.0375	119.0481	34062	39102	Eptesicus serotinus	0.071	0.216	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	46	Waveform 1	1
LF	35520.0	1.9359550118588809	125.3295	125.3387	33203	38755	Barbastellus barbastellus	0.121	0.3	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	47	Waveform 1	1
LF	27840.0	2.316570453262593	128.3485	128.3533	23750	36081	Plecotus austriacus	0.162	0.24	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	48	Waveform 1	1
LF	35520.0	1.9431370117906956	135.6845	135.6936	32343	37293	Eptesicus serotinus	0.085	0.202	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	49	Waveform 1	1
LF	35520.0	1.363287689235681	136.4725	136.4799	31484	38175	Eptesicus serotinus	0.13	0.293	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	50	Waveform 1	1
LF	35520.0	0.1365082400349742	140.9925	141.0001	32343	39165	Eptesicus serotinus	0.103	0.235	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	51	Waveform 1	1
LF	35520.0	2.04751744940835	148.1355	148.1455	33203	39381	Eptesicus serotinus	0.115	0.271	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	52	Waveform 1	1
LF	35520.0	1.8354100401950315	148.2685	148.2767	33203	40591	Eptesicus serotinus	0.157	0.315	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	53	Waveform 1	1
LF	35520.0	2.2246320607054133	150.4955	150.5052	33203	38467	Eptesicus serotinus	0.094	0.263	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	54	Waveform 1	1
LF	36480.0	4.171226637371728	152.8535	152.8631	34921	41728	Barbastellus barbastellus	0.106	0.318	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	55	Waveform 1	1
LF	35520.0	0.5154907668006519	154.5595	154.568	33203	39336	Barbastellus barbastellus	0.138	0.258	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	56	Waveform 1	1
LF	35520.0	1.295039599268783	156.1345	156.139	31484	40997	Plecotus auritus	0.115	0.228	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	57	Waveform 1	1
LF	35520.0	2.9497319604563166	156.9855	156.9931	29765	37705	Eptesicus serotinus	0.136	0.226	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	58	Waveform 1	1
LF	35520.0	3.1932695554766632	159.2145	159.2199	29765	37777	Plecotus auritus	0.095	0.225	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	59	Waveform 1	1
LF	35520.0	2.10514755396251	165.4375	165.4472	33203	39660	Eptesicus serotinus	0.095	0.2	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	60	Waveform 1	1
LF	35520.0	2.3602170504903244	165.5055	165.5121	32343	39950	Barbastellus barbastellus	0.093	0.205	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	61	Waveform 1	1
LF	35520.0	2.129340612520637	166.9455	166.9539	34062	39384	Barbastellus barbastellus	0.108	0.249	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	62	Waveform 1	1
LF	35520.0	3.4042739079940927	167.7965	167.8059	34062	38704	Barbastellus barbastellus	0.102	0.257	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	63	Waveform 1	1
LF	34560.0	2.176149660113003	167.9285	167.9391	33203	38321	Eptesicus serotinus	0.091	0.207	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	64	Waveform 1	1
LF	35520.0	2.8370511030746166	169.5045	169.5087	29765	39585	Plecotus auritus	0.174	0.343	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	65	Waveform 1	1
LF	34560.0	2.628042106318506	175.0725	175.0808	33203	39411	Eptesicus serotinus	0.085	0.218	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	66	Waveform 1	1
LF	35520.0	1.6064295911088131	179.5285	179.5355	34062	41749	Barbastellus barbastellus	0.153	0.363	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	67	Waveform 1	1
LF	26880.0	1.449125400743858	180.8615	180.8682	22890	33270	Plecotus auritus	0.079	0.213	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	68	Waveform 1	1
LF	35520.0	0.7947433131662813	181.0345	181.0447	34921	39648	Eptesicus serotinus	0.087	0.296	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	69	Waveform 1	1
LF	35520.0	1.7712922496414478	181.3625	181.3737	33203	39084	Eptesicus serotinus	0.101	0.227	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	70	Waveform 1	1
LF	35520.0	2.097956464905906	182.7385	182.7482	34062	39615	Eptesicus serotinus	0.068	0.208	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	71	Waveform 1	1
LF	36480.0	1.0185584483762844	185.0325	185.0438	34062	39510	Eptesicus serotinus	0.072	0.21	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	72	Waveform 1	1
LF	35520.0	2.40184039925971	186.6715	186.6798	32343	39218	Barbastellus barbastellus	0.122	0.256	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	73	Waveform 1	1
LF	35520.0	1.7320619572213385	188.9665	188.9716	33203	40798	Barbastellus barbastellus	0.18	0.257	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	74	Waveform 1	1
LF	35520.0	3.4176183830425293	189.0315	189.039	32343	39399	Barbastellus barbastellus	0.119	0.274	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	75	Waveform 1	1
LF	36480.0	1.958253037613376	189.6875	189.6929	33203	40704	Barbastellus barbastellus	0.27	0.397	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	76	Waveform 1	1
LF	35520.0	2.656171381242572	189.8175	189.8263	34062	39725	Eptesicus serotinus	0.08	0.228	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	77	Waveform 1	1
LF	35520.0	2.47417793104689	202.9915	203.0007	34062	40162	Eptesicus serotinus	0.097	0.209	-1	Echolocation	250000	/home/adkris/Documents/mila-human-wav-txt/20210910_030000.WAV	78	Waveform 1	1
