KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,freq_group,call_start_time,cycle_ref_time,call_end_time,start_time_wrt_ref,end_time_wrt_ref
LF,0.00995,29353.0,26880.000000000004,7.115752181134802,2400.0035,2400.0164,23750,34956,Eptesicus serotinus,0.417,0.69,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel1_2400to3000.WAV,LF,2025-05-02 04:10:14.003500000,2025-05-02 04:10:14.003500000,2025-05-02 04:10:14.016400,2400.0035,2400.0164
LF,0.0322079999999999,31250.0,33600.0,11.424058662771785,2400.0295,2400.0446,22890,42826,Nyctalus noctula,0.532,0.751,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel1_2400to3000.WAV,LF,2025-05-02 04:10:14.029500000,2025-05-02 04:10:14.029500000,2025-05-02 04:10:14.044600,2400.0295,2400.0446
LF,0.086504,31250.0,28800.0,24.961755889556883,2400.0795,2400.0912,26328,51290,Eptesicus serotinus,0.5,0.742,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel2_2400to3000.WAV,LF,2025-05-02 04:10:14.079500000,2025-05-02 04:10:14.079500000,2025-05-02 04:10:14.091200,2400.0795,2400.0912
LF,0.15696,31250.0,33600.0,35.50432127974161,2400.1535,2400.1702,23750,44352,Eptesicus serotinus,0.529,0.734,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:14.153500000,2025-05-02 04:10:14.153500000,2025-05-02 04:10:14.170200,2400.1535,2400.1702
HF,0.228144,31250.0,33600.0,29.458876987724064,2400.2245,2400.2362,26328,53321,Eptesicus serotinus,0.381,0.729,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel1_2400to3000.WAV,HF,2025-05-02 04:10:14.224500000,2025-05-02 04:10:14.224500000,2025-05-02 04:10:14.236200,2400.2245,2400.2362
LF,0.3029999999999999,23437.5,25920.0,29.194743266444313,2400.2955,2400.3104,22031,43588,Nyctalus noctula,0.497,0.772,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel4_2400to3000.WAV,LF,2025-05-02 04:10:14.295500000,2025-05-02 04:10:14.295500000,2025-05-02 04:10:14.310400,2400.2955,2400.3104
LF,0.335864,23437.5,24960.0,-12.010512581837126,2400.3215,2400.3376,23750,33066,Nyctalus noctula,0.291,0.645,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel7_2400to3000.WAV,LF,2025-05-02 04:10:14.321500000,2025-05-02 04:10:14.321500000,2025-05-02 04:10:14.337600,2400.3215,2400.3376
LF,0.374208,31250.0,28800.0,26.523140535109864,2400.3705,2400.3818,26328,47485,Eptesicus serotinus,0.448,0.725,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel1_2400to3000.WAV,LF,2025-05-02 04:10:14.370500000,2025-05-02 04:10:14.370500000,2025-05-02 04:10:14.381800,2400.3705,2400.3818
LF,0.417336,31250.0,33600.0,29.815598492492576,2400.4155,2400.428,22890,46842,Nyctalus noctula,0.457,0.767,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:14.415500000,2025-05-02 04:10:14.415500000,2025-05-02 04:10:14.428000,2400.4155,2400.428
LF,0.498748,31250.0,26880.000000000004,28.53960967480369,2400.4935,2400.5083,24609,45516,Eptesicus serotinus,0.529,0.688,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel7_2400to3000.WAV,LF,2025-05-02 04:10:14.493500000,2025-05-02 04:10:14.493500000,2025-05-02 04:10:14.508300,2400.4935,2400.5083
