Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
HF	4.854699999999999	49500.0	53760.00000000001	12.220725975415336	4.8525	4.8578	32343	72545	Myotis mystacinus	0.013	0.041	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	26	Waveform 1	1
HF	5.0048	52500.0	51840.0	11.564706821427407	5.0035	5.0097	52109	58867	Pipistrellus pygmaeus	0.02	0.035	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	27	Waveform 1	1
LF	5.1343000000000005	21750.0	22080.0	2.2155912831419333	5.1275	5.1352	22890	34980	Plecotus austriacus	0.01	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	28	Waveform 1	1
HF	5.154633333333333	50250.0	48000.0	8.709493726322197	5.1505	5.1562	33203	74284	Myotis mystacinus	0.011	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	29	Waveform 1	1
HF	5.2762	46500.0	53760.00000000001	5.838023110168437	5.2735	5.2783	33203	76675	Myotis mystacinus	0.013	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	30	Waveform 1	1
HF	5.574366666666666	51000.0	48000.0	3.1210613436913897	5.5705	5.5788	47812	56538	Pipistrellus pipistrellus	0.022	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	31	Waveform 1	1
HF	5.649166666666668	49500.0	48960.0	5.860061730942126	5.6485	5.653	31484	62179	Myotis nattereri	0.02	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	32	Waveform 1	1
HF	5.6942	48000.0	46080.0	2.3936429516050355	5.6905	5.6978	46093	59257	Pipistrellus pipistrellus	0.015	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	33	Waveform 1	1
HF	5.926133333333333	46500.0	46080.0	3.876120264073682	5.9215	5.9267	34921	71559	Myotis mystacinus	0.012	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	34	Waveform 1	1
LF	6.258966666666667	34500.0	24000.0	2.1132154973542585	6.2565	6.2627	25468	39225	Plecotus austriacus	0.012	0.035	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	35	Waveform 1	1
LF	6.657566666666666	24750.0	24960.0	2.3149915601941693	6.6495	6.6606	23750	28785	Nyctalus leisleri	0.012	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	36	Waveform 1	1
HF	6.654933333333333	47250.0	48000.0	5.185652742655767	6.6505	6.6559	46953	54271	Pipistrellus pipistrellus	0.087	0.098	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	37	Waveform 1	1
HF	6.780700000000001	48750.0	48960.0	2.842833158186097	6.7765	6.7833	45234	56197	Pipistrellus pipistrellus	0.027	0.042	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	38	Waveform 1	1
HF	6.780566666666666	48750.0	48960.0	2.119003050007306	6.7775	6.7831	38359	60268	Myotis mystacinus	0.007	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	39	Waveform 1	1
LF	7.188566666666666	21750.0	20160.0	3.336354113149962	7.1865	7.1966	20312	24819	Plecotus austriacus	0.008	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	40	Waveform 1	1
HF	7.254466666666667	48000.0	48960.0	3.308504181941165	7.2515	7.2572	37500	64690	Myotis brandtii	0.009	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	41	Waveform 1	1
LF	7.406666666666666	20250.0	20160.0	2.109764157286409	7.4025	7.421	19453	23176	Nyctalus noctula	0.017	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	42	Waveform 1	1
LF	7.5547	22500.0	23040.0	2.229185824882969	7.5475	7.5583	22031	26714	Nyctalus leisleri	0.011	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	43	Waveform 1	1
LF	7.663	23250.0	24000.0	2.5957374529170134	7.6535	7.6655	22890	27827	Nyctalus leisleri	0.013	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	44	Waveform 1	1
LF	7.739333333333333	33750.0	31680.0	2.1506740524978736	7.7375	7.7455	28906	38330	Eptesicus serotinus	0.012	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	45	Waveform 1	1
LF	7.799233333333334	34500.0	29760.0	2.077438533641585	7.7925	7.8026	28906	37764	Eptesicus serotinus	0.011	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	46	Waveform 1	1
LF	7.8570666666666655	24000.0	24000.0	3.278246185849425	7.8565	7.8646	22890	30002	Plecotus austriacus	0.011	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	47	Waveform 1	1
LF	7.863766666666667	16500.0	16320.000000000002	2.9434096827522502	7.8615	7.8714	15156	20044	Nyctalus noctula	0.012	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	48	Waveform 1	1
LF	8.052966666666666	34500.0	33600.0	2.395520283353749	8.0465	8.0557	33203	40826	Barbastellus barbastellus	0.018	0.04	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	49	Waveform 1	1
LF	8.1312	24000.0	22080.0	6.95930493040763	8.1265	8.1398	22890	26924	Nyctalus leisleri	0.013	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	50	Waveform 1	1
HF	8.257133333333334	43500.0	47040.0	2.0089499669658246	8.2545	8.2617	37500	50415	Myotis brandtii	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	51	Waveform 1	1
HF	8.522533333333334	55500.0	55679.99999999999	2.712258507190936	8.5185	8.5278	54687	62881	Pipistrellus pygmaeus	0.026	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	52	Waveform 1	1
