Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	_merge	Selection	View	Channel
HF	5.786966666666666	73500.0	72960.0	-0.2802249132482349	5.7515	5.7912	68437	82448	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	11	Waveform 1	1
HF	5.926133333333333	46500.0	46080.0	3.8761202640736823	5.9215	5.9267	34921	71559	Myotis mystacinus	0.012	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	12	Waveform 1	1
HF	6.071433333333334	75000.0	74880.0	0.409126444864384	6.0425	6.0794	68437	81688	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	13	Waveform 1	1
HF	6.223166666666667	45750.0	46080.0	1.6697866256077878	6.2195	6.2245	37500	67744	Myotis mystacinus	0.01	0.035	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	14	Waveform 1	1
HF	7.254466666666667	48000.0	48960.0	3.308504181941165	7.2515	7.2572	37500	64690	Myotis brandtii	0.009	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	15	Waveform 1	1
HF	9.163366666666668	81750.0	71040.0	-0.1779719204018066	9.1605	9.1978	68437	82405	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	16	Waveform 1	1
HF	10.124466666666669	42000.0	41280.0	4.80667855460195	10.1225	10.1292	24609	47682	Myotis nattereri	0.017	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	17	Waveform 1	1
HF	31.6761	54000.0	45120.0	2.094401191511464	31.6735	31.6784	37500	60606	Myotis bechsteinii	0.009	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	18	Waveform 1	1
HF	31.891033333333333	56250.0	52800.00000000001	2.60522230809072	31.8895	31.8943	38359	59443	Myotis bechsteinii	0.009	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	19	Waveform 1	1
HF	32.07106666666667	76500.0	72960.0	-0.2953085553284714	32.0645	32.1051	68437	81887	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	20	Waveform 1	1
HF	32.16883333333333	53250.0	55679.99999999999	2.5316202549626645	32.1655	32.172	54687	60197	Pipistrellus pygmaeus	0.033	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	21	Waveform 1	1
HF	32.6307	49500.0	48960.0	2.702836106409054	32.6285	32.6338	34921	63816	Myotis mystacinus	0.009	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	22	Waveform 1	1
HF	40.9545	49500.0	48960.0	8.167662722842033	40.9525	40.958	35781	63520	Myotis mystacinus	0.009	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	23	Waveform 1	1
HF	41.4457	52500.0	48960.0	6.209463998474445	41.4435	41.4488	34921	65426	Myotis mystacinus	0.012	0.039	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	24	Waveform 1	1
