Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
LF	0.9022	18750.0	19200.0	12.459551666423966	0.9005	0.9133	17734	24233	Nyctalus noctula	0.028	0.044	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	1	Waveform 1	1
LF	18.521633333333337	15000.0	15360.0	15.403352127397495	18.5195	18.5272	13437	24271	Plecotus auritus	0.008	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	2	Waveform 1	1
LF	45.275400000000005	19500.0	20160.0	13.140798847004731	45.2725	45.2806	16875	25105	Plecotus austriacus	0.029	0.059	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	3	Waveform 1	1
LF	50.625	20250.0	20160.0	11.459474634414926	50.6235	50.633	18593	23961	Plecotus austriacus	0.03	0.074	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	4	Waveform 1	1
LF	58.04253333333333	21000.0	21120.0	13.717975856768383	58.0385	58.047799999999995	18593	25021	Plecotus austriacus	0.041	0.089	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	5	Waveform 1	1
LF	91.772	21000.0	21120.0	18.233963668308416	91.7695	91.778	18593	24984	Plecotus austriacus	0.054	0.093	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	6	Waveform 1	1
LF	97.47923333333333	18750.0	20160.0	11.882659189189075	97.4775	97.4891	16875	22489	Nyctalus noctula	0.023	0.04	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	7	Waveform 1	1
LF	101.98423333333334	20250.0	20160.0	10.77083897219	101.9825	101.9906	15156	26540	Plecotus auritus	0.023	0.037	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	8	Waveform 1	1
LF	102.29463333333334	20250.0	22080.0	12.498038088844188	102.2935	102.3022	19453	24596	Plecotus austriacus	0.039	0.085	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	9	Waveform 1	1
LF	112.42736666666669	21000.0	21120.0	10.491570238025652	112.4255	112.4323	17734	27277	Plecotus austriacus	0.06	0.081	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	10	Waveform 1	1
LF	115.96336666666669	21000.0	22080.0	11.129131684226454	115.9625	115.9668	15156	34823	Plecotus auritus	0.027	0.056	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	11	Waveform 1	1
LF	122.06806666666668	18750.0	20160.0	15.23824336443078	122.0655	122.0751	17734	24137	Plecotus austriacus	0.037	0.068	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	12	Waveform 1	1
LF	132.7139	22500.0	21120.0	10.61126277474909	132.7035	132.7181	19453	23694	Nyctalus noctula	0.022	0.041	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	13	Waveform 1	1
LF	133.59613333333334	21750.0	21120.0	10.107449916686214	133.5945	133.6027	17734	25930	Plecotus austriacus	0.051	0.079	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	14	Waveform 1	1
LF	136.78526666666667	14250.0	14400.0	17.038960786855803	136.7825	136.7919	13437	17197	Nyctalus leisleri	0.014	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	15	Waveform 1	1
LF	149.69146666666666	20250.0	21120.0	10.811002966959771	149.6885	149.6977	19453	26495	Plecotus austriacus	0.048	0.086	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	16	Waveform 1	1
LF	170.3944	20250.0	20160.0	15.972449471032837	170.39249999999998	170.3981	16015	34125	Plecotus austriacus	0.055	0.092	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	17	Waveform 1	1
