KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,65280.0,1.4582540620654203,0.9515,0.9599,53828.0,65440.0,Pipistrellus pygmaeus,0.332,0.347,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_222000.WAV,recover-20251030,UBNA_025,Central Pond
LF,23040.0,-1.0911699347169042,6.4725,6.4905,22890.0,26430.0,Nyctalus leisleri,0.356,0.434,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_222000.WAV,recover-20251030,UBNA_025,Central Pond
HF,65280.0,13.81403650397053,8.2325,8.2387,60703.0,66046.0,Pipistrellus pygmaeus,0.299,0.3,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_222000.WAV,recover-20251030,UBNA_025,Central Pond
HF,43200.0,-2.3502225701575954,40.6015,40.61,43515.0,51298.0,Pipistrellus pipistrellus,0.294,0.321,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_222000.WAV,recover-20251030,UBNA_025,Central Pond
HF,43200.0,-1.2611509851056364,41.9845,41.9901,42656.0,57093.0,Pipistrellus pipistrellus,0.295,0.327,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_222000.WAV,recover-20251030,UBNA_025,Central Pond
LF,23040.0,-1.8607156332783827,46.9755,46.9889,22890.0,27947.0,Nyctalus leisleri,0.219,0.31,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_222000.WAV,recover-20251030,UBNA_025,Central Pond
LF,23040.0,0.9214369383281729,53.917500000000004,53.9279,22890.0,30776.0,Nyctalus leisleri,0.263,0.381,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_222000.WAV,recover-20251030,UBNA_025,Central Pond
LF,25920.0,5.138664110413278,130.0895,130.0951,20312.0,50785.0,Myotis nattereri,0.282,0.405,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_222000.WAV,recover-20251030,UBNA_025,Central Pond
HF,66240.0,16.30248361301655,224.1775,224.1915,64140.0,70034.0,Pipistrellus pygmaeus,0.371,0.38,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_222000.WAV,recover-20251030,UBNA_025,Central Pond
LF,28800.0,-2.494227175772387,13.0965,13.1118,28046.0,31611.0,Nyctalus leisleri,0.205,0.376,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_224000.WAV,recover-20251030,UBNA_025,Central Pond
LF,24000.0,-2.3998874902368987,130.4375,130.4431,22890.0,37789.0,Plecotus austriacus,0.222,0.322,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_224000.WAV,recover-20251030,UBNA_025,Central Pond
LF,24000.0,4.821581363995142,49.6335,49.6479,23750.0,28032.0,Nyctalus leisleri,0.294,0.391,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_225000.WAV,recover-20251030,UBNA_025,Central Pond
LF,24000.0,3.131020553474171,210.6275,210.6315,22890.0,38833.0,Plecotus austriacus,0.217,0.313,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_225000.WAV,recover-20251030,UBNA_025,Central Pond
LF,19200.0,-1.6956899936856649,260.8595,260.8811,18593.0,21928.0,Nyctalus leisleri,0.202,0.371,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_225000.WAV,recover-20251030,UBNA_025,Central Pond
LF,24000.0,-7.549554166253511,261.3815,261.3997,22890.0,26336.0,Nyctalus leisleri,0.268,0.309,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_225000.WAV,recover-20251030,UBNA_025,Central Pond
LF,25920.0,1.531141853143174,283.5955,283.6098,24609.0,28001.0,Nyctalus leisleri,0.265,0.307,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_225000.WAV,recover-20251030,UBNA_025,Central Pond
HF,48960.0,6.2173249732990445,290.9685,290.9815,48671.0,53119.0,Pipistrellus pipistrellus,0.243,0.308,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251030/UBNA_025/20251016_225000.WAV,recover-20251030,UBNA_025,Central Pond
