,freq_group,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
1,LF,0.004096,104492.1875,93120.0,-0.0451685943986862,0.0015,0.0286,93359,112703,Rhinolophus hipposideros,0.054,0.054,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
7,LF,0.038144,95703.125,95040.0,-0.2839951752579072,0.0335,0.0639,93359,111585,Rhinolophus hipposideros,0.03,0.03,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
9,HF,0.068508,74218.75,75840.0,0.1244537821240315,0.0675,0.1067,68437,82101,Rhinolophus ferrumequinum,0.047,0.047,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
10,LF,0.0851919999999999,96679.6875,95040.0,-0.1220659626090806,0.0735,0.1056,93359,110673,Rhinolophus hipposideros,0.082,0.082,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
11,LF,0.1057359999999999,105468.75,95040.0,0.2290607468560175,0.1025,0.1332,93359,111133,Rhinolophus hipposideros,0.033,0.033,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
13,LF,0.1366719999999999,98632.8125,94080.0,-0.2389763400777933,0.1185,0.1486,93359,111134,Rhinolophus hipposideros,0.034,0.034,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
15,HF,0.173628,79101.5625,78720.0,0.1980228736899722,0.1355,0.1779,68437,83246,Rhinolophus ferrumequinum,0.032,0.032,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
20,LF,0.2064239999999999,106445.3125,95040.0,-0.3468486230122171,0.1795,0.2116,93359,111102,Rhinolophus hipposideros,0.037,0.037,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
21,LF,0.235896,98632.8125,95040.0,0.1944402427193766,0.2235,0.254,93359,111375,Rhinolophus hipposideros,0.038,0.038,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
22,LF,0.2485999999999999,110351.5625,95040.0,-0.1634750733809363,0.2365,0.2664,93359,110807,Rhinolophus hipposideros,0.032,0.032,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
23,LF,0.269028,106445.3125,94080.0,-0.3404171478558638,0.2415,0.2721,93359,111116,Rhinolophus hipposideros,0.032,0.032,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
27,HF,0.314344,73242.1875,73920.0,-0.2120457593473386,0.2805,0.3236,68437,83392,Rhinolophus ferrumequinum,0.038,0.038,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
28,LF,0.296936,99609.375,95040.0,-0.0477243921018422,0.2935,0.324,93359,111578,Rhinolophus hipposideros,0.028,0.028,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
29,LF,0.336136,108398.4375,95040.0,-0.2607585802933475,0.3105,0.3412,93359,111422,Rhinolophus hipposideros,0.038,0.038,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
31,LF,0.350684,106445.3125,94080.0,-0.3971995290168094,0.3365,0.3679,93359,111456,Rhinolophus hipposideros,0.029,0.029,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
33,LF,0.3680639999999999,97656.25,95040.0,0.0407762818964623,0.3505,0.383,93359,111243,Rhinolophus hipposideros,0.036,0.036,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
36,LF,0.401412,98632.8125,94080.0,-0.1572051241206916,0.3915,0.4209,93359,111381,Rhinolophus hipposideros,0.028,0.028,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
39,HF,0.455332,76171.875,74880.0,0.4158433426273693,0.4375,0.4769,68437,82184,Rhinolophus ferrumequinum,0.038,0.038,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
46,LF,0.4989359999999999,32226.5625,36480.0,0.0995105749872442,0.4975,0.5076,28906,36528,Eptesicus serotinus,0.015,0.033,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
47,LF,0.5155199999999999,101562.5,95040.0,-0.0680809580388407,0.5085,0.539,93359,111096,Rhinolophus hipposideros,0.037,0.037,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
48,HF,0.5660519999999999,72265.625,73920.0,-0.3364567654005072,0.5295,0.5681,68437,82167,Rhinolophus ferrumequinum,0.027,0.027,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
49,LF,0.5335399999999999,107421.875,94080.0,0.1949957685144491,0.5325,0.5645,93359,111001,Rhinolophus hipposideros,0.053,0.053,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
51,LF,0.580272,94726.5625,95040.0,-0.1346250054696756,0.5625,0.593,93359,110683,Rhinolophus hipposideros,0.042,0.042,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
55,LF,0.6055320000000001,23437.5,23040.0,1.46581000695329,0.6005,0.6079,22890,31741,Plecotus austriacus,0.019,0.034,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
57,LF,0.6303239999999999,99609.375,94080.0,-0.0318999661603114,0.6265,0.6593,93359,112213,Rhinolophus hipposideros,0.03,0.03,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
58,LF,0.6442919999999999,97656.25,94080.0,-0.1634093728216986,0.6325,0.6645,93359,111558,Rhinolophus hipposideros,0.028,0.028,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
59,HF,0.699792,79101.5625,78720.0,-0.2339783317963654,0.6705,0.7074,68437,81513,Rhinolophus ferrumequinum,0.027,0.027,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
60,LF,0.6805279999999999,96679.6875,95040.0,0.0926265578401866,0.6775,0.7102,93359,111593,Rhinolophus hipposideros,0.035,0.035,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
64,LF,0.725,20507.8125,22080.0,0.6120620422198814,0.7245,0.7436,20312,23737,Nyctalus noctula,0.036,0.075,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
66,LF,0.7484720000000001,21484.375,23040.0,-0.0023278943620301,0.7395,0.7564,22031,25507,Nyctalus leisleri,0.038,0.059,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
67,LF,0.7750040000000001,107421.875,95040.0,0.3878874868245862,0.7455,0.7795,93359,110915,Rhinolophus hipposideros,0.079,0.079,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
78,LF,0.817268,102539.0625,95040.0,0.0317657188186287,0.7995,0.8309,93359,110921,Rhinolophus hipposideros,0.056,0.056,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
82,LF,0.8344400000000001,30273.4375,24960.0,0.2597410175171682,0.8325,0.8412,23750,31908,Plecotus austriacus,0.014,0.041,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
88,LF,0.8762400000000001,20507.8125,21120.0,-0.3025698780500717,0.8745,0.8834,15156,21659,Plecotus auritus,0.031,0.08,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
92,HF,0.907828,73242.1875,72960.0,-0.0659915095593131,0.8885,0.9273,68437,82752,Rhinolophus ferrumequinum,0.038,0.038,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
94,LF,0.938812,104492.1875,95040.0,0.2734448225877113,0.9085,0.9399,93359,111187,Rhinolophus hipposideros,0.038,0.038,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
99,LF,0.98336,19531.25,22080.0,1.280030278936397,0.9825,0.9878,14296,29246,Plecotus auritus,0.028,0.039,-1,Echolocation,250000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220727_083000.WAV
