start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file
162.4855,162.4921,46953.0,56985.0,0.632,Echolocation,20230531_043000.WAV
164.9085,164.9138,44375.0,52060.0,0.528,Echolocation,20230531_043000.WAV
168.0525,168.0585,46953.0,57225.0,0.598,Echolocation,20230531_043000.WAV
168.9195,168.9253,47812.0,58804.0,0.581,Echolocation,20230531_043000.WAV
169.3145,169.3201,46953.0,57417.0,0.629,Echolocation,20230531_043000.WAV
169.3995,169.406,46093.0,57948.0,0.664,Echolocation,20230531_043000.WAV
169.4835,169.4901,46093.0,55007.0,0.573,Echolocation,20230531_043000.WAV
169.5685,169.5754,46953.0,56102.0,0.66,Echolocation,20230531_043000.WAV
169.6535,169.6601,45234.0,51557.0,0.539,Echolocation,20230531_043000.WAV
169.7435,169.7502,46093.0,56227.0,0.632,Echolocation,20230531_043000.WAV
170.3195,170.3254,46953.0,55925.0,0.555,Echolocation,20230531_043000.WAV
170.3975,170.4036,46953.0,55869.0,0.564,Echolocation,20230531_043000.WAV
170.64249999999998,170.6484,44375.0,54596.0,0.568,Echolocation,20230531_043000.WAV
170.8715,170.8768,45234.0,58664.0,0.67,Echolocation,20230531_043000.WAV
170.9555,170.9612,45234.0,52837.0,0.523,Echolocation,20230531_043000.WAV
171.0485,171.0543,45234.0,55050.0,0.613,Echolocation,20230531_043000.WAV
171.2345,171.2401,45234.0,54981.0,0.629,Echolocation,20230531_043000.WAV
172.7065,172.7129,46093.0,51824.0,0.516,Echolocation,20230531_043000.WAV
173.04149999999998,173.047,46093.0,60071.0,0.644,Echolocation,20230531_043000.WAV
173.1305,173.1375,45234.0,51253.0,0.584,Echolocation,20230531_043000.WAV
177.9615,177.9685,45234.0,52371.0,0.63,Echolocation,20230531_043000.WAV
178.7245,178.7301,46953.0,56378.0,0.622,Echolocation,20230531_043000.WAV
185.3865,185.3922,45234.0,55073.0,0.62,Echolocation,20230531_043000.WAV
192.0495,192.0553,46093.0,52771.0,0.534,Echolocation,20230531_043000.WAV
192.2485,192.2544,46953.0,59411.0,0.534,Echolocation,20230531_043000.WAV
192.3365,192.3423,47812.0,58402.0,0.511,Echolocation,20230531_043000.WAV
192.4275,192.4336,46093.0,55009.0,0.55,Echolocation,20230531_043000.WAV
192.6945,192.6998,46093.0,60577.0,0.652,Echolocation,20230531_043000.WAV
192.7745,192.7793,46093.0,58743.0,0.675,Echolocation,20230531_043000.WAV
192.9905,192.9961,46093.0,56484.0,0.638,Echolocation,20230531_043000.WAV
193.0815,193.0879,46953.0,53811.0,0.505,Echolocation,20230531_043000.WAV
193.1685,193.1738,46953.0,57026.0,0.513,Echolocation,20230531_043000.WAV
196.5485,196.5553,46953.0,54732.0,0.502,Echolocation,20230531_043000.WAV
197.0245,197.03,46093.0,57945.0,0.547,Echolocation,20230531_043000.WAV
197.2135,197.2197,46953.0,57831.0,0.53,Echolocation,20230531_043000.WAV
264.2635,264.2687,48671.0,62182.0,0.537,Echolocation,20230531_043000.WAV
264.3605,264.3653,48671.0,60955.0,0.508,Echolocation,20230531_043000.WAV
264.4505,264.4554,48671.0,59651.0,0.599,Echolocation,20230531_043000.WAV
264.5375,264.5426,47812.0,60693.0,0.624,Echolocation,20230531_043000.WAV
264.6255,264.6305,46953.0,59018.0,0.586,Echolocation,20230531_043000.WAV
264.7195,264.7242,47812.0,61763.0,0.608,Echolocation,20230531_043000.WAV
264.7965,264.8013,46953.0,60802.0,0.688,Echolocation,20230531_043000.WAV
264.8565,264.8611,46953.0,59025.0,0.517,Echolocation,20230531_043000.WAV
264.9265,264.931,47812.0,60198.0,0.528,Echolocation,20230531_043000.WAV
265.0045,265.0092,46953.0,59249.0,0.567,Echolocation,20230531_043000.WAV
265.0785,265.0836,46953.0,59112.0,0.594,Echolocation,20230531_043000.WAV
265.1435,265.1485,47812.0,60906.0,0.565,Echolocation,20230531_043000.WAV
266.0645,266.0694,47812.0,62359.0,0.558,Echolocation,20230531_043000.WAV
266.1405,266.1449,47812.0,62017.0,0.546,Echolocation,20230531_043000.WAV
266.6345,266.6392,46953.0,61120.0,0.59,Echolocation,20230531_043000.WAV
266.70550000000003,266.712,46093.0,61098.0,0.576,Echolocation,20230531_043000.WAV
266.7735,266.778,46953.0,60544.0,0.576,Echolocation,20230531_043000.WAV
266.9225,266.9279,46953.0,58789.0,0.611,Echolocation,20230531_043000.WAV
