KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,46080.0,3.6907405516067753,60.0125,60.0163,40937.0,60939.0,Echolocation,Myotis mystacinus,0.11,0.327,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_225000.WAV,recover-20251107,UBNA_030,Central Pond
LF,24000.0,11.70732340515874,8.1265,8.1434,22890.0,25762.0,Echolocation,Nyctalus leisleri,0.281,0.324,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_230000.WAV,recover-20251107,UBNA_030,Central Pond
HF,41280.0,7.5737270894663045,22.7735,22.7784,23750.0,59941.0,Echolocation,Myotis nattereri,0.297,0.318,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_230000.WAV,recover-20251107,UBNA_030,Central Pond
HF,42240.0,7.493906921836857,50.670500000000004,50.6751,22890.0,64830.0,Echolocation,Myotis nattereri,0.308,0.33,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_230000.WAV,recover-20251107,UBNA_030,Central Pond
HF,52800.0,2.983062783296228,51.823499999999996,51.8274,50390.0,65583.0,Echolocation,Pipistrellus pipistrellus,0.303,0.381,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_230000.WAV,recover-20251107,UBNA_030,Central Pond
LF,20160.0,-0.5100230445969296,53.5125,53.522400000000005,20312.0,28437.0,Echolocation,Eptesicus serotinus,0.121,0.353,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_230000.WAV,recover-20251107,UBNA_030,Central Pond
HF,45120.0,10.585546036535549,181.3165,181.3202,35781.0,69457.0,Echolocation,Myotis mystacinus,0.137,0.32,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_230000.WAV,recover-20251107,UBNA_030,Central Pond
HF,47040.0,5.167923753545392,270.3505,270.3567,44375.0,54610.0,Echolocation,Pipistrellus pipistrellus,0.302,0.314,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_230000.WAV,recover-20251107,UBNA_030,Central Pond
LF,25920.0,-14.47073634492181,26.5615,26.5744,25468.0,32156.0,Echolocation,Eptesicus serotinus,0.162,0.32,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_231000.WAV,recover-20251107,UBNA_030,Central Pond
HF,44160.0,10.204375241477779,36.0655,36.0693,26328.0,76848.0,Echolocation,Myotis nattereri,0.263,0.316,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_231000.WAV,recover-20251107,UBNA_030,Central Pond
HF,62400.0,4.949529091593653,38.4105,38.4199,63281.0,66606.0,Echolocation,Pipistrellus pygmaeus,0.682,0.687,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_231000.WAV,recover-20251107,UBNA_030,Central Pond
HF,68160.0,6.943723601772437,42.7915,42.8086,64140.0,68421.0,Echolocation,Pipistrellus pygmaeus,0.297,0.302,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_231000.WAV,recover-20251107,UBNA_030,Central Pond
HF,67200.0,10.003247503760946,47.423500000000004,47.434200000000004,64140.0,69826.0,Echolocation,Pipistrellus pygmaeus,0.3,0.307,-1,192000.0,/mnt/ubna_data_06/recover-20251107/UBNA_030/20251030_231000.WAV,recover-20251107,UBNA_030,Central Pond
