,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
0,0.08,756,702,657,99,45,0,0.8690476190476191,0.9358974358974359,20220730_053000.WAV,Carp Pond
1,0.09,726,702,654,72,48,0,0.9008264462809917,0.9316239316239316,20220730_053000.WAV,Carp Pond
2,0.1,700,702,648,52,54,0,0.9257142857142857,0.9230769230769231,20220730_053000.WAV,Carp Pond
3,0.11,688,702,644,44,58,0,0.936046511627907,0.9173789173789174,20220730_053000.WAV,Carp Pond
4,0.12,677,702,641,36,61,0,0.946824224519941,0.9131054131054132,20220730_053000.WAV,Carp Pond
5,0.13,673,702,640,33,62,0,0.950965824665676,0.9116809116809117,20220730_053000.WAV,Carp Pond
6,0.14,665,702,635,30,67,0,0.9548872180451128,0.9045584045584045,20220730_053000.WAV,Carp Pond
7,0.15,658,702,630,28,72,0,0.9574468085106383,0.8974358974358975,20220730_053000.WAV,Carp Pond
8,0.16,653,702,628,25,74,0,0.9617151607963247,0.8945868945868946,20220730_053000.WAV,Carp Pond
9,0.17,645,702,621,24,81,0,0.9627906976744186,0.8846153846153846,20220730_053000.WAV,Carp Pond
10,0.18,636,702,617,19,85,0,0.970125786163522,0.8789173789173789,20220730_053000.WAV,Carp Pond
11,0.19,625,702,611,14,91,0,0.9776,0.8703703703703703,20220730_053000.WAV,Carp Pond
12,0.2,619,702,605,14,97,0,0.9773828756058158,0.8618233618233618,20220730_053000.WAV,Carp Pond
13,0.21,613,702,600,13,102,0,0.9787928221859706,0.8547008547008547,20220730_053000.WAV,Carp Pond
14,0.22,608,702,597,11,105,0,0.9819078947368421,0.8504273504273504,20220730_053000.WAV,Carp Pond
15,0.23,599,702,590,9,112,0,0.9849749582637729,0.8404558404558404,20220730_053000.WAV,Carp Pond
16,0.24,592,702,584,8,118,0,0.9864864864864865,0.8319088319088319,20220730_053000.WAV,Carp Pond
17,0.25,588,702,580,8,122,0,0.9863945578231292,0.8262108262108262,20220730_053000.WAV,Carp Pond
18,0.26,585,702,577,8,125,0,0.9863247863247864,0.8219373219373219,20220730_053000.WAV,Carp Pond
19,0.27,579,702,573,6,129,0,0.9896373056994818,0.8162393162393162,20220730_053000.WAV,Carp Pond
20,0.28,575,702,569,6,133,0,0.9895652173913043,0.8105413105413105,20220730_053000.WAV,Carp Pond
21,0.29,566,702,560,6,142,0,0.9893992932862191,0.7977207977207977,20220730_053000.WAV,Carp Pond
22,0.3,553,702,548,5,154,0,0.9909584086799277,0.7806267806267806,20220730_053000.WAV,Carp Pond
23,0.31,542,702,537,5,165,0,0.9907749077490775,0.7649572649572649,20220730_053000.WAV,Carp Pond
24,0.32,536,702,532,4,170,0,0.9925373134328358,0.7578347578347578,20220730_053000.WAV,Carp Pond
25,0.33,530,702,526,4,176,0,0.9924528301886792,0.7492877492877493,20220730_053000.WAV,Carp Pond
