,KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
0,LF,95040.0,0.12206596260629242,0.0735,0.1056,93359,110673,Rhinolophus hipposideros,0.082,0.082,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
1,LF,24960.0,1.1356594713947699,1.5675,1.5816,23750,28170,Nyctalus leisleri,0.074,0.149,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
2,LF,35520.0,1.3896606157371232,9.7745,9.7817,28046,38529,Eptesicus serotinus,0.044,0.093,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
3,HF,47040.0,0.7485002259057407,10.8075,10.8158,46953,50528,Pipistrellus pipistrellus,0.159,0.173,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
4,LF,94080.0,0.25076552387207346,11.4805,11.5128,93359,110584,Rhinolophus hipposideros,0.094,0.094,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
5,LF,22080.0,1.9088093802264967,13.0705,13.0797,21171,29815,Plecotus austriacus,0.051,0.151,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
6,LF,26880.0,0.7905695836586503,13.8455,13.8572,25468,31956,Eptesicus serotinus,0.038,0.085,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
7,LF,24000.0,1.4802793991635634,14.7385,14.7505,23750,28618,Nyctalus leisleri,0.038,0.081,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
8,LF,23040.0,0.8836996447582991,15.1345,15.148,22890,28727,Eptesicus serotinus,0.035,0.102,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
9,HF,46080.0,1.0767270178190254,15.8685,15.8797,44375,47505,Pipistrellus pipistrellus,0.096,0.112,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
10,LF,37440.0,1.6244267338731988,21.4405,21.4534,36640,40021,Pipistrellus nathusii,0.073,0.108,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
11,LF,36480.0,2.1029718055528837,23.8015,23.8074,29765,37811,Plecotus auritus,0.034,0.094,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
12,LF,24960.0,0.40909736711232847,24.1225,24.1391,22890,27143,Nyctalus leisleri,0.06,0.128,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
13,LF,26880.0,0.7386857219196843,25.6865,25.7022,26328,30912,Eptesicus serotinus,0.058,0.099,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
14,LF,24960.0,0.24647936636225448,31.4945,31.5064,24609,30043,Nyctalus leisleri,0.07,0.186,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
15,LF,18240.0,0.578222697113772,34.1795,34.1984,16015,18172,Nyctalus noctula,0.054,0.084,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
16,HF,54720.0,2.1635329567404584,37.7085,37.7169,54687,59472,Pipistrellus pygmaeus,0.149,0.16,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
17,LF,24000.0,0.6717251407741653,39.0905,39.103899999999996,23750,28267,Nyctalus leisleri,0.05,0.095,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
18,LF,31680.0,0.3806686451293866,40.1315,40.1405,28046,35557,Eptesicus serotinus,0.045,0.085,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
19,LF,23040.0,1.2041922124270594,42.2435,42.2588,22890,26437,Nyctalus leisleri,0.094,0.197,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
20,HF,47040.0,3.1283598491626896,44.5995,44.6073,40937,53098,Pipistrellus nathusii,0.045,0.118,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
21,LF,38400.0,0.46034085561437565,46.4645,46.4778,36640,39914,Pipistrellus nathusii,0.152,0.176,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
22,LF,24000.0,0.9787439268906091,47.5135,47.5285,22890,27358,Nyctalus leisleri,0.048,0.095,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
23,LF,34560.0,1.1777139963383765,50.311499999999995,50.321600000000004,32343,36228,Barbastellus barbastellus,0.062,0.158,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
24,LF,24000.0,0.5677723530180188,53.0875,53.1034,22031,26956,Nyctalus noctula,0.107,0.241,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
25,LF,24000.0,0.8668821292181461,53.7065,53.7155,23750,32067,Plecotus austriacus,0.023,0.095,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
26,LF,26880.0,0.901398316479623,56.966499999999996,56.972899999999996,26328,36402,Plecotus auritus,0.04,0.087,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
27,LF,24000.0,1.5105389742694653,57.0155,57.0325,22890,26570,Nyctalus leisleri,0.042,0.081,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
28,LF,32640.0,1.8151568499102417,59.8905,59.896699999999996,29765,39090,Plecotus auritus,0.047,0.118,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
29,LF,24000.0,1.3524232219926982,60.6015,60.6069,23750,38122,Plecotus auritus,0.047,0.092,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
30,LF,32640.0,2.9922469646179084,60.9495,60.9547,30625,38826,Barbastellus barbastellus,0.03,0.088,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
31,HF,36480.0,2.5415696029183774,61.5575,61.5615,33203,45554,Plecotus auritus,0.04,0.092,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
32,HF,36480.0,2.246714230954354,61.5585,61.5625,28906,45847,Plecotus auritus,0.037,0.092,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
33,HF,52800.0,2.6729557006755185,62.3685,62.3823,50390,59121,Pipistrellus pipistrellus,0.094,0.135,-1,Echolocation,250000,/home/adkris/Documents/mila-human-wav-txt/20220727_083000.WAV
