,KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
0,LF,95040.0,77.02533673939247,6.0015,6.0293,93359.0,111155.0,Rhinolophus hipposideros,0.082,0.082,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
1,LF,29760.0,1.418758192060792,9.6645,9.6801,29765.0,35720.0,Eptesicus serotinus,0.07,0.102,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
2,HF,46080.0,1.4405477708956638,13.7865,13.801,44375.0,47430.0,Pipistrellus pipistrellus,0.071,0.085,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
3,HF,72000.0,0.12829222728523162,19.6185,19.6642,68437.0,83511.0,Rhinolophus ferrumequinum,0.095,0.095,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
4,LF,95040.0,75.85741675971447,20.0015,20.0289,93359.0,110696.0,Rhinolophus hipposideros,0.087,0.087,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
5,LF,28800.0,0.7280928273275283,29.1165,29.126,28906.0,36304.0,Eptesicus serotinus,0.065,0.106,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
6,LF,27840.0,0.2736610075316325,39.7195,39.7342,28046.0,33039.0,Eptesicus serotinus,0.04,0.082,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
7,LF,95040.0,74.75202205515352,60.8005,60.8307,93359.0,110315.0,Rhinolophus hipposideros,0.084,0.084,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
8,HF,39360.0,0.42292307784411337,63.2265,63.2377,36640.0,41420.0,Pipistrellus nathusii,0.074,0.126,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
9,LF,36480.0,1.5622184280100402,88.2025,88.21940000000001,37500.0,40754.0,Pipistrellus nathusii,0.082,0.1,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
10,LF,14400.0,1.0696203180700312,104.9105,104.9248,13437.0,16145.0,Nyctalus noctula,0.039,0.106,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
11,LF,29760.0,0.20582621968192988,117.6335,117.6433,28906.0,34114.0,Eptesicus serotinus,0.049,0.099,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
12,HF,41280.0,0.9175775251652957,124.4965,124.5086,38359.0,42425.0,Pipistrellus nathusii,0.063,0.085,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
13,LF,26880.0,1.075834301450331,162.5215,162.5332,26328.0,32433.0,Eptesicus serotinus,0.049,0.101,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
14,LF,22080.0,0.9013738452574744,167.5065,167.5195,22031.0,28062.0,Nyctalus leisleri,0.033,0.084,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
15,LF,22080.0,0.7257445620196761,180.3055,180.3265,21171.0,24307.0,Nyctalus noctula,0.063,0.134,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
16,LF,24000.0,0.14323941283605646,185.5195,185.5345,23750.0,29940.0,Nyctalus leisleri,0.043,0.128,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
17,HF,45120.0,0.6863789271001293,199.0335,199.0499,43515.0,46188.0,Pipistrellus pipistrellus,0.078,0.086,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
18,LF,22080.0,1.669096634866781,205.0745,205.0896,22890.0,27281.0,Nyctalus leisleri,0.045,0.087,-1,Echolocation,192000.0,/home/adkris/Documents/mila-human-wav-txt/20220730_053000.WAV
