,KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
0,LF,21120.0,7.615996044198811,0.3995,0.4062,17734,28032,Plecotus austriacus,0.065,0.091,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
1,LF,24960.0,2.8355305506628703,0.9845,0.9955,24609,30156,Eptesicus serotinus,0.032,0.083,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
2,HF,47040.0,3.5704216337162094,1.7295,1.7371,46953,51351,Pipistrellus pipistrellus,0.388,0.428,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
3,HF,48960.0,4.221418434117896,2.6585,2.6671,46093,50384,Pipistrellus pipistrellus,0.12,0.128,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
4,HF,48960.0,2.1430998166771147,2.7935,2.7995,46093,53707,Pipistrellus pipistrellus,0.093,0.098,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
5,HF,46080.0,6.879404199032511,3.7705,3.7771,45234,54096,Pipistrellus pipistrellus,0.466,0.512,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
6,HF,46080.0,8.649871245924555,3.9105,3.9154,45234,59565,Pipistrellus pipistrellus,0.266,0.355,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
7,HF,48000.0,3.4636463658013983,4.1625,4.1685,45234,59329,Pipistrellus pipistrellus,0.218,0.312,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
8,HF,47040.0,10.101822210113145,4.3085,4.314,46093,59238,Pipistrellus pipistrellus,0.512,0.542,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
9,HF,47040.0,11.660364267601597,4.4425,4.4477,44375,59482,Pipistrellus pipistrellus,0.363,0.47,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
10,HF,48960.0,12.421702178090792,4.5735,4.5789,44375,59685,Pipistrellus pipistrellus,0.324,0.446,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
11,HF,51840.0,12.128914408508468,4.7075,4.7129,45234,65641,Pipistrellus pipistrellus,0.284,0.408,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
12,HF,51840.0,10.440122062786369,4.7095,4.7142,28906,57738,Myotis nattereri,0.059,0.081,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
13,HF,53760.0,16.070444925845464,4.8505,4.8558,45234,62030,Pipistrellus pipistrellus,0.427,0.524,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
14,HF,46080.0,19.477498722668468,5.0035,5.0094,45234,60073,Pipistrellus pipistrellus,0.489,0.538,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
15,HF,52800.0,12.434719096041544,5.1515,5.1569,46093,61459,Pipistrellus pipistrellus,0.439,0.517,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
16,HF,52800.0,8.885770107561884,5.2725,5.2778,46093,61346,Pipistrellus pipistrellus,0.563,0.629,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
17,HF,52800.0,12.765737449736818,5.4225,5.4279,47812,60207,Pipistrellus pipistrellus,0.342,0.417,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
18,HF,51840.0,9.414422117880205,5.5135,5.5198,50390,57852,Pipistrellus pipistrellus,0.359,0.418,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
19,HF,48960.0,8.277214867935648,5.6455,5.6509,46953,56683,Pipistrellus pipistrellus,0.393,0.41,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
20,HF,48960.0,20.1849798781274,5.7835,5.7889,44375,59142,Pipistrellus pipistrellus,0.63,0.713,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
21,HF,46080.0,4.930855975073405,5.9225,5.9287,46093,59454,Pipistrellus pipistrellus,0.346,0.391,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
22,HF,52800.0,8.264410224242113,6.0685,6.0754,51250,57840,Pipistrellus pygmaeus,0.149,0.29,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
23,HF,46080.0,2.5106105555850364,6.2185,6.2264,44375,57292,Pipistrellus pipistrellus,0.125,0.203,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
24,HF,48000.0,5.185652742655767,6.6505,6.6559,46953,54271,Pipistrellus pipistrellus,0.087,0.098,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
25,HF,48960.0,4.7279659358213175,7.2515,7.2573,46953,55871,Pipistrellus pipistrellus,0.128,0.145,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
26,HF,40320.0,2.9212538729549835,7.7885,7.7991,37500,41559,Pipistrellus nathusii,0.094,0.151,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
27,HF,40320.0,1.9865371550329867,8.0805,8.0912,39218,43259,Pipistrellus nathusii,0.083,0.096,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
28,HF,40320.0,4.727553591602637,8.2815,8.2891,38359,48021,Pipistrellus nathusii,0.471,0.594,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
29,HF,40320.0,0.8967426529178011,8.3755,8.383,39218,45307,Pipistrellus nathusii,0.142,0.199,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
30,LF,21120.0,13.048624651977415,8.5495,8.5579,19453,26239,Plecotus austriacus,0.042,0.106,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
31,HF,41280.0,4.962142906974971,8.5735,8.5812,39218,47453,Pipistrellus nathusii,0.393,0.47,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
32,HF,40320.0,1.788973810675385,8.6785,8.688,38359,43377,Pipistrellus nathusii,0.203,0.227,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
33,HF,40320.0,2.5402033748733848,8.7755,8.7835,38359,44413,Pipistrellus nathusii,0.211,0.283,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
34,HF,41280.0,1.4039071670441006,8.8705,8.8796,39218,46194,Pipistrellus nathusii,0.428,0.495,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
35,HF,40320.0,4.310896897278326,8.9675,8.9766,38359,49128,Pipistrellus nathusii,0.442,0.503,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
36,LF,27840.0,1.8476956857226212,8.9945,9.0055,28046,34357,Eptesicus serotinus,0.06,0.096,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
37,LF,38400.0,0.7089498744375626,9.0455,9.0576,35781,38902,Pipistrellus nathusii,0.086,0.108,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
38,HF,41280.0,3.0348557741171485,9.0605,9.0688,40078,47781,Pipistrellus nathusii,0.309,0.362,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
39,HF,40320.0,9.59146671235048,9.1595,9.1668,38359,48562,Pipistrellus nathusii,0.475,0.543,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
40,HF,41280.0,6.163414107363296,9.3375,9.3446,39218,48591,Pipistrellus nathusii,0.284,0.374,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
41,HF,41280.0,10.046771867580599,9.4335,9.4417,38359,46568,Pipistrellus nathusii,0.483,0.559,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
42,LF,21120.0,0.18160509210442657,9.5215,9.5417,19453,22595,Nyctalus noctula,0.05,0.096,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
43,HF,40320.0,8.975467115222646,9.6025,9.6113,38359,49321,Pipistrellus nathusii,0.443,0.528,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
44,HF,40320.0,5.6011581583069265,9.7005,9.7083,38359,45348,Pipistrellus nathusii,0.328,0.447,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
45,HF,43200.0,4.765250516278451,9.7945,9.8039,36640,43970,Pipistrellus nathusii,0.068,0.146,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
46,HF,41280.0,8.346901579993949,9.8805,9.8888,38359,49182,Pipistrellus nathusii,0.369,0.479,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
