start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file
864.8815,864.8887,40078.0,54405.0,0.648,Echolocation,20220820_033000.WAV
864.9665,864.971,41796.0,51690.0,0.525,Echolocation,20220820_033000.WAV
865.0315,865.0366,41796.0,50058.0,0.54,Echolocation,20220820_033000.WAV
865.1535,865.1594,40937.0,53686.0,0.76,Echolocation,20220820_033000.WAV
865.2345,865.2395,40937.0,56544.0,0.587,Echolocation,20220820_033000.WAV
865.3205,865.3259,38359.0,56223.0,0.604,Echolocation,20220820_033000.WAV
865.6065,865.6128,36640.0,50574.0,0.549,Echolocation,20220820_033000.WAV
865.6945,865.6996,36640.0,53722.0,0.59,Echolocation,20220820_033000.WAV
866.4215,866.4262,33203.0,53660.0,0.51,Echolocation,20220820_033000.WAV
866.5465,866.5511,33203.0,54192.0,0.513,Echolocation,20220820_033000.WAV
867.4415,867.4479,36640.0,61769.0,0.504,Echolocation,20220820_033000.WAV
867.5264999999999,867.5327,34062.0,61989.0,0.513,Echolocation,20220820_033000.WAV
867.6185,867.6249,34062.0,62884.0,0.522,Echolocation,20220820_033000.WAV
867.7075,867.7139999999999,34062.0,65090.0,0.517,Echolocation,20220820_033000.WAV
867.9765,867.9831,34062.0,62543.0,0.562,Echolocation,20220820_033000.WAV
868.0645,868.0713,30625.0,71698.0,0.567,Echolocation,20220820_033000.WAV
868.2525,868.2599,34921.0,59876.0,0.529,Echolocation,20220820_033000.WAV
868.4245,868.431,30625.0,65777.0,0.569,Echolocation,20220820_033000.WAV
868.6925,868.6998,38359.0,60586.0,0.619,Echolocation,20220820_033000.WAV
868.8905,868.897,35781.0,60745.0,0.601,Echolocation,20220820_033000.WAV
869.0455,869.0531,34062.0,67933.0,0.555,Echolocation,20220820_033000.WAV
869.3025,869.3106,35781.0,69051.0,0.551,Echolocation,20220820_033000.WAV
869.4795,869.4871,35781.0,68519.0,0.568,Echolocation,20220820_033000.WAV
869.5655,869.5722,30625.0,68827.0,0.525,Echolocation,20220820_033000.WAV
869.6545,869.6622,34921.0,68615.0,0.506,Echolocation,20220820_033000.WAV
869.8875,869.8946,29765.0,72523.0,0.55,Echolocation,20220820_033000.WAV
870.1915,870.1992,32343.0,82609.0,0.534,Echolocation,20220820_033000.WAV
870.3445,870.3524,33203.0,86330.0,0.53,Echolocation,20220820_033000.WAV
870.5605,870.5676,30625.0,75845.0,0.546,Echolocation,20220820_033000.WAV
870.6445,870.6514,30625.0,79409.0,0.632,Echolocation,20220820_033000.WAV
870.7055,870.7129,31484.0,83037.0,0.526,Echolocation,20220820_033000.WAV
870.7655,870.7725,32343.0,71898.0,0.52,Echolocation,20220820_033000.WAV
870.8335,870.8403,29765.0,80479.0,0.51,Echolocation,20220820_033000.WAV
871.0875,871.094,31484.0,75309.0,0.609,Echolocation,20220820_033000.WAV
871.9035,871.9087,35781.0,52407.0,0.521,Echolocation,20220820_033000.WAV
872.3065,872.3119,34921.0,53501.0,0.537,Echolocation,20220820_033000.WAV
872.4045,872.4097,34921.0,50347.0,0.502,Echolocation,20220820_033000.WAV
874.1895,874.1957,39218.0,49331.0,0.528,Echolocation,20220820_033000.WAV
874.5505,874.5581,38359.0,47392.0,0.547,Echolocation,20220820_033000.WAV
880.3085,880.318,40078.0,49421.0,0.513,Echolocation,20220820_033000.WAV
881.4975,881.5057,40078.0,50137.0,0.553,Echolocation,20220820_033000.WAV
881.7815,881.7896,40937.0,50655.0,0.537,Echolocation,20220820_033000.WAV
883.8545,883.8607,40937.0,53176.0,0.634,Echolocation,20220820_033000.WAV
884.2135,884.2187,38359.0,52114.0,0.517,Echolocation,20220820_033000.WAV
884.4515,884.4567,41796.0,50106.0,0.512,Echolocation,20220820_033000.WAV
884.5855,884.5908,36640.0,51887.0,0.519,Echolocation,20220820_033000.WAV
884.9935,884.9984,34062.0,50838.0,0.502,Echolocation,20220820_033000.WAV
885.4345,885.4392,33203.0,52358.0,0.54,Echolocation,20220820_033000.WAV
886.3875,886.3941,34921.0,63949.0,0.55,Echolocation,20220820_033000.WAV
886.4825,886.489,34062.0,63248.0,0.507,Echolocation,20220820_033000.WAV
886.7515,886.7575,30625.0,72058.0,0.529,Echolocation,20220820_033000.WAV
886.9275,886.9341,34062.0,61221.0,0.556,Echolocation,20220820_033000.WAV
887.2035,887.2111,36640.0,59122.0,0.56,Echolocation,20220820_033000.WAV
887.6705,887.6771,34062.0,62706.0,0.505,Echolocation,20220820_033000.WAV
887.7575,887.7644,34921.0,62413.0,0.513,Echolocation,20220820_033000.WAV
887.8455,887.8521,34062.0,63497.0,0.517,Echolocation,20220820_033000.WAV
888.7685,888.7753,28906.0,82117.0,0.558,Echolocation,20220820_033000.WAV
888.8615,888.8682,30625.0,76403.0,0.553,Echolocation,20220820_033000.WAV
889.0515,889.0586,30625.0,82678.0,0.537,Echolocation,20220820_033000.WAV
889.2145,889.2223,30625.0,88432.0,0.524,Echolocation,20220820_033000.WAV
889.2795,889.2863,31484.0,87467.0,0.568,Echolocation,20220820_033000.WAV
889.3825,889.3897,30625.0,88202.0,0.59,Echolocation,20220820_033000.WAV
889.6635,889.6705,29765.0,84008.0,0.563,Echolocation,20220820_033000.WAV
889.7255,889.732,28906.0,77992.0,0.656,Echolocation,20220820_033000.WAV
889.7685,889.7751,28046.0,80952.0,0.674,Echolocation,20220820_033000.WAV
889.8095,889.8159,28906.0,77878.0,0.67,Echolocation,20220820_033000.WAV
889.8495,889.8552999999999,28906.0,70965.0,0.607,Echolocation,20220820_033000.WAV
889.8885,889.8939,28906.0,75417.0,0.631,Echolocation,20220820_033000.WAV
889.9275,889.9339,28906.0,76774.0,0.624,Echolocation,20220820_033000.WAV
889.9675,889.9743,28906.0,82129.0,0.612,Echolocation,20220820_033000.WAV
890.0175,890.0227,29765.0,65006.0,0.627,Echolocation,20220820_033000.WAV
890.0675,890.0738,29765.0,66676.0,0.605,Echolocation,20220820_033000.WAV
890.1215,890.1277,30625.0,68841.0,0.642,Echolocation,20220820_033000.WAV
890.2015,890.2079,31484.0,64608.0,0.557,Echolocation,20220820_033000.WAV
890.2905,890.2957,32343.0,52936.0,0.552,Echolocation,20220820_033000.WAV
890.3775,890.3828,33203.0,58483.0,0.506,Echolocation,20220820_033000.WAV
890.5615,890.5672,34062.0,54028.0,0.599,Echolocation,20220820_033000.WAV
890.8325,890.8379,32343.0,59693.0,0.519,Echolocation,20220820_033000.WAV
891.0105,891.0156,30625.0,57995.0,0.553,Echolocation,20220820_033000.WAV
891.2905,891.2955,31484.0,51931.0,0.513,Echolocation,20220820_033000.WAV
891.3665,891.3712,32343.0,53509.0,0.541,Echolocation,20220820_033000.WAV
891.4885,891.4938,33203.0,54040.0,0.507,Echolocation,20220820_033000.WAV
892.9855,892.9904,34921.0,49070.0,0.527,Echolocation,20220820_033000.WAV
896.4075,896.4142,40937.0,52607.0,0.521,Echolocation,20220820_033000.WAV
897.4905,897.4966,40937.0,57746.0,0.542,Echolocation,20220820_033000.WAV
898.5825,898.5888,34062.0,82713.0,0.63,Echolocation,20220820_033000.WAV
898.6355,898.6417,34062.0,84384.0,0.58,Echolocation,20220820_033000.WAV
898.7135,898.7198,32343.0,84852.0,0.639,Echolocation,20220820_033000.WAV
898.7605,898.767,34062.0,88244.0,0.629,Echolocation,20220820_033000.WAV
898.8195,898.8263,34062.0,82442.0,0.588,Echolocation,20220820_033000.WAV
898.9955,899.0019,33203.0,84387.0,0.504,Echolocation,20220820_033000.WAV
899.2805,899.2872,31484.0,76366.0,0.623,Echolocation,20220820_033000.WAV
899.3745,899.3814,29765.0,81967.0,0.637,Echolocation,20220820_033000.WAV
899.6765,899.6822,32343.0,61780.0,0.566,Echolocation,20220820_033000.WAV
899.7745,899.7802,34921.0,57091.0,0.536,Echolocation,20220820_033000.WAV
899.8785,899.8847,31484.0,70003.0,0.573,Echolocation,20220820_033000.WAV
900.0765,900.083,31484.0,58354.0,0.571,Echolocation,20220820_033000.WAV
900.2845,900.2904,30625.0,57500.0,0.553,Echolocation,20220820_033000.WAV
900.3595,900.3663,38359.0,53070.0,0.514,Echolocation,20220820_033000.WAV
900.7005,900.7065,32343.0,54521.0,0.52,Echolocation,20220820_033000.WAV
900.9115,900.9178,34062.0,57592.0,0.534,Echolocation,20220820_033000.WAV
901.1245,901.131,34062.0,55965.0,0.547,Echolocation,20220820_033000.WAV
901.2355,901.2418,38359.0,50875.0,0.519,Echolocation,20220820_033000.WAV
902.5805,902.5865,39218.0,52434.0,0.536,Echolocation,20220820_033000.WAV
902.6685,902.6744,35781.0,55263.0,0.582,Echolocation,20220820_033000.WAV
902.7585,902.7646,35781.0,51614.0,0.53,Echolocation,20220820_033000.WAV
902.9575,902.9633,34921.0,52744.0,0.596,Echolocation,20220820_033000.WAV
903.0465,903.0517,34921.0,50681.0,0.602,Echolocation,20220820_033000.WAV
903.3885,903.3937,34062.0,54069.0,0.559,Echolocation,20220820_033000.WAV
903.9165,903.9215,31484.0,51628.0,0.561,Echolocation,20220820_033000.WAV
903.9765,903.9813,33203.0,52214.0,0.513,Echolocation,20220820_033000.WAV
904.5025,904.5086,37500.0,59519.0,0.502,Echolocation,20220820_033000.WAV
904.5875,904.5932,35781.0,59331.0,0.507,Echolocation,20220820_033000.WAV
904.6835,904.6896,35781.0,62449.0,0.591,Echolocation,20220820_033000.WAV
904.7705,904.7762,34062.0,63684.0,0.504,Echolocation,20220820_033000.WAV
904.8635,904.869,34921.0,59566.0,0.552,Echolocation,20220820_033000.WAV
904.9525,904.9579,34921.0,60006.0,0.62,Echolocation,20220820_033000.WAV
905.0395,905.0458,32343.0,64190.0,0.504,Echolocation,20220820_033000.WAV
905.1315,905.1379,33203.0,67568.0,0.515,Echolocation,20220820_033000.WAV
905.2215,905.2272,31484.0,67153.0,0.624,Echolocation,20220820_033000.WAV
905.3135,905.3195,32343.0,65371.0,0.531,Echolocation,20220820_033000.WAV
905.4065,905.4127,34921.0,58570.0,0.57,Echolocation,20220820_033000.WAV
905.6875,905.6952,38359.0,58994.0,0.645,Echolocation,20220820_033000.WAV
905.8715,905.8787,37500.0,56717.0,0.565,Echolocation,20220820_033000.WAV
906.0465,906.0539,35781.0,62332.0,0.567,Echolocation,20220820_033000.WAV
906.8005,906.8079,30625.0,73688.0,0.522,Echolocation,20220820_033000.WAV
906.8695,906.8764,29765.0,70711.0,0.563,Echolocation,20220820_033000.WAV
906.9985,907.0062,30625.0,74598.0,0.554,Echolocation,20220820_033000.WAV
907.0835,907.0915,34921.0,72267.0,0.569,Echolocation,20220820_033000.WAV
907.2625,907.2705,34921.0,68156.0,0.54,Echolocation,20220820_033000.WAV
907.4865,907.4935,28906.0,68849.0,0.575,Echolocation,20220820_033000.WAV
907.5835,907.5908,31484.0,64656.0,0.553,Echolocation,20220820_033000.WAV
907.6645,907.6717,30625.0,74584.0,0.615,Echolocation,20220820_033000.WAV
907.7645,907.7719,32343.0,66144.0,0.535,Echolocation,20220820_033000.WAV
907.9235,907.9278,41796.0,58763.0,0.511,Echolocation,20220820_033000.WAV
907.9545,907.9621,34062.0,65609.0,0.508,Echolocation,20220820_033000.WAV
908.1445,908.1503,34062.0,57515.0,0.538,Echolocation,20220820_033000.WAV
908.3545,908.3604,41796.0,54086.0,0.521,Echolocation,20220820_033000.WAV
908.5575,908.5623,40937.0,56587.0,0.605,Echolocation,20220820_033000.WAV
908.6595,908.665,40937.0,54023.0,0.63,Echolocation,20220820_033000.WAV
908.6885,908.6937,37500.0,51792.0,0.562,Echolocation,20220820_033000.WAV
908.7655,908.7702,40078.0,50945.0,0.523,Echolocation,20220820_033000.WAV
908.8675,908.8736,40078.0,49836.0,0.503,Echolocation,20220820_033000.WAV
910.1015,910.1068,31484.0,49252.0,0.519,Echolocation,20220820_033000.WAV
911.4285,911.4352,40078.0,46805.0,0.509,Echolocation,20220820_033000.WAV
925.3735,925.3781,36640.0,50398.0,0.546,Echolocation,20220820_033000.WAV
925.4775,925.4825,33203.0,50076.0,0.571,Echolocation,20220820_033000.WAV
925.9665,925.9723,39218.0,57506.0,0.514,Echolocation,20220820_033000.WAV
926.3335,926.3385,35781.0,56383.0,0.501,Echolocation,20220820_033000.WAV
926.4375,926.443,34921.0,58346.0,0.57,Echolocation,20220820_033000.WAV
926.6355,926.6414,34921.0,58144.0,0.572,Echolocation,20220820_033000.WAV
926.7485,926.7542,34921.0,58889.0,0.626,Echolocation,20220820_033000.WAV
926.8315,926.8369,34921.0,55371.0,0.504,Echolocation,20220820_033000.WAV
927.0765,927.0822000000001,29765.0,63611.0,0.642,Echolocation,20220820_033000.WAV
927.1265,927.1312,30625.0,62125.0,0.506,Echolocation,20220820_033000.WAV
927.1685,927.1739,30625.0,63228.0,0.612,Echolocation,20220820_033000.WAV
927.4565,927.4631,32343.0,75187.0,0.561,Echolocation,20220820_033000.WAV
927.5675,927.5732,30625.0,67030.0,0.56,Echolocation,20220820_033000.WAV
927.7585,927.7644,31484.0,64972.0,0.572,Echolocation,20220820_033000.WAV
