date_and_time_UTC,activity_index,LFactivity_index,HFactivity_index
2026-05-04 22:10:00+00:00,0.0,0.0,0.0
2026-05-04 22:20:00+00:00,0.0,0.0,0.0
2026-05-04 22:30:00+00:00,,,
