date_and_time_UTC,activity_index,LFactivity_index,HFactivity_index
2026-03-05 20:30:00+00:00,35.0,25.0,10.0
2026-03-05 20:40:00+00:00,0.0,0.0,0.0
2026-03-05 20:50:00+00:00,0.0,0.0,0.0
2026-03-05 21:00:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2026-03-05 21:10:00+00:00,,,
2026-03-05 21:20:00+00:00,0.0,0.0,0.0
2026-03-05 21:30:00+00:00,13.333333333333334,3.3333333333333335,10.0
2026-03-05 21:40:00+00:00,,,
2026-03-05 21:50:00+00:00,0.0,0.0,0.0
2026-03-05 22:00:00+00:00,148.33333333333334,71.66666666666667,123.33333333333334
2026-03-05 22:10:00+00:00,0.0,0.0,0.0
2026-03-05 22:20:00+00:00,0.0,0.0,0.0
2026-03-05 22:30:00+00:00,118.33333333333333,86.66666666666667,66.66666666666666
2026-03-05 22:40:00+00:00,0.0,0.0,0.0
2026-03-05 22:50:00+00:00,0.0,0.0,0.0
2026-03-05 23:00:00+00:00,66.66666666666666,35.0,50.0
2026-03-05 23:10:00+00:00,0.0,0.0,0.0
2026-03-05 23:20:00+00:00,0.0,0.0,0.0
2026-03-05 23:30:00+00:00,40.0,25.0,15.0
2026-03-05 23:40:00+00:00,0.0,0.0,0.0
2026-03-05 23:50:00+00:00,0.0,0.0,0.0
2026-03-06 00:00:00+00:00,21.666666666666668,6.666666666666667,15.0
2026-03-06 00:10:00+00:00,0.0,0.0,0.0
2026-03-06 00:20:00+00:00,0.0,0.0,0.0
2026-03-06 00:30:00+00:00,5.0,1.6666666666666667,5.0
2026-03-06 00:40:00+00:00,0.0,0.0,0.0
2026-03-06 00:50:00+00:00,0.0,0.0,0.0
2026-03-06 01:00:00+00:00,0.0,0.0,0.0
2026-03-06 01:10:00+00:00,0.0,0.0,0.0
2026-03-06 01:20:00+00:00,,,
2026-03-06 01:30:00+00:00,0.0,0.0,0.0
2026-03-06 01:40:00+00:00,0.0,0.0,0.0
2026-03-06 01:50:00+00:00,0.0,0.0,0.0
2026-03-06 02:00:00+00:00,0.0,0.0,0.0
2026-03-06 02:10:00+00:00,,,
2026-03-06 02:20:00+00:00,,,
