Time (UTC),07/21/25,07/22/25,07/23/25,07/24/25
00:00,,0.0,0.0,0.0
00:30,,0.06666666666666667,0.06666666666666667,0.0
01:00,,0.0,0.0,0.0
01:30,,0.0,0.0,0.0
02:00,,0.06666666666666667,0.0,0.0
02:30,,0.0,0.06666666666666667,0.0
03:00,,0.0,0.0,0.0
03:30,,0.0,0.13333333333333333,0.0
04:00,,0.0,0.0,0.13333333333333333
04:30,,27.066666666666663,20.2,6.3999999999999995
05:00,,5.266666666666667,33.266666666666666,7.733333333333333
05:30,,54.6,9.133333333333333,40.4
06:00,,93.33333333333333,51.0,5.733333333333333
06:30,,21.066666666666666,9.066666666666666,20.26666666666667
07:00,,13.066666666666668,0.0,12.600000000000001
07:30,,5.3999999999999995,1.8666666666666665,5.2
08:00,,10.866666666666667,4.533333333333333,57.333333333333336
08:30,,2.9333333333333336,3.8000000000000003,155.66666666666666
09:00,,20.400000000000002,18.533333333333335,91.13333333333333
09:30,,4.6000000000000005,8.4,41.4
10:00,,1.2,0.0,35.666666666666664
10:30,,15.0,3.733333333333333,2.6666666666666665
11:00,,3.533333333333333,0.8666666666666667,0.13333333333333333
11:30,,0.06666666666666667,0.0,0.06666666666666667
12:00,,0.06666666666666667,0.0,1.6666666666666667
12:30,,0.13333333333333333,0.0,0.0
13:00,,0.0,0.0,0.06666666666666667
13:30,,0.0,0.19999999999999998,0.0
14:00,,0.0,0.0,0.0
14:30,,0.0,0.0,0.0
15:00,,0.0,0.0,0.06666666666666667
15:30,,0.0,0.0,0.06666666666666667
16:00,,0.0,0.0,0.06666666666666667
16:30,,0.06666666666666667,0.0,0.06666666666666667
17:00,,0.0,0.06666666666666667,0.0
17:30,,0.06666666666666667,0.0,0.0
18:00,,0.06666666666666667,0.0,0.06666666666666667
18:30,,0.0,0.0,0.0
19:00,,0.0,0.0,0.0
19:30,,0.0,0.0,0.13333333333333333
20:00,0.4666666666666666,0.0,0.0,
20:30,0.0,0.0,0.13333333333333333,
21:00,0.0,0.06666666666666667,0.0,
21:30,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,
23:00,0.06666666666666667,0.0,0.0,
23:30,0.0,0.0,0.0,
