,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
284,0.13,28,3,1,27,2,0,0.03571428571428571,0.3333333333333333,20220829_090000.WAV,Foliage
285,0.14,19,3,1,18,2,0,0.05263157894736842,0.3333333333333333,20220829_090000.WAV,Foliage
286,0.15,11,3,1,10,2,0,0.09090909090909091,0.3333333333333333,20220829_090000.WAV,Foliage
287,0.16,11,3,1,10,2,0,0.09090909090909091,0.3333333333333333,20220829_090000.WAV,Foliage
288,0.17,6,3,1,5,2,0,0.16666666666666666,0.3333333333333333,20220829_090000.WAV,Foliage
289,0.18,6,3,1,5,2,0,0.16666666666666666,0.3333333333333333,20220829_090000.WAV,Foliage
290,0.19,5,3,1,4,2,0,0.2,0.3333333333333333,20220829_090000.WAV,Foliage
291,0.2,5,3,1,4,2,0,0.2,0.3333333333333333,20220829_090000.WAV,Foliage
292,0.21,4,3,1,3,2,0,0.25,0.3333333333333333,20220829_090000.WAV,Foliage
293,0.22,2,3,1,1,2,0,0.5,0.3333333333333333,20220829_090000.WAV,Foliage
294,0.23,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
295,0.24,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
296,0.25,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
297,0.26,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
298,0.27,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
299,0.28,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
300,0.29,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
301,0.3,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
302,0.31,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
303,0.32,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
304,0.33,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
305,0.34,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
306,0.35,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
307,0.36,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
308,0.37,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
309,0.38,1,3,1,0,2,0,1.0,0.3333333333333333,20220829_090000.WAV,Foliage
310,0.39,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
311,0.4,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
312,0.41,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
313,0.42,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
314,0.43,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
315,0.44,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
316,0.45,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
317,0.46,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
318,0.47,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
319,0.48,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
320,0.49,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
321,0.5,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
322,0.51,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
323,0.52,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
324,0.53,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
325,0.54,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
326,0.55,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
327,0.56,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
328,0.57,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
329,0.58,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
330,0.59,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
331,0.6,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
332,0.61,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
333,0.62,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
334,0.63,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
335,0.64,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
336,0.65,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
337,0.66,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
338,0.67,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
339,0.68,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
340,0.69,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
341,0.7,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
342,0.71,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
343,0.72,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
344,0.73,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
345,0.74,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
346,0.75,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
347,0.76,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
348,0.77,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
349,0.78,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
350,0.79,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
351,0.8,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
352,0.81,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
353,0.82,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
354,0.83,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
355,0.84,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
356,0.85,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
357,0.86,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
358,0.87,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
359,0.88,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
360,0.89,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
361,0.9,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
362,0.91,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
363,0.92,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
364,0.93,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
365,0.94,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
366,0.95,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
367,0.96,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
368,0.97,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
369,0.98,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
370,0.99,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
371,1.0,0,3,0,0,3,0,,0.0,20220829_090000.WAV,Foliage
