,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
44,0.52,55,161,55,0,106,0,1.0,0.3416149068322981,20220730_053000.WAV,Carp Pond
45,0.53,54,161,54,0,107,0,1.0,0.33540372670807456,20220730_053000.WAV,Carp Pond
46,0.54,50,161,50,0,111,0,1.0,0.3105590062111801,20220730_053000.WAV,Carp Pond
47,0.55,47,161,47,0,114,0,1.0,0.2919254658385093,20220730_053000.WAV,Carp Pond
48,0.56,40,161,40,0,121,0,1.0,0.2484472049689441,20220730_053000.WAV,Carp Pond
49,0.57,34,161,34,0,127,0,1.0,0.2111801242236025,20220730_053000.WAV,Carp Pond
50,0.58,32,161,32,0,129,0,1.0,0.19875776397515527,20220730_053000.WAV,Carp Pond
51,0.59,28,161,28,0,133,0,1.0,0.17391304347826086,20220730_053000.WAV,Carp Pond
52,0.6,22,161,22,0,139,0,1.0,0.13664596273291926,20220730_053000.WAV,Carp Pond
53,0.61,17,161,17,0,144,0,1.0,0.10559006211180125,20220730_053000.WAV,Carp Pond
54,0.62,12,161,12,0,149,0,1.0,0.07453416149068323,20220730_053000.WAV,Carp Pond
55,0.63,9,161,9,0,152,0,1.0,0.055900621118012424,20220730_053000.WAV,Carp Pond
56,0.64,6,161,6,0,155,0,1.0,0.037267080745341616,20220730_053000.WAV,Carp Pond
57,0.65,4,161,4,0,157,0,1.0,0.024844720496894408,20220730_053000.WAV,Carp Pond
58,0.66,2,161,2,0,159,0,1.0,0.012422360248447204,20220730_053000.WAV,Carp Pond
59,0.67,1,161,1,0,160,0,1.0,0.006211180124223602,20220730_053000.WAV,Carp Pond
60,0.68,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
61,0.69,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
62,0.7,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
63,0.71,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
64,0.72,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
65,0.73,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
66,0.74,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
67,0.75,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
68,0.76,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
69,0.77,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
70,0.78,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
71,0.79,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
72,0.8,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
73,0.81,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
74,0.82,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
75,0.83,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
76,0.84,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
77,0.85,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
78,0.86,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
79,0.87,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
80,0.88,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
81,0.89,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
82,0.9,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
83,0.91,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
84,0.92,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
85,0.93,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
86,0.94,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
87,0.95,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
88,0.96,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
89,0.97,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
90,0.98,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
91,0.99,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
92,1.0,0,161,0,0,161,0,,0.0,20220730_053000.WAV,Carp Pond
93,0.08,1651,1138,1055,596,83,0,0.6390066626287099,0.9270650263620387,20220826_070000.WAV,Central Pond
94,0.09,1484,1138,1047,437,91,0,0.7055256064690026,0.9200351493848857,20220826_070000.WAV,Central Pond
95,0.1,1351,1138,1039,312,99,0,0.769059955588453,0.9130052724077329,20220826_070000.WAV,Central Pond
96,0.11,1272,1138,1031,241,107,0,0.8105345911949685,0.9059753954305799,20220826_070000.WAV,Central Pond
97,0.12,1217,1138,1022,195,116,0,0.8397699260476582,0.8980667838312829,20220826_070000.WAV,Central Pond
98,0.13,1167,1138,1016,151,122,0,0.8706083976006855,0.8927943760984183,20220826_070000.WAV,Central Pond
99,0.14,1132,1138,1001,131,137,0,0.8842756183745583,0.8796133567662566,20220826_070000.WAV,Central Pond
100,0.15,1103,1138,990,113,148,0,0.8975521305530372,0.8699472759226714,20220826_070000.WAV,Central Pond
101,0.16,1079,1138,981,98,157,0,0.9091751621872104,0.8620386643233744,20220826_070000.WAV,Central Pond
102,0.17,1047,1138,965,82,173,0,0.9216809933142311,0.8479789103690686,20220826_070000.WAV,Central Pond
103,0.18,1018,1138,953,65,185,0,0.9361493123772102,0.8374340949033392,20220826_070000.WAV,Central Pond
104,0.19,997,1138,940,57,198,0,0.9428284854563691,0.8260105448154658,20220826_070000.WAV,Central Pond
105,0.2,972,1138,926,46,212,0,0.9526748971193416,0.8137082601054482,20220826_070000.WAV,Central Pond
106,0.21,949,1138,907,42,231,0,0.9557428872497366,0.79701230228471,20220826_070000.WAV,Central Pond
107,0.22,916,1138,881,35,257,0,0.9617903930131004,0.7741652021089631,20220826_070000.WAV,Central Pond
