KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,24000.0,-4.918541652986122,76.0035,76.0085,23750.0,35308.0,Plecotus austriacus,0.365,0.474,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_222000.WAV,recover-20250821,UBNA_022,Foliage
HF,48000.0,-5.718569693646306,160.0275,160.0366,43515.0,51105.0,Pipistrellus pipistrellus,0.24,0.324,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_222000.WAV,recover-20250821,UBNA_022,Foliage
HF,63360.0,40.35334769008709,116.2325,116.2461,64140.0,69824.0,Pipistrellus pygmaeus,0.452,0.463,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_223000.WAV,recover-20250821,UBNA_022,Foliage
HF,65280.0,6.724955878986593,116.9395,116.9514,64140.0,68960.0,Pipistrellus pygmaeus,0.443,0.451,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250807_223000.WAV,recover-20250821,UBNA_022,Foliage
LF,22080.0,0.9033741118402219,59.3465,59.3643,21171.0,25502.0,Nyctalus noctula,0.227,0.379,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_002000.WAV,recover-20250821,UBNA_022,Foliage
LF,23040.0,1.2653844078971095,298.7575,298.76800000000003,22890.0,29398.0,Nyctalus noctula,0.099,0.314,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_004000.WAV,recover-20250821,UBNA_022,Foliage
LF,27840.0,1.965109755107604,10.8505,10.862,28046.0,34438.0,Eptesicus serotinus,0.151,0.301,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_005000.WAV,recover-20250821,UBNA_022,Foliage
LF,24960.0,4.842877198664038,102.3715,102.3882,23750.0,28431.0,Nyctalus leisleri,0.196,0.33,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,25920.0,2.846061421794685,108.4435,108.456,25468.0,30357.0,Nyctalus leisleri,0.285,0.534,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,4.687036356449573,108.5795,108.592,25468.0,29968.0,Nyctalus leisleri,0.2,0.336,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
