Time (UTC),06/04/26,06/05/26,06/06/26,06/07/26
00:00,,0.0,0.2,0.0
00:30,,0.0,0.0,0.0
01:00,,0.0,0.0,0.0
01:30,,0.2,0.0,0.0
02:00,,0.0,0.0,0.0
02:30,,0.0,0.0,0.0
03:00,,0.0,0.0,0.0
03:30,,0.0,0.0,0.0
04:00,,0.0,0.0,0.0
04:30,,3270.0,981.0,1853.2
05:00,,4577.4,4007.6,4725.2
05:30,,1746.8,189.2,461.2
06:00,,363.8,1.8,1.2
06:30,,8.8,7.8,16.4
07:00,,8.0,0.0,0.0
07:30,,7.2,6.4,0.0
08:00,,9.0,4.0,0.0
08:30,,0.0,0.0,0.0
09:00,,29.6,0.0,0.0
09:30,,0.0,0.0,0.0
10:00,,0.0,0.0,0.0
10:30,,1.6,8.8,0.0
11:00,,0.0,0.0,0.0
11:30,,0.2,3.6,0.0
12:00,,0.0,0.2,0.0
12:30,,0.0,0.0,0.0
13:00,,0.0,0.0,0.0
13:30,,0.0,0.0,0.0
14:00,,0.0,0.0,0.2
14:30,,0.0,0.0,0.0
15:00,,0.0,0.0,0.0
15:30,,0.0,0.0,0.0
16:00,,0.0,0.0,0.0
16:30,,0.0,0.0,0.0
17:00,,0.0,0.0,0.0
17:30,,0.0,0.0,0.0
18:00,,0.0,0.0,0.0
18:30,,0.0,0.2,0.0
19:00,,0.0,0.0,0.0
19:30,,0.2,0.0,0.0
20:00,,0.0,0.6,
20:30,,0.0,0.8,
21:00,,0.0,0.0,
21:30,,0.0,0.0,
22:00,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,
