Time (UTC),02/10/25,02/11/25,02/12/25,02/13/25,02/14/25,02/15/25,02/16/25,02/17/25,02/18/25,02/19/25,02/20/25,02/21/25,02/22/25,02/23/25,02/24/25,02/25/25,02/26/25,02/27/25,02/28/25,03/01/25,03/02/25,03/03/25,03/04/25,03/05/25,03/06/25,03/07/25,03/08/25,03/09/25,03/10/25,03/11/25,03/12/25,03/13/25,03/14/25,03/15/25,03/16/25,03/17/25,03/18/25,03/19/25,03/20/25,03/21/25,03/22/25,03/23/25,03/24/25,03/25/25,03/26/25,03/27/25,03/28/25,03/29/25,03/30/25,03/31/25,04/01/25,04/02/25,04/03/25,04/04/25,04/05/25,04/06/25,04/07/25,04/08/25,04/09/25,04/10/25,04/11/25,04/12/25,04/13/25,04/14/25,04/15/25,04/16/25,04/17/25,04/18/25,04/19/25,04/20/25,04/21/25,04/22/25,04/23/25,04/24/25,04/25/25,04/26/25,04/27/25,04/28/25,04/29/25,04/30/25,05/01/25,05/02/25,05/03/25,05/04/25,05/05/25,05/06/25,05/07/25,05/08/25,05/09/25,05/10/25,05/11/25
00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0
00:30,,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0
01:00,,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,4.2,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6000000000000003,0.0,55.06666666666666,0.0,,,0.0,3.8000000000000003,4.266666666666667,0.13333333333333333,0.19999999999999998,24.53333333333333,3.6,36.733333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466666666666667,0.0,0.0,0.0,0.0,51.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2666666666666668,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0
03:00,,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,,,0.0,68.2,10.4,6.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.466666666666667,0.0,0.0,0.0,2.2666666666666666,0.0,0.0,4.533333333333333,0.0,0.0,4.133333333333334,0.9333333333333332,40.266666666666666,0.0,160.13333333333333,151.13333333333333,0.0,0.06666666666666667,0.0,0.0,2.533333333333333,0.0,0.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0
03:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8666666666666667,0.0,0.0,0.0,,,0.0,41.86666666666667,2.066666666666667,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.733333333333333,13.799999999999999,0.0,0.0,0.0,3.733333333333333,2.9333333333333336,0.0,6.733333333333334,0.0,0.06666666666666667,2.8666666666666667,116.06666666666668,0.0,0.0,270.53333333333336,8.200000000000001,0.0,27.933333333333334,17.933333333333334,0.6,8.200000000000001,52.86666666666667,28.400000000000002,15.333333333333334,31.400000000000002,0.0,19.666666666666668,0.26666666666666666,3.8666666666666667,0.3333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,3.9333333333333336,0.0,0.06666666666666667,1.1333333333333333,0.0,0.06666666666666667,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,,,,,,,,0.0,0.0
04:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,17.2,3.0,3.1333333333333333,0.0,22.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333332,0.0,0.0,3.9333333333333336,0.0,0.0,3.4,220.19999999999996,0.0,0.0,167.73333333333332,0.0,0.0,3.8666666666666667,14.866666666666665,17.333333333333332,140.86666666666667,191.80000000000004,11.4,14.066666666666668,105.06666666666666,20.400000000000002,44.666666666666664,2.533333333333333,18.333333333333332,0.6,0.0,0.6666666666666666,0.0,4.066666666666667,110.60000000000001,2.466666666666667,0.06666666666666667,0.0,0.0,4.333333333333333,2.2666666666666666,0.0,0.0,2.2,0.0,0.0,0.06666666666666667,0.0,0.0,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0
04:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,16.066666666666666,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.533333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.533333333333333,49.800000000000004,91.0,0.0,184.66666666666666,0.0,0.0,25.133333333333336,1.3333333333333333,1.5333333333333332,30.133333333333336,154.26666666666668,1.8666666666666665,0.0,59.333333333333336,0.0,3.1333333333333333,6.266666666666667,2.3333333333333335,0.0,0.0,0.6666666666666666,0.0,5.3999999999999995,15.466666666666667,2.733333333333333,0.39999999999999997,27.400000000000002,0.7333333333333334,4.0,0.6666666666666666,0.6,0.0,0.4666666666666666,0.0,2.3333333333333335,0.0,0.0,0.0,2.4,2.4,0.7999999999999999,8.733333333333333,0.0,1.5999999999999999,0.0,,,,,,,,3.266666666666666,0.0
