Time (UTC),03/03/25,03/04/25,03/05/25,03/06/25,03/07/25,03/08/25,03/09/25,03/10/25,03/11/25,03/12/25,03/13/25,03/14/25,03/15/25,03/16/25,03/17/25,03/18/25,03/19/25,03/20/25,03/21/25,03/22/25,03/23/25,03/24/25,03/25/25,03/26/25,03/27/25,03/28/25,03/29/25,03/30/25,03/31/25,04/01/25,04/02/25,04/03/25,04/04/25,04/05/25,04/06/25,04/07/25,04/08/25,04/09/25,04/10/25,04/11/25,04/12/25,04/13/25,04/14/25,04/15/25,04/16/25,04/17/25,04/18/25,04/19/25,04/20/25,04/21/25,04/22/25,04/23/25,04/24/25,04/25/25,04/26/25,04/27/25,04/28/25,04/29/25,04/30/25,05/01/25,05/02/25,05/03/25,05/04/25,05/05/25,05/06/25,05/07/25,05/08/25,05/09/25
00:00,,0.06315555555555553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.986733333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15053333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09354444444444447,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041188888888888865,0.0,0.0,0.0,0.0,0.0,0.07566666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05094444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020344444444444432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028144444444444434,0.0,0.0,0.0,0.0,0.0,0.0,1.9110333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031499999999999966,0.0,0.0,0.0,0.03617777777777777,0.0,0.0,0.0,0.2595,0.08193333333333333,0.0,0.0,0.356788888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09207777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036333333333333336,0.0,0.0,0.0,0.0,0.037200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06302222222222223,0.14467777777777777,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6245111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.674611,19.51497777777778,0.0,0.0,0.34177777777777774,8.894133333333334,5.4494333333333325,3.3689999999999998,2.464733333333333,1.998044444444444,6.889666666666667,18.865766666666666,17.034722222222218,0.0,0.0,0.0,15.307333333333332,0.0,4.8060888888888895,1.7464666666666666,0.0,1.734422222222222,1.1852222222222222,0.16363333333333333,0.0,0.0,0.6599444444444443,0.0,0.0,2.0373444444444444,0.0,0.0,0.0,0.11363333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:30,,0.0,0.0,0.0,0.0,0.4612111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7673333333333334,20.674044444444444,11.246388888888887,23.980666666666664,0.8843000000000001,2.0540555555555557,1.3895,4.2362,0.0,1.5921555555555553,0.0,2.955033333333333,24.63546666666667,25.43708888888889,1.0169555555555556,4.384655555555556,3.0421666666666667,17.281077777777778,5.500011111111111,4.013522222222223,3.0130111111111115,4.450933333333333,24.089255555555553,25.76257777777778,12.328088888888887,21.232922222222218,21.16198888888889,4.723455555555556,1.4049776666666667,8.60002222222222,11.98218888888889,7.303422222222221,17.585088888888887,14.566900000000002,9.074655555555555,2.7842333333333333,0.0,0.0,0.0,0.0,14.2815,0.0,0.0,0.0,0.0,0.0,0.0
04:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1208,0.0,0.0,8.678766666666666,3.8842777777777777,0.0,3.5185999999999997,0.8262222222222221,0.0,1.6737,0.0,1.9320444444444445,4.767155555555556,12.225033333333334,32.379988777777776,0.0,0.0,0.0,13.603144444444444,1.1852222222222222,1.5759888888888887,3.346244444444444,0.0,34.42746666666667,18.04718877777778,1.858644444444444,6.434766666666667,6.895611111111112,1.7380000000000002,2.6206333333333336,0.0,4.251355555555556,20.150344444444443,21.36295544444445,12.786066666666665,3.4616555555555557,0.5094,2.214588888888889,0.0,1.0854222222222223,15.25678888888889,36.6494,3.057,4.026022222222223,3.6835888888888886,8.145188888888887,5.9055333333333335,1.8999111111111109
04:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4245777777777778,0.0,0.0,0.0,0.0,0.0,9.995811000000002,8.130066555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1644333333333337,0.8257222222222222,9.085933333333333,24.079655444444445,0.0,0.0,0.0,3.4618888888888892,0.5332222222222224,1.8110222222222223,0.0,3.2533333333333334,8.48681111111111,4.812355555555556,0.4729222222222222,7.210688777777777,6.843055555555556,1.0140777777777779,0.0,2.3484000000000003,2.982633333333333,12.702944333333333,20.540422222222222,5.392355444444445,5.211288888888889,0.0,0.0,0.0,1.5019444444444447,3.2767999999999997,24.157255555555555,0.0,0.0,0.17369999999999997,5.772033333333333,9.91502211111111,0.0
