KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,25920.0,5.658208167277817,125.0285,125.0482,25468.0,28367.0,Echolocation,Nyctalus leisleri,0.268,0.316,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,21.66968401841779,125.5805,125.5953,25468.0,28862.0,Echolocation,Nyctalus leisleri,0.314,0.362,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,11.038330945803425,127.0075,127.0241,25468.0,29013.0,Echolocation,Nyctalus leisleri,0.313,0.38,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,22.663426992658536,132.2045,132.2171,25468.0,29881.0,Echolocation,Nyctalus leisleri,0.29,0.358,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,10.970009929440291,135.4155,135.4291,25468.0,28764.0,Echolocation,Nyctalus leisleri,0.454,0.491,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,9.7626887110881,139.0705,139.085,25468.0,28537.0,Echolocation,Nyctalus leisleri,0.285,0.324,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,1.8686031085287325,140.8195,140.8331,25468.0,29771.0,Echolocation,Nyctalus leisleri,0.213,0.328,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,5.641334286421075,146.0565,146.0699,25468.0,28570.0,Echolocation,Nyctalus leisleri,0.308,0.347,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,9.703677459665528,146.3995,146.4132,25468.0,29414.0,Echolocation,Nyctalus leisleri,0.358,0.407,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,15.803535664624555,148.8755,148.8893,25468.0,29222.0,Echolocation,Nyctalus leisleri,0.376,0.42,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,11.87028753275198,160.4935,160.5061,25468.0,29074.0,Echolocation,Nyctalus leisleri,0.34,0.399,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,16.556935456368556,162.2015,162.21359999999999,25468.0,29283.0,Echolocation,Nyctalus leisleri,0.406,0.441,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,29760.0,8.76324216197498,164.5475,164.5519,23750.0,40179.0,Echolocation,Plecotus austriacus,0.261,0.315,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,10.92990806126139,167.8185,167.8325,25468.0,29498.0,Echolocation,Nyctalus leisleri,0.259,0.305,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,-0.5171720109380624,168.8835,168.8972,25468.0,29642.0,Echolocation,Nyctalus leisleri,0.313,0.355,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,15.334904444009876,173.0025,173.0161,25468.0,28973.0,Echolocation,Nyctalus leisleri,0.274,0.304,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,2.3357915368232627,173.2865,173.3057,24609.0,28535.0,Echolocation,Nyctalus leisleri,0.206,0.305,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,21.718902900544002,183.0845,183.1007,25468.0,27753.0,Echolocation,Nyctalus leisleri,0.275,0.305,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,21120.0,-4.1983954697958294,194.4275,194.4493,21171.0,25418.0,Echolocation,Nyctalus noctula,0.186,0.304,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,14.817053053346926,195.0035,195.0205,25468.0,29156.0,Echolocation,Nyctalus leisleri,0.291,0.35,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,10.916543131185716,195.6835,195.6962,25468.0,28910.0,Echolocation,Nyctalus leisleri,0.304,0.369,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,14.360408789144323,196.0285,196.0432,25468.0,27981.0,Echolocation,Nyctalus leisleri,0.293,0.323,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,22080.0,8.741364989650707,198.0085,198.0119,23750.0,42162.0,Echolocation,Plecotus austriacus,0.364,0.442,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,8.011725338549452,198.4325,198.4504,25468.0,29065.0,Echolocation,Nyctalus leisleri,0.27,0.318,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,10.99798004945599,208.9435,208.961,25468.0,28152.0,Echolocation,Nyctalus leisleri,0.309,0.344,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,15.09751546998559,209.6835,209.6979,25468.0,29440.0,Echolocation,Nyctalus leisleri,0.354,0.391,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,13.975854677787382,212.8045,212.8156,25468.0,30122.0,Echolocation,Nyctalus leisleri,0.283,0.357,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,7.426568619324879,232.57150000000001,232.5929,25468.0,28754.0,Echolocation,Nyctalus leisleri,0.24,0.306,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,20.133112543371222,237.3885,237.4013,25468.0,28887.0,Echolocation,Nyctalus leisleri,0.286,0.322,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
HF,48960.0,28.102742746630952,238.7005,238.7199,47812.0,52022.0,Echolocation,Pipistrellus pipistrellus,0.28,0.315,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,12.438502582481181,239.8495,239.8618,25468.0,28735.0,Echolocation,Nyctalus leisleri,0.325,0.369,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,13.04123438439012,242.1805,242.1985,25468.0,28671.0,Echolocation,Nyctalus leisleri,0.307,0.344,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
