Time (UTC),08/21/25,08/22/25
00:00,,0.0
00:30,,0.0
01:00,,0.0
01:30,,0.0
02:00,,0.0
02:30,,0.0
03:00,,0.0
03:30,,7.7370222222222225
04:00,,1.8157888888888891
04:30,,0.0
05:00,,0.22184444444444443
05:30,,0.0
06:00,,0.0
06:30,,1.1204
07:00,,3.4694111111111106
07:30,,0.0
08:00,,0.9864333333333334
08:30,,0.0
09:00,,0.1957777777777778
09:30,,0.0
10:00,,0.0
10:30,,0.0
11:00,,0.0
11:30,,0.0
18:30,0.0,
19:00,0.0,
19:30,0.0,
20:00,0.0,
20:30,0.0,
21:00,0.0,
21:30,0.0,
22:00,0.0,
22:30,0.0,
23:00,0.0,
23:30,0.0,
