Time (UTC),08/21/25,08/22/25
00:00,,0.0
00:30,,0.0
01:00,,0.0
01:30,,0.0
02:00,,0.0
02:30,,0.0
03:00,,0.0
03:30,,29.333333333333332
04:00,,9.333333333333334
04:30,,0.0
05:00,,1.2666666666666668
05:30,,0.0
06:00,,0.0
06:30,,5.733333333333334
07:00,,13.6
07:30,,0.0
08:00,,4.866666666666666
08:30,,0.0
09:00,,0.13333333333333333
09:30,,0.0
10:00,,0.06666666666666667
10:30,,0.0
11:00,,0.0
11:30,,0.0
18:30,0.3,
19:00,0.0,
19:30,0.0,
20:00,0.0,
20:30,0.0,
21:00,0.0,
21:30,0.0,
22:00,0.0,
22:30,0.0,
23:00,0.0,
23:30,0.0,
