Time (UTC),08/21/25,08/22/25
00:00,,0.0
00:30,,0.0
01:00,,0.0
01:30,,0.0
02:00,,0.0
02:30,,0.0
03:00,,0.0
03:30,,17.77777777777778
04:00,,3.888888888888889
04:30,,0.0
05:00,,1.111111111111111
05:30,,0.0
06:00,,0.0
06:30,,2.2222222222222223
07:00,,6.11111111111111
07:30,,0.0
08:00,,2.2222222222222223
08:30,,0.0
09:00,,1.111111111111111
09:30,,0.0
10:00,,0.5555555555555556
10:30,,0.0
11:00,,0.0
11:30,,0.0
18:30,0.0,
19:00,0.0,
19:30,0.0,
20:00,0.0,
20:30,0.0,
21:00,0.0,
21:30,0.0,
22:00,0.0,
22:30,0.0,
23:00,0.0,
23:30,0.0,
