Time (UTC),08/21/25,08/22/25
00:00,,0.0
00:30,,0.06666666666666667
01:00,,0.06666666666666667
01:30,,0.0
02:00,,0.0
02:30,,0.0
03:00,,0.0
03:30,,0.39999999999999997
04:00,,6.333333333333333
04:30,,1.4666666666666668
05:00,,7.0
05:30,,5.466666666666666
06:00,,2.3333333333333335
06:30,,3.1333333333333333
07:00,,0.3333333333333333
07:30,,0.0
08:00,,3.8666666666666667
08:30,,0.7333333333333334
09:00,,3.3333333333333335
09:30,,0.0
10:00,,1.7333333333333334
10:30,,0.0
11:00,,0.0
11:30,,0.0
18:30,0.1,
19:00,0.06666666666666667,
19:30,0.06666666666666667,
20:00,0.06666666666666667,
20:30,0.06666666666666667,
21:00,0.13333333333333333,
21:30,0.13333333333333333,
22:00,0.0,
22:30,0.0,
23:00,0.0,
23:30,0.06666666666666667,
