Time (UTC),08/28/25,08/29/25,08/30/25,08/31/25,09/01/25,09/02/25
00:00,,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0
00:30,,0.5555555555555556,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0
03:00,,0.0,0.0,0.0,0.5555555555555556,0.0
03:30,,45.55555555555555,24.444444444444443,64.44444444444444,55.555555555555564,20.0
04:00,,100.0,33.888888888888886,100.0,94.44444444444446,23.333333333333332
04:30,,100.0,53.888888888888886,60.0,45.0,20.555555555555557
05:00,,28.88888888888889,8.88888888888889,10.555555555555555,91.1111111111111,2.2222222222222223
05:30,,2.2222222222222223,5.0,2.7777777777777772,72.77777777777776,0.0
06:00,,9.444444444444443,0.0,2.7777777777777772,13.888888888888891,3.3333333333333335
06:30,,19.444444444444446,6.11111111111111,0.0,3.3333333333333335,11.111111111111109
07:00,,10.555555555555555,0.5555555555555556,0.0,5.5555555555555545,3.888888888888889
07:30,,3.3333333333333335,1.6666666666666667,0.0,5.0,1.6666666666666667
08:00,,2.7777777777777772,1.111111111111111,1.6666666666666667,0.0,2.2222222222222223
08:30,,1.111111111111111,3.3333333333333335,8.333333333333334,0.0,0.5555555555555556
09:00,,0.0,1.6666666666666667,0.5555555555555556,2.7777777777777772,0.0
09:30,,0.5555555555555556,3.888888888888889,1.6666666666666667,0.0,0.0
10:00,,1.111111111111111,0.0,1.111111111111111,1.6666666666666667,2.7777777777777772
10:30,,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,7.777777777777776
11:00,,0.0,0.5555555555555556,0.0,0.0,3.3333333333333335
11:30,,0.5555555555555556,0.5555555555555556,1.6666666666666667,1.6666666666666667,0.0
12:00,,0.0,3.888888888888889,0.5555555555555556,0.0,4.444444444444445
12:30,,0.0,0.0,0.0,0.0,0.0
13:00,,0.0,0.0,0.0,0.0,0.0
13:30,,0.0,0.0,0.0,0.0,0.0
14:00,,0.0,0.0,0.0,0.0,0.0
14:30,,0.0,0.0,0.0,0.0,0.0
15:00,,0.0,0.0,0.0,0.0,0.0
15:30,,0.0,0.0,0.0,0.0,0.0
16:00,,0.5555555555555556,0.0,0.0,0.0,0.0
16:30,,0.0,0.0,0.0,0.0,0.0
17:00,,0.0,0.0,0.5555555555555556,0.0,0.0
17:30,,0.0,0.0,0.0,0.0,0.0
18:00,,0.0,0.0,0.0,0.0,0.0
18:30,0.0,0.0,0.0,0.0,0.0,0.0
19:00,11.666666666666666,0.0,0.0,0.5555555555555556,0.0,0.0
19:30,11.666666666666666,0.0,0.5555555555555556,0.0,0.0,0.5555555555555556
20:00,0.0,0.0,0.0,0.0,0.0,0.0
20:30,0.0,0.0,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0,0.0,0.0
21:30,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.5555555555555556,0.0,
23:00,0.5555555555555556,1.111111111111111,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,
