,SNR_threshold,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
0,0.0,0.01,20980,693,669,20311,24,0,0.031887511916110584,0.9653679653679653,20220730_053000.WAV,Carp Pond
1,0.0,0.02,20659,693,669,19990,24,0,0.032382980783193765,0.9653679653679653,20220730_053000.WAV,Carp Pond
2,0.0,0.03,3816,693,662,3154,31,0,0.17348008385744235,0.9552669552669553,20220730_053000.WAV,Carp Pond
3,0.0,0.04,1606,693,653,953,40,0,0.4066002490660025,0.9422799422799423,20220730_053000.WAV,Carp Pond
4,0.0,0.05,1074,693,649,425,44,0,0.6042830540037244,0.9365079365079365,20220730_053000.WAV,Carp Pond
5,0.0,0.06,880,693,644,236,49,0,0.7318181818181818,0.9292929292929293,20220730_053000.WAV,Carp Pond
6,0.0,0.07,790,693,642,148,51,0,0.8126582278481013,0.9264069264069265,20220730_053000.WAV,Carp Pond
7,0.0,0.08,738,693,637,101,56,0,0.8631436314363143,0.9191919191919192,20220730_053000.WAV,Carp Pond
8,0.0,0.09,711,693,634,77,59,0,0.8917018284106891,0.9148629148629148,20220730_053000.WAV,Carp Pond
9,0.0,0.1,689,693,629,60,64,0,0.9129172714078374,0.9076479076479076,20220730_053000.WAV,Carp Pond
10,0.0,0.11,678,693,625,53,68,0,0.9218289085545722,0.9018759018759018,20220730_053000.WAV,Carp Pond
11,0.0,0.12,671,693,623,48,70,0,0.9284649776453056,0.898989898989899,20220730_053000.WAV,Carp Pond
12,0.0,0.13,667,693,622,45,71,0,0.9325337331334332,0.8975468975468975,20220730_053000.WAV,Carp Pond
13,0.0,0.14,659,693,617,42,76,0,0.936267071320182,0.8903318903318903,20220730_053000.WAV,Carp Pond
14,0.0,0.15,653,693,613,40,80,0,0.9387442572741195,0.8845598845598845,20220730_053000.WAV,Carp Pond
15,0.0,0.16,649,693,611,38,82,0,0.9414483821263482,0.8816738816738817,20220730_053000.WAV,Carp Pond
16,0.0,0.17,641,693,604,37,89,0,0.9422776911076443,0.8715728715728716,20220730_053000.WAV,Carp Pond
17,0.0,0.18,633,693,601,32,92,0,0.9494470774091627,0.8672438672438673,20220730_053000.WAV,Carp Pond
18,0.0,0.19,623,693,597,26,96,0,0.9582664526484751,0.8614718614718615,20220730_053000.WAV,Carp Pond
19,0.0,0.2,617,693,592,25,101,0,0.9594813614262561,0.8542568542568543,20220730_053000.WAV,Carp Pond
20,0.0,0.21,611,693,587,24,106,0,0.9607201309328969,0.847041847041847,20220730_053000.WAV,Carp Pond
21,0.0,0.22,606,693,584,22,109,0,0.9636963696369637,0.8427128427128427,20220730_053000.WAV,Carp Pond
22,0.0,0.23,598,693,578,20,115,0,0.9665551839464883,0.834054834054834,20220730_053000.WAV,Carp Pond
23,0.0,0.24,592,693,572,20,121,0,0.9662162162162162,0.8253968253968254,20220730_053000.WAV,Carp Pond
24,0.0,0.25,588,693,569,19,124,0,0.967687074829932,0.8210678210678211,20220730_053000.WAV,Carp Pond
25,0.0,0.26,585,693,566,19,127,0,0.9675213675213675,0.8167388167388168,20220730_053000.WAV,Carp Pond
26,0.0,0.27,579,693,563,16,130,0,0.9723661485319517,0.8124098124098124,20220730_053000.WAV,Carp Pond
27,0.0,0.28,575,693,559,16,134,0,0.9721739130434782,0.8066378066378066,20220730_053000.WAV,Carp Pond
28,0.0,0.29,566,693,551,15,142,0,0.9734982332155477,0.7950937950937951,20220730_053000.WAV,Carp Pond
29,0.0,0.3,553,693,539,14,154,0,0.9746835443037974,0.7777777777777778,20220730_053000.WAV,Carp Pond
30,0.0,0.31,542,693,529,13,164,0,0.9760147601476015,0.7633477633477633,20220730_053000.WAV,Carp Pond
31,0.0,0.32,536,693,525,11,168,0,0.9794776119402985,0.7575757575757576,20220730_053000.WAV,Carp Pond
