,SNR_threshold,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
54,0.0,0.55,47,156,47,0,109,0,1.0,0.30128205128205127,20220730_053000.WAV,Carp Pond
55,0.0,0.56,40,156,40,0,116,0,1.0,0.2564102564102564,20220730_053000.WAV,Carp Pond
56,0.0,0.57,34,156,34,0,122,0,1.0,0.21794871794871795,20220730_053000.WAV,Carp Pond
57,0.0,0.58,32,156,32,0,124,0,1.0,0.20512820512820512,20220730_053000.WAV,Carp Pond
58,0.0,0.59,28,156,28,0,128,0,1.0,0.1794871794871795,20220730_053000.WAV,Carp Pond
59,0.0,0.6,22,156,22,0,134,0,1.0,0.14102564102564102,20220730_053000.WAV,Carp Pond
60,2.0,0.01,623,123,112,511,11,0,0.1797752808988764,0.9105691056910569,20220730_053000.WAV,Carp Pond
61,2.0,0.02,623,123,112,511,11,0,0.1797752808988764,0.9105691056910569,20220730_053000.WAV,Carp Pond
62,2.0,0.03,346,123,112,234,11,0,0.3236994219653179,0.9105691056910569,20220730_053000.WAV,Carp Pond
63,2.0,0.04,240,123,112,128,11,0,0.4666666666666667,0.9105691056910569,20220730_053000.WAV,Carp Pond
64,2.0,0.05,188,123,112,76,11,0,0.5957446808510638,0.9105691056910569,20220730_053000.WAV,Carp Pond
65,2.0,0.06,177,123,112,65,11,0,0.632768361581921,0.9105691056910569,20220730_053000.WAV,Carp Pond
66,2.0,0.07,164,123,112,52,11,0,0.6829268292682927,0.9105691056910569,20220730_053000.WAV,Carp Pond
67,2.0,0.08,155,123,112,43,11,0,0.7225806451612903,0.9105691056910569,20220730_053000.WAV,Carp Pond
68,2.0,0.09,149,123,112,37,11,0,0.7516778523489933,0.9105691056910569,20220730_053000.WAV,Carp Pond
69,2.0,0.1,146,123,111,35,12,0,0.7602739726027398,0.9024390243902439,20220730_053000.WAV,Carp Pond
70,2.0,0.11,145,123,111,34,12,0,0.7655172413793103,0.9024390243902439,20220730_053000.WAV,Carp Pond
71,2.0,0.12,143,123,110,33,13,0,0.7692307692307693,0.8943089430894309,20220730_053000.WAV,Carp Pond
72,2.0,0.13,138,123,110,28,13,0,0.7971014492753623,0.8943089430894309,20220730_053000.WAV,Carp Pond
73,2.0,0.14,135,123,110,25,13,0,0.8148148148148148,0.8943089430894309,20220730_053000.WAV,Carp Pond
74,2.0,0.15,134,123,110,24,13,0,0.8208955223880597,0.8943089430894309,20220730_053000.WAV,Carp Pond
75,2.0,0.16,133,123,110,23,13,0,0.8270676691729323,0.8943089430894309,20220730_053000.WAV,Carp Pond
76,2.0,0.17,130,123,109,21,14,0,0.8384615384615385,0.8861788617886179,20220730_053000.WAV,Carp Pond
77,2.0,0.18,130,123,109,21,14,0,0.8384615384615385,0.8861788617886179,20220730_053000.WAV,Carp Pond
78,2.0,0.19,127,123,108,19,15,0,0.8503937007874016,0.8780487804878049,20220730_053000.WAV,Carp Pond
79,2.0,0.2,126,123,108,18,15,0,0.8571428571428571,0.8780487804878049,20220730_053000.WAV,Carp Pond
80,2.0,0.21,124,123,107,17,16,0,0.8629032258064516,0.8699186991869918,20220730_053000.WAV,Carp Pond
81,2.0,0.22,122,123,106,16,17,0,0.8688524590163934,0.8617886178861789,20220730_053000.WAV,Carp Pond
82,2.0,0.23,121,123,106,15,17,0,0.8760330578512396,0.8617886178861789,20220730_053000.WAV,Carp Pond
83,2.0,0.24,119,123,104,15,19,0,0.8739495798319328,0.8455284552845529,20220730_053000.WAV,Carp Pond
84,2.0,0.25,119,123,104,15,19,0,0.8739495798319328,0.8455284552845529,20220730_053000.WAV,Carp Pond
85,2.0,0.26,116,123,102,14,21,0,0.8793103448275862,0.8292682926829268,20220730_053000.WAV,Carp Pond
86,2.0,0.27,115,123,101,14,22,0,0.8782608695652174,0.8211382113821138,20220730_053000.WAV,Carp Pond
87,2.0,0.28,114,123,100,14,23,0,0.8771929824561403,0.8130081300813008,20220730_053000.WAV,Carp Pond
88,2.0,0.29,114,123,100,14,23,0,0.8771929824561403,0.8130081300813008,20220730_053000.WAV,Carp Pond
89,2.0,0.3,113,123,99,14,24,0,0.8761061946902655,0.8048780487804879,20220730_053000.WAV,Carp Pond
90,2.0,0.31,111,123,99,12,24,0,0.8918918918918919,0.8048780487804879,20220730_053000.WAV,Carp Pond
91,2.0,0.32,108,123,96,12,27,0,0.8888888888888888,0.7804878048780488,20220730_053000.WAV,Carp Pond
92,2.0,0.33,106,123,95,11,28,0,0.8962264150943396,0.7723577235772358,20220730_053000.WAV,Carp Pond
93,2.0,0.34,104,123,94,10,29,0,0.9038461538461539,0.7642276422764228,20220730_053000.WAV,Carp Pond
94,2.0,0.35,103,123,93,10,30,0,0.9029126213592233,0.7560975609756098,20220730_053000.WAV,Carp Pond
95,2.0,0.36,101,123,92,9,31,0,0.9108910891089109,0.7479674796747967,20220730_053000.WAV,Carp Pond
96,2.0,0.37,99,123,90,9,33,0,0.9090909090909091,0.7317073170731707,20220730_053000.WAV,Carp Pond
97,2.0,0.38,96,123,89,7,34,0,0.9270833333333334,0.7235772357723578,20220730_053000.WAV,Carp Pond
98,2.0,0.39,94,123,88,6,35,0,0.9361702127659575,0.7154471544715447,20220730_053000.WAV,Carp Pond
99,2.0,0.4,91,123,86,5,37,0,0.945054945054945,0.6991869918699187,20220730_053000.WAV,Carp Pond
100,2.0,0.41,89,123,84,5,39,0,0.9438202247191011,0.6829268292682927,20220730_053000.WAV,Carp Pond
101,2.0,0.42,89,123,84,5,39,0,0.9438202247191011,0.6829268292682927,20220730_053000.WAV,Carp Pond
102,2.0,0.43,89,123,84,5,39,0,0.9438202247191011,0.6829268292682927,20220730_053000.WAV,Carp Pond
103,2.0,0.44,84,123,81,3,42,0,0.9642857142857143,0.6585365853658537,20220730_053000.WAV,Carp Pond
104,2.0,0.45,81,123,78,3,45,0,0.9629629629629629,0.6341463414634146,20220730_053000.WAV,Carp Pond
105,2.0,0.46,80,123,77,3,46,0,0.9625,0.6260162601626016,20220730_053000.WAV,Carp Pond
106,2.0,0.47,79,123,76,3,47,0,0.9620253164556962,0.6178861788617886,20220730_053000.WAV,Carp Pond
107,2.0,0.48,73,123,72,1,51,0,0.9863013698630136,0.5853658536585366,20220730_053000.WAV,Carp Pond
108,2.0,0.49,67,123,67,0,56,0,1.0,0.5447154471544715,20220730_053000.WAV,Carp Pond
