Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
HF	0.9310333333333334	53250.0	53760.00000000001	1.09127792741171	0.9295	0.9378	50390	55823	Pipistrellus pipistrellus	0.021	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	25	Waveform 1	1
LF	0.9716666666666668	29250.0	28800.0	0.3620107918351953	0.9625	0.9725	28046	35999	Eptesicus serotinus	0.011	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	26	Waveform 1	1
LF	0.9903333333333334	24750.0	24960.0	2.8355305506628703	0.9845	0.9955	24609	30156	Eptesicus serotinus	0.032	0.083	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	27	Waveform 1	1
LF	1.0441666666666665	18750.0	19200.0	3.569314068299134	1.0425	1.0495	14296	25591	Plecotus auritus	0.017	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	28	Waveform 1	1
LF	1.0605	28500.0	27839.999999999996	0.4501842533782929	1.0525	1.0625	27187	36676	Eptesicus serotinus	0.021	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	29	Waveform 1	1
LF	1.0738333333333332	28500.0	29760.0	-0.3154312964369865	1.0665	1.076	28906	37006	Eptesicus serotinus	0.009	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	30	Waveform 1	1
LF	1.0914666666666666	22500.0	23040.0	0.188590953556462	1.0875	1.0992	22031	26304	Nyctalus leisleri	0.014	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	31	Waveform 1	1
LF	1.1257	20250.0	19200.0	8.172554795834095	1.1235	1.1358	18593	24007	Nyctalus noctula	0.01	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	32	Waveform 1	1
HF	1.2395666666666665	49500.0	48960.0	0.3164182692331686	1.2325	1.2411	48671	55528	Pipistrellus pipistrellus	0.021	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	33	Waveform 1	1
LF	1.2981666666666667	21750.0	22080.0	-0.3063256321629845	1.2965	1.307	21171	25886	Nyctalus leisleri	0.01	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	34	Waveform 1	1
LF	1.3252999999999997	26250.0	24960.0	-0.3487638159101842	1.3195	1.3317	25468	32007	Eptesicus serotinus	0.013	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	35	Waveform 1	1
HF	1.3627333333333334	75750.0	70080.0	0.171893304561925	1.3285	1.3671	68437	82508	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	36	Waveform 1	1
LF	1.3439	21000.0	21120.0	1.876261963951935	1.3425	1.3486	14296	29443	Plecotus auritus	0.047	0.057	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	37	Waveform 1	1
HF	1.3796666666666666	50250.0	50880.0	0.4985813571719663	1.3775	1.3875	50390	55292	Pipistrellus pipistrellus	0.047	0.052	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	38	Waveform 1	1
HF	1.413	75750.0	75840.0	-0.6253523370385019	1.4115	1.4525	68437	82585	Rhinolophus ferrumequinum	0.04	0.04	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	39	Waveform 1	1
HF	1.4878333333333331	68250.0	72000.0	0.3437592550319269	1.4575	1.4965	68437	82684	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	40	Waveform 1	1
HF	1.5007333333333333	77250.0	72960.0	0.3443653342385763	1.4745	1.5141	68437	82715	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	41	Waveform 1	1
HF	1.5280666666666665	75000.0	71040.0	0.0330767728926505	1.5085	1.5501	68437	83574	Rhinolophus ferrumequinum	0.029	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	42	Waveform 1	1
HF	1.5463	70500.0	71040.0	-0.0449991276653049	1.5215	1.5637	68437	82373	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	43	Waveform 1	1
LF	1.5688000000000002	23250.0	23040.0	1.359524428529196	1.5615	1.5722	23750	28955	Nyctalus leisleri	0.015	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	44	Waveform 1	1
LF	1.5824999999999998	24000.0	26880.000000000004	-0.3263675680357036	1.5775	1.587	25468	33295	Eptesicus serotinus	0.01	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	45	Waveform 1	1
LF	1.5996666666666666	27000.0	27839.999999999996	0.5627163307923906	1.5955	1.6035	27187	40297	Eptesicus serotinus	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	46	Waveform 1	1
HF	1.6563000000000003	49500.0	48960.0	2.331437382773852	1.6545	1.6602	47812	56185	Pipistrellus pipistrellus	0.025	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	47	Waveform 1	1
LF	1.6682666666666666	30750.0	31680.0	1.6797363273620278	1.6675	1.6754	28906	43094	Eptesicus serotinus	0.008	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	48	Waveform 1	1
LF	1.7108666666666663	22500.0	23040.0	1.065912607225837	1.7025	1.7133	22890	27853	Nyctalus leisleri	0.012	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	49	Waveform 1	1
HF	1.7329	47250.0	47040.0	3.57042163371621	1.7295	1.7371	46953	51351	Pipistrellus pipistrellus	0.388	0.428	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	50	Waveform 1	1
HF	1.7814333333333334	79500.0	71040.0	0.7038547189429377	1.7615	1.8039	68437	83835	Rhinolophus ferrumequinum	0.038	0.038	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	51	Waveform 1	1
LF	1.8122666666666667	25500.0	26880.000000000004	-0.6372065927869273	1.8085	1.8204	27187	34781	Eptesicus serotinus	0.019	0.034	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	52	Waveform 1	1
LF	1.8352333333333335	26250.0	23040.0	0.3846747158039718	1.8325	1.8431	23750	30095	Nyctalus leisleri	0.01	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	53	Waveform 1	1
LF	1.8454333333333333	24000.0	24000.0	0.2148132824726832	1.8435	1.8514	23750	31972	Plecotus austriacus	0.01	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	54	Waveform 1	1
LF	1.9104	29250.0	24960.0	0.943072796694827	1.9095	1.9161	23750	34469	Plecotus austriacus	0.012	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	55	Waveform 1	1
