,freq_group,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
0,HF,0.01,79500.0,76800.0,-0.3321055179860483,0.0015,0.036,68437,80538,Rhinolophus ferrumequinum,0.035,0.035,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
1,LF,0.0018333333333333,33000.0,26880.000000000004,1.603277971525556,0.0015,0.0096,27187,36843,Eptesicus serotinus,0.009,0.028,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
3,LF,0.0233666666666666,33000.0,27839.999999999996,0.2381309639808526,0.0195,0.0278,28046,39661,Eptesicus serotinus,0.007,0.021,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
4,LF,0.0605666666666666,24750.0,24000.0,0.7384747009887503,0.0515,0.0616,23750,29972,Nyctalus leisleri,0.009,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
5,HF,0.0773666666666666,77250.0,73920.0,-0.3342250496160863,0.0575,0.0953,68437,81869,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
6,HF,0.0865333333333333,47250.0,46080.0,0.7157315732066677,0.0835,0.0938,46093,48872,Pipistrellus pipistrellus,0.034,0.039,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
7,HF,0.1314,71250.0,71040.0,-0.3108856984693587,0.0955,0.1336,68437,82320,Rhinolophus ferrumequinum,0.032,0.032,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
8,HF,0.1137666666666666,54750.0,54719.99999999999,0.3969759598989071,0.1075,0.1204,54687,59159,Pipistrellus pygmaeus,0.022,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
9,HF,0.1554666666666666,79500.0,78720.0,-0.0908700855759114,0.1205,0.1607,68437,82415,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
12,HF,0.2124,75000.0,73920.0,0.2617298483462029,0.2005,0.2381,68437,81676,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
13,LF,0.2326,24000.0,24960.0,0.9583815481792178,0.2225,0.2339,22890,27296,Nyctalus leisleri,0.012,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
15,HF,0.2709666666666667,71250.0,74880.0,0.0794926257630383,0.2685,0.3062,68437,81816,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
17,HF,0.3178333333333333,78000.0,73920.0,0.2839500396388044,0.2895,0.3305,68437,82605,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
19,LF,0.3027666666666666,29250.0,29760.0,0.7871807740934367,0.2965,0.3129,28906,33265,Eptesicus serotinus,0.031,0.061,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
20,LF,0.3293333333333333,23250.0,23040.0,0.3364116196122557,0.3235,0.331,24609,34454,Plecotus austriacus,0.008,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
21,LF,0.3741666666666666,21750.0,23040.0,0.1490412046089341,0.3725,0.383,22890,27672,Nyctalus leisleri,0.011,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
22,HF,0.4111999999999999,47250.0,46080.0,0.7980722978055845,0.4105,0.4173,46953,52668,Pipistrellus pipistrellus,0.024,0.026,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
23,HF,0.4387666666666666,73500.0,72960.0,0.0792858651258525,0.4125,0.4544,68437,83073,Rhinolophus ferrumequinum,0.036,0.036,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
24,LF,0.4257666666666666,28500.0,28800.0,1.1789719931595213,0.4215,0.4329,28906,36006,Eptesicus serotinus,0.011,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
25,LF,0.4505,27000.0,26880.000000000004,0.1274372964485937,0.4435,0.451,27187,39127,Eptesicus serotinus,0.007,0.027,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
26,HF,0.4753,77250.0,72000.0,-0.1887143779107917,0.4445,0.4842,68437,81833,Rhinolophus ferrumequinum,0.036,0.036,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
29,HF,0.5240999999999999,80250.0,71040.0,0.0080626878619079,0.4965,0.5359,68437,82336,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
30,HF,0.5527666666666666,79500.0,70080.0,-0.2535460489954966,0.5215,0.5619,68437,82583,Rhinolophus ferrumequinum,0.032,0.032,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
32,LF,0.5682666666666667,32250.0,26880.000000000004,1.0138116607651313,0.5675,0.5754,28046,38523,Eptesicus serotinus,0.007,0.022,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
33,HF,0.5969333333333334,78000.0,71040.0,-0.0953309216401262,0.5845,0.6274,68437,83004,Rhinolophus ferrumequinum,0.039,0.039,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
35,HF,0.6621000000000001,78000.0,78720.0,-0.3115486162049165,0.6235,0.6624,68437,82040,Rhinolophus ferrumequinum,0.024,0.024,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
36,HF,0.6821666666666666,81000.0,77760.0,-0.0365269014754056,0.6465,0.686,68437,82331,Rhinolophus ferrumequinum,0.026,0.026,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
39,HF,0.7352666666666667,71250.0,74880.0,0.0546745272785703,0.7005,0.7409,68437,82379,Rhinolophus ferrumequinum,0.03,0.03,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
40,LF,0.7218333333333334,27750.0,31680.0,0.8004430426037528,0.7195,0.727,28906,37898,Eptesicus serotinus,0.008,0.026,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
41,HF,0.7471000000000001,69750.0,78720.0,-0.1310968369886635,0.7225,0.7614,68437,82602,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,192000,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
