start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
887.1575,887.1729,23750.0,28095.0,Echolocation,Nyctalus leisleri,0.427,0.558,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
887.6425,887.6644,22890.0,29056.0,Echolocation,Nyctalus noctula,0.253,0.513,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
887.8915,887.9058,23750.0,28300.0,Echolocation,Nyctalus leisleri,0.319,0.527,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
888.2725,888.2872,23750.0,28599.0,Echolocation,Nyctalus leisleri,0.426,0.578,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
888.5215,888.5366,23750.0,31963.0,Echolocation,Eptesicus serotinus,0.217,0.558,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
888.7895,888.8043,24609.0,30861.0,Echolocation,Nyctalus leisleri,0.365,0.61,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
889.0515,889.071,22890.0,29620.0,Echolocation,Nyctalus noctula,0.302,0.56,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
889.3035,889.3208,23750.0,29385.0,Echolocation,Nyctalus leisleri,0.46,0.634,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
889.5585,889.5741,22890.0,28669.0,Echolocation,Nyctalus leisleri,0.381,0.592,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
890.0645,890.0856,22890.0,28386.0,Echolocation,Nyctalus noctula,0.209,0.501,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
890.3225,890.3384,22890.0,29592.0,Echolocation,Nyctalus leisleri,0.217,0.632,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
890.4595,890.4749,22890.0,26218.0,Echolocation,Nyctalus leisleri,0.571,0.65,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1057.4025,1057.4195,22890.0,27982.0,Echolocation,Nyctalus leisleri,0.313,0.543,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1058.6925,1058.7116,22890.0,27256.0,Echolocation,Nyctalus leisleri,0.411,0.506,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1059.4775,1059.4914,22890.0,27554.0,Echolocation,Nyctalus leisleri,0.348,0.539,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1060.2835,1060.2999,22890.0,26393.0,Echolocation,Nyctalus leisleri,0.497,0.563,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1061.1015,1061.1176,22890.0,27936.0,Echolocation,Nyctalus leisleri,0.31,0.523,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1062.1695,1062.1845,22890.0,28087.0,Echolocation,Nyctalus leisleri,0.206,0.501,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1062.4355,1062.4517,22890.0,26727.0,Echolocation,Nyctalus leisleri,0.358,0.506,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1062.8665,1062.8827,22031.0,27241.0,Echolocation,Nyctalus leisleri,0.258,0.515,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1065.4895,1065.4979,40937.0,53131.0,Echolocation,Pipistrellus nathusii,0.558,0.616,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1065.8705,1065.8788,40078.0,53714.0,Echolocation,Pipistrellus nathusii,0.465,0.549,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
