Time (UTC),06/24/26,06/25/26,06/26/26,06/27/26,06/28/26
00:00,,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0
03:00,,0.0,0.0,0.0,0.0
03:30,,0.0,0.0,0.0,0.0
04:00,,0.0,0.0,0.0,1.9165333333333336
04:30,,0.0,0.0,0.6642555555555555,0.5632
05:00,,0.0,0.0,0.41167777777777775,2.802433333333333
05:30,,0.0,2.0521444444444445,0.0,6.3977555555555545
06:00,,2.6268555555555557,0.0,6.770244222222222,8.826766666666666
06:30,,12.287266666666667,0.0,1.1558888888888887,5.2579666666666665
07:00,,4.773133333333334,0.0,0.0,0.07705555555555556
07:30,,0.18964444444444442,0.0,0.0,0.7979222222222222
08:00,,1.7672333333333332,0.0,0.0,0.0
08:30,,0.0,0.0,0.0,0.0
09:00,,0.0,0.0,0.0,0.0
09:30,,5.828611111111111,0.0,0.0,2.6174777777777773
10:00,,0.0,0.0,0.0,0.0
10:30,,0.0,0.0,0.0,0.0
11:00,,0.0,0.0,2.4112555555555555,0.0
11:30,,0.0,0.0,0.0,0.0
12:00,,0.0,0.0,0.0,0.0
12:30,,0.0,0.0,0.0,0.0
13:00,,0.0,0.0,0.0,0.0
13:30,,0.0,0.0,0.0,0.0
14:00,,0.0,0.0,0.0,0.0
14:30,,0.0,0.0,0.0,0.0
15:00,,0.0,0.0,0.0,0.0
15:30,,0.0,0.0,0.0,0.0
16:00,,0.0,0.0,0.0,0.0
16:30,,0.0,0.0,0.0,0.0
17:00,,0.0,0.0,0.0,0.0
17:30,0.0,0.0,0.0,0.0,0.0
18:00,0.0,0.0,0.0,0.0,0.0
18:30,0.0,0.0,0.0,0.0,0.0
19:00,0.0,0.0,0.0,0.0,0.0
19:30,0.0,0.0,0.0,0.0,0.0
20:00,0.0,0.0,0.0,0.0,0.0
20:30,0.0,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0,0.0
21:30,0.0,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0,0.0
22:30,0.0,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,
