Time (UTC),06/24/26,06/25/26,06/26/26,06/27/26,06/28/26
00:00,,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0
03:00,,0.06666666666666667,0.0,0.0,0.0
03:30,,0.0,0.0,0.0,0.0
04:00,,0.0,0.0,0.0,0.0
04:30,,0.0,0.0,1.1333333333333333,1.2
05:00,,0.0,0.0,0.19999999999999998,7.599999999999999
05:30,,0.0,4.333333333333333,0.0,18.0
06:00,,5.066666666666666,0.0,10.200000000000001,16.26666666666667
06:30,,20.6,0.0,1.5333333333333332,9.6
07:00,,9.066666666666666,0.0,0.0,0.0
07:30,,0.13333333333333333,0.0,0.0,0.7999999999999999
08:00,,2.6666666666666665,0.0,0.0,0.0
08:30,,0.0,0.0,0.0,0.0
09:00,,0.0,0.0,0.0,0.0
09:30,,13.666666666666666,0.0,0.0,3.8666666666666667
10:00,,0.0,0.0,0.0,0.0
10:30,,0.06666666666666667,0.0,0.0,0.0
11:00,,0.0,0.0,6.0,0.0
11:30,,0.0,0.0,0.0,0.0
12:00,,0.0,0.0,0.0,0.0
12:30,,0.0,0.0,0.0,0.0
13:00,,0.0,0.0,0.0,0.0
13:30,,0.0,0.0,0.06666666666666667,0.0
14:00,,0.0,0.0,0.0,0.0
14:30,,0.0,0.0,0.0,0.0
15:00,,0.0,0.0,0.0,0.0
15:30,,0.0,0.0,0.06666666666666667,0.0
16:00,,0.0,0.0,0.0,0.0
16:30,,0.0,0.0,0.0,0.0
17:00,,0.0,0.0,0.0,0.0
17:30,0.0,0.0,0.0,0.0,0.0
18:00,0.0,0.0,0.0,0.0,0.0
18:30,0.0,0.0,0.0,0.0,0.0
19:00,0.0,0.0,0.0,0.0,0.0
19:30,0.0,0.0,0.0,0.0,0.0
20:00,0.0,0.0,0.0,0.0,0.0
20:30,0.0,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0,0.0
21:30,0.0,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0,0.0
22:30,0.0,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,
