,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
0,0.0015,0.036,68437,80538,Rhinolophus ferrumequinum,0.035,0.035,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
1,0.0015,0.0096,27187,36843,Eptesicus serotinus,0.009,0.028,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
2,0.0165,0.0575,68437,83011,Rhinolophus ferrumequinum,0.024,0.024,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
3,0.0195,0.0278,28046,39661,Eptesicus serotinus,0.007,0.021,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
4,0.0515,0.0616,23750,29972,Nyctalus leisleri,0.009,0.024,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
5,0.0575,0.0953,68437,81869,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
6,0.0835,0.0938,46093,48872,Pipistrellus pipistrellus,0.034,0.039,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
7,0.0955,0.1336,68437,82320,Rhinolophus ferrumequinum,0.032,0.032,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
8,0.1075,0.1204,54687,59159,Pipistrellus pygmaeus,0.022,0.024,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
9,0.1205,0.1607,68437,82415,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
10,0.1215,0.1304,37500,42644,Barbastellus barbastellus,0.009,0.023,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
11,0.1265,0.1655,68437,82314,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
12,0.2005,0.2381,68437,81676,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
13,0.2225,0.2339,22890,27296,Nyctalus leisleri,0.012,0.022,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
14,0.2605,0.2697,22890,29528,Nyctalus leisleri,0.007,0.021,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
15,0.2685,0.3062,68437,81816,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
16,0.2805,0.3175,68437,82166,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
17,0.2895,0.3305,68437,82605,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220829_090000.WAV
