,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file
0,0.0015,0.0328,68437,79536,Rhinolophus ferrumequinum,0.028,0.028,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
1,0.0015,0.0099,47812,51961,Pipistrellus pipistrellus,0.029,0.035,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
2,0.0015,0.0096,22890,29153,Nyctalus leisleri,0.012,0.032,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
3,0.0685,0.0827,22890,27157,Nyctalus leisleri,0.015,0.026,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
4,0.0725,0.0786,11718,63812,Myotis bechsteinii,0.009,0.025,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
5,0.0805,0.1215,68437,83068,Rhinolophus ferrumequinum,0.027,0.027,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
6,0.1225,0.132,25468,33966,Eptesicus serotinus,0.01,0.026,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
7,0.2355,0.2747,68437,81583,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
8,0.2855,0.2953,21171,26133,Plecotus austriacus,0.01,0.027,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
9,0.2875,0.3262,68437,82718,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
10,0.3305,0.3414,22890,27497,Nyctalus leisleri,0.012,0.023,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
11,0.3455,0.388,68437,82775,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
12,0.3655,0.3761,23750,29303,Nyctalus leisleri,0.011,0.024,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
13,0.3995,0.4062,17734,28032,Plecotus austriacus,0.065,0.091,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
14,0.5175,0.5286,23750,28672,Nyctalus leisleri,0.011,0.024,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
15,0.5385,0.5792,68437,83037,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
16,0.5505,0.5589,26328,36246,Eptesicus serotinus,0.009,0.026,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
17,0.5585,0.5934,68437,81505,Rhinolophus ferrumequinum,0.024,0.024,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
18,0.5595,0.5708,28906,35976,Eptesicus serotinus,0.011,0.025,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
19,0.6385,0.6477,28046,39711,Eptesicus serotinus,0.01,0.025,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
20,0.6475,0.6572,24609,30541,Nyctalus leisleri,0.01,0.024,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
21,0.6755,0.7151,68437,82477,Rhinolophus ferrumequinum,0.027,0.027,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
22,0.7015,0.7102,43515,50479,Pipistrellus pipistrellus,0.034,0.041,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
23,0.7055,0.7123,27187,40214,Eptesicus serotinus,0.007,0.025,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
24,0.7345,0.747,14296,21059,Nyctalus noctula,0.014,0.023,-1,Echolocation,/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
