KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,22080.0,0.1595087162144472,30.5485,30.5674,22031.0,25451.0,Nyctalus leisleri,0.244,0.308,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_234000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,22080.0,17.43531687769818,148.7495,148.7644,22031.0,24237.0,Nyctalus leisleri,0.434,0.446,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_234000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,22080.0,16.911997361570506,148.8405,148.8605,21171.0,23253.0,Nyctalus leisleri,0.583,0.592,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_234000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,23040.0,10.659689734320665,189.4865,189.5005,22890.0,24507.0,Nyctalus leisleri,0.369,0.385,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_234000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,42240.0,3.143616614981877,235.3055,235.3089,38359.0,60811.0,Myotis mystacinus,0.152,0.392,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_235000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,44160.0,4.313276985007476,235.8595,235.8629,40937.0,64841.0,Myotis mystacinus,0.186,0.383,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251113_235000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,46080.0,4.059534571369616,210.5455,210.5513,44375.0,51349.0,Pipistrellus pipistrellus,0.343,0.366,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_000000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,45120.0,2.7012886957189735,223.9425,223.9504,43515.0,48361.0,Pipistrellus pipistrellus,0.244,0.352,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_000000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,45120.0,3.727790342473062,228.0375,228.0473,44375.0,48231.0,Pipistrellus pipistrellus,0.266,0.343,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_000000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,67200.0,0.0437360095754029,271.8695,271.8868,64140.0,69991.0,Pipistrellus pygmaeus,0.301,0.304,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_000000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,68160.0,1.2095156066371442,271.9815,271.9932,64140.0,69251.0,Pipistrellus pygmaeus,0.411,0.413,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_000000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,64320.0,6.258909199409848,272.7935,272.8088,63281.0,68795.0,Pipistrellus pygmaeus,0.347,0.352,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_000000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,38400.0,1.7082894997725848,273.2665,273.2744,37500.0,51043.0,Pipistrellus nathusii,0.211,0.326,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_000000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,25920.0,0.31864703827215546,79.3165,79.3214,22031.0,54194.0,Myotis nattereri,0.285,0.326,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_001000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,22080.0,5.338000370831473,176.66649999999998,176.6747,20312.0,35226.0,Plecotus austriacus,0.179,0.307,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_001000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,26880.0,-0.3480158962205143,183.2325,183.2366,24609.0,40629.0,Plecotus austriacus,0.203,0.333,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_001000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,20160.0,7.87374056075782,222.1495,222.1536,16875.0,53134.0,Myotis nattereri,0.285,0.313,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_001000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,22080.0,5.5682218656463895,264.20550000000003,264.2104,21171.0,34599.0,Plecotus austriacus,0.288,0.398,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_001000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,73920.0,2.036021454835353,86.8485,86.8883,68437.0,82609.0,Rhinolophus ferrumequinum,0.339,0.339,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,29760.0,-2.587314304667016,89.7875,89.7931,22890.0,49569.0,Myotis nattereri,0.319,0.35,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,35520.0,12.749668652256656,92.0015,92.0064,22890.0,65132.0,Myotis nattereri,0.352,0.426,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,36480.0,-2.614879770272073,100.4645,100.4682,26328.0,71955.0,Myotis nattereri,0.298,0.353,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,64320.0,8.204761405091398,109.9725,109.9845,64140.0,68266.0,Pipistrellus pygmaeus,0.344,0.35,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,62400.0,7.023988431110063,110.6455,110.65690000000001,63281.0,68376.0,Pipistrellus pygmaeus,0.459,0.464,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,62400.0,1.8257684240646077,111.2575,111.2687,63281.0,67437.0,Pipistrellus pygmaeus,0.355,0.359,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,64320.0,-8.297459456707395,115.6815,115.6917,64140.0,70100.0,Pipistrellus pygmaeus,0.311,0.313,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,63360.0,4.090196427005472,119.5975,119.61,63281.0,68065.0,Pipistrellus pygmaeus,0.495,0.499,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
