start_time,end_time,low_freq,high_freq,detection_confidence,event,input_file
1191.8675,1191.8744,40937.0,49687.0,0.628,Echolocation,20230623_043000.WAV
1191.9625,1191.9699,40937.0,47604.0,0.618,Echolocation,20230623_043000.WAV
1192.0555,1192.0628,41796.0,51491.0,0.635,Echolocation,20230623_043000.WAV
1192.1485,1192.1557,40937.0,54114.0,0.733,Echolocation,20230623_043000.WAV
1192.2265,1192.2335,41796.0,52320.0,0.582,Echolocation,20230623_043000.WAV
1192.3175,1192.3247,40937.0,50130.0,0.528,Echolocation,20230623_043000.WAV
1192.4105,1192.4175,40937.0,55641.0,0.607,Echolocation,20230623_043000.WAV
1192.5015,1192.5084,41796.0,51656.0,0.627,Echolocation,20230623_043000.WAV
1192.5895,1192.5967,40937.0,52517.0,0.693,Echolocation,20230623_043000.WAV
1192.6825,1192.6908,40937.0,52731.0,0.66,Echolocation,20230623_043000.WAV
1192.8565,1192.8631,40937.0,54946.0,0.617,Echolocation,20230623_043000.WAV
1192.9525,1192.9603,40078.0,49185.0,0.613,Echolocation,20230623_043000.WAV
1193.0505,1193.058,40078.0,50038.0,0.608,Echolocation,20230623_043000.WAV
1193.1425,1193.1499,40078.0,56916.0,0.602,Echolocation,20230623_043000.WAV
1193.2355,1193.2429,40078.0,54148.0,0.604,Echolocation,20230623_043000.WAV
1193.4095,1193.4173,40937.0,59688.0,0.658,Echolocation,20230623_043000.WAV
1193.5915,1193.5983,41796.0,54796.0,0.518,Echolocation,20230623_043000.WAV
1193.6855,1193.6915,42656.0,52658.0,0.513,Echolocation,20230623_043000.WAV
1193.7745,1193.7805,41796.0,54690.0,0.613,Echolocation,20230623_043000.WAV
1194.1265,1194.1338,40937.0,58919.0,0.569,Echolocation,20230623_043000.WAV
1194.3985,1194.4047,40937.0,55589.0,0.592,Echolocation,20230623_043000.WAV
1194.5835,1194.5894,40937.0,55774.0,0.568,Echolocation,20230623_043000.WAV
1194.7705,1194.7799,40937.0,56096.0,0.643,Echolocation,20230623_043000.WAV
1195.0385,1195.0464,40937.0,56996.0,0.644,Echolocation,20230623_043000.WAV
1195.2305,1195.2382,40937.0,56673.0,0.673,Echolocation,20230623_043000.WAV
1299.2125,1299.2192,41796.0,49425.0,0.508,Echolocation,20230623_043000.WAV
1299.3885,1299.3952,40937.0,50239.0,0.52,Echolocation,20230623_043000.WAV
1299.9845,1299.9913,40937.0,53919.0,0.606,Echolocation,20230623_043000.WAV
1300.0835,1300.0908,40937.0,58983.0,0.652,Echolocation,20230623_043000.WAV
1300.1855,1300.1931,40937.0,55333.0,0.585,Echolocation,20230623_043000.WAV
1300.2815,1300.2895,40937.0,56496.0,0.562,Echolocation,20230623_043000.WAV
1300.3865,1300.3931,40078.0,56448.0,0.603,Echolocation,20230623_043000.WAV
1300.4835,1300.4914,40078.0,56864.0,0.676,Echolocation,20230623_043000.WAV
1300.6075,1300.6149,40078.0,50822.0,0.601,Echolocation,20230623_043000.WAV
1300.7015,1300.7096,40937.0,54556.0,0.61,Echolocation,20230623_043000.WAV
1300.8055,1300.813,38359.0,50665.0,0.558,Echolocation,20230623_043000.WAV
1300.9085,1300.9156,39218.0,56145.0,0.56,Echolocation,20230623_043000.WAV
1300.9995,1301.0072,40078.0,52569.0,0.519,Echolocation,20230623_043000.WAV
1301.0825,1301.0907,39218.0,55580.0,0.604,Echolocation,20230623_043000.WAV
1301.2205,1301.2289,40078.0,58021.0,0.621,Echolocation,20230623_043000.WAV
1301.3215,1301.3288,39218.0,54434.0,0.643,Echolocation,20230623_043000.WAV
1301.4235,1301.4313,39218.0,57401.0,0.654,Echolocation,20230623_043000.WAV
1301.5195,1301.5273,39218.0,49968.0,0.585,Echolocation,20230623_043000.WAV
1301.6315,1301.6382,39218.0,56397.0,0.671,Echolocation,20230623_043000.WAV
1301.7345,1301.7408,40078.0,51581.0,0.667,Echolocation,20230623_043000.WAV
1301.8395,1301.846,39218.0,58114.0,0.583,Echolocation,20230623_043000.WAV
1301.9325,1301.9408,39218.0,50906.0,0.536,Echolocation,20230623_043000.WAV
1302.0305,1302.0386,40078.0,57345.0,0.571,Echolocation,20230623_043000.WAV
1302.1255,1302.1334,38359.0,60555.0,0.54,Echolocation,20230623_043000.WAV
1302.2445,1302.2533,39218.0,55249.0,0.514,Echolocation,20230623_043000.WAV
1302.3335,1302.3406,38359.0,57573.0,0.544,Echolocation,20230623_043000.WAV
1302.4255,1302.432,37500.0,52962.0,0.557,Echolocation,20230623_043000.WAV
1302.5185,1302.5263,39218.0,59437.0,0.607,Echolocation,20230623_043000.WAV
